s	U	lambda	mu0	mu1	mu2	mu3	theta0	theta1	theta2	theta3	transverse_min_eig
0.000000000000000000e+00	-4.440892098500622217e-16	-1.657670113926509751e-16	2.204720259461256923e-16	-3.615725775334888273e-16	1.767676548926280575e-16	-5.551115123125782702e-17	7.778721278147649359e-16	-1.439474672302503393e-15	5.427045046805113339e-16	-2.565873589713035147e-16	1.432545657640593939e+00
5.945151198047191575e-03	3.006978688539318871e-05	1.005072244700917772e-02	2.236018129499997738e-03	3.200701256488084050e-03	3.665903750962081452e-03	2.789494687902155379e-03	1.348574579800205543e-02	1.734012617836397374e-02	1.907155643552705532e-02	1.425736409170787894e-02	1.430585949306545146e+00
1.189030239609438315e-02	1.187300504196208946e-04	1.970987812785042134e-02	4.547638713507103775e-03	6.419498109187344974e-03	7.281871236776021189e-03	5.522949773568625043e-03	2.705113237334266438e-02	3.453564686859422750e-02	3.774547729526540191e-02	2.815499527344423811e-02	1.428677752920296529e+00
1.783545359414157386e-02	2.636461522060046117e-04	2.897546122415830400e-02	6.930582852519262885e-03	9.655355252270968885e-03	1.085071375745006936e-02	8.203573500361244220e-03	4.067921723599643435e-02	5.158162702457821241e-02	5.603113021160611995e-02	4.170404756063892521e-02	1.426797345737409461e+00
2.378060479218876630e-02	4.624759213602352374e-04	3.784692286363543906e-02	9.380625429781068447e-03	1.290719334657029413e-02	1.437523192988629517e-02	1.083457912442140070e-02	5.435400753003895996e-02	6.847375627606928916e-02	7.393863173922377019e-02	5.491625678379752351e-02	1.424938402135143889e+00
2.972575599023595874e-02	7.128779408121423827e-04	4.632504389181894833e-02	1.189362923153621659e-02	1.617390502109563102e-02	1.785819036295192841e-02	1.341915255957870645e-02	6.806052144099852819e-02	8.520833957999136843e-02	9.147868431953977419e-02	6.780377110162198739e-02	1.423108681595189218e+00
3.567090718828314772e-02	1.012519064920493813e-03	5.441180417289490784e-02	1.446557271409375754e-02	1.945436926530370175e-02	2.130229638568387901e-02	1.596042505609562845e-02	8.178482419393996727e-02	1.017822800097243074e-01	1.086624264373057536e-01	8.037899888998825682e-02	1.421326551085734025e+00
4.161605838633034016e-02	1.359081158865323505e-03	6.211025202501269105e-02	1.709257185226194589e-02	2.274746412650346938e-02	2.471018265550363815e-02	1.846145069708682307e-02	9.551404211323746840e-02	1.181930553150919438e-01	1.255012972772064639e-01	9.265447459668937902e-02	1.419617750304870585e+00
4.756120958437753260e-02	1.750267069536633191e-03	6.942437668010364993e-02	1.977089661045418681e-02	2.605207770114095420e-02	2.808439338111634251e-02	2.092518837938589504e-02	1.092363582438045100e-01	1.344386897750746435e-01	1.420069164582728749e-01	1.046427424400118433e-01	1.418012629284992387e+00
5.350636078242472504e-02	2.183805852816862736e-03	7.635898598356286038e-02	2.249698263685974767e-02	2.936711746631975178e-02	3.142737383456194189e-02	2.335448787063554299e-02	1.229409929061285739e-01	1.505177227144277596e-01	1.581909788348376811e-01	1.163562572895581598e-01	1.416543938637434552e+00
5.945151198047191748e-02	2.657457293466051161e-03	8.291959094054018875e-02	2.526743880157748812e-02	3.269151803995300198e-02	3.474146279378458047e-02	2.575207949457911094e-02	1.366181723205558973e-01	1.664291748823615857e-01	1.740651639002408768e-01	1.278073016845014953e-01	1.415245154664128480e+00
6.539666317851910993e-02	3.169015761750595614e-03	8.911229818690737103e-02	2.807905119060981336e-02	3.602424748629624862e-02	3.802888754580124875e-02	2.812056698462578330e-02	1.502590881307718784e-01	1.821725137107787496e-01	1.896410590013603847e-01	1.390079176958206597e-01	1.414149270832358640e+00
7.134181437656629543e-02	3.716313456028484674e-03	9.494371101913130773e-02	3.092878413736262211e-02	3.936431230048911822e-02	4.129176108594312389e-02	3.046242305485016844e-02	1.638558503155743695e-01	1.977476182921499015e-01	2.049300953518363444e-01	1.499698522012985757e-01	1.413287969729687399e+00
7.728696557461349481e-02	4.297223083133414404e-03	1.004208392567107339e-01	3.381377882895929277e-02	4.271076121341704085e-02	4.453208116605125721e-02	3.277998726146735819e-02	1.774014356276410187e-01	2.131547447505560966e-01	2.199434957014203273e-01	1.607045140914896975e-01	1.412691091449777225e+00
8.323211677266068031e-02	4.909660029168922205e-03	1.055510179276317045e-01	3.673134997210154851e-02	4.606268795885024026e-02	4.775173086993485944e-02	3.507546576130624039e-02	1.908896333567843273e-01	2.283944925285796290e-01	2.346922324601167231e-01	1.712229419398713370e-01	1.412386325067617632e+00
8.917726797070787970e-02	5.551584072594047126e-03	1.103418345529901118e-01	3.967898094697401568e-02	4.941923314032709014e-02	5.095248042457820731e-02	3.735093261267607989e-02	2.043149898958130373e-01	2.434677719800603934e-01	2.491869950719981797e-01	1.815357807321208161e-01	1.412399063230565854e+00
9.512241916875506520e-02	6.221000689652853022e-03	1.148010646519088268e-01	4.265431782119880749e-02	5.277958532726012564e-02	5.413598998795304124e-02	3.960833230507868064e-02	2.176727532973046775e-01	2.583757735451369109e-01	2.634381654700282405e-01	1.916532663421786631e-01	1.412752372767135167e+00
1.010675703668022507e-01	6.915961999634550467e-03	1.189366149823374436e-01	4.565516254149554892e-02	5.614298149956318401e-02	5.730381318694233173e-02	4.184948324509288331e-02	2.309588187531900205e-01	2.731199386890411640e-01	2.774558005074876377e-01	2.015852165539615826e-01	1.413467045314862780e+00
