stage	archive_chain	member	sha256	bytes	status	canonical_output_path
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip	FIN_MISSING_LAWS_CAMPAIGN_20260924/CAMPAIGN_STATUS.md	d8779497e8a280b02550f8f5157a155faf0d8b47be5630e2b29ca10a16b6e70d	872	KEPT	STAGES/01_RESEARCH_HANDOFF/FIN_MISSING_LAWS_CAMPAIGN_20260924/CAMPAIGN_STATUS.md
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip	FIN_MISSING_LAWS_CAMPAIGN_20260924/HYPOTHESES_UNDER_TEST.md	4d135304450cf6e7413a5723e0de72a459e80266bd07f8ca64e3a1ed56468870	739	KEPT	STAGES/01_RESEARCH_HANDOFF/FIN_MISSING_LAWS_CAMPAIGN_20260924/HYPOTHESES_UNDER_TEST.md
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/AGENTS.md	15c69b79ca372b06c2faa3f49055afca50ef815519dfa146e98889e71eb9d193	1051922	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/AGENTS.md
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_DEDUP_MATRIX.md	ea57d9e304cd25e5f2c39ce8df30593447b2bf10a59ba698570e0c482b1d2c9c	23812	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_DEDUP_MATRIX.md
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_DEPENDENCY_DAG.json	0e9ac91f3bc30460c5538f98325caa5c2e407b23b14688750b8a76bda41bbe87	21175	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_DEPENDENCY_DAG.json
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_KILL_SOURCE_GATES.md	5030b8045b968e7e35c004047b7332d2fd7b4afaf1e65c377cac955956dfbbd8	11817	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_KILL_SOURCE_GATES.md
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_RESEARCH_PROGRAM.md	69bf9780964fbe866e3f2733774dea359a4ada55445717e87ef947077b3da085	34902	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_RESEARCH_PROGRAM.md
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_TASKS.json	916353fb8ad4ffb0e85108cb496c10971ab9a4ee9b2f7c6a2df26a2e7f1b0a29	126582	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_TASKS.json
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_TASK_CATALOG.md	26b43c004dba6f8398ff54be2b738ce4a1c4ee14c8e38fd03792b971e1c3c682	117598	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/FIN_POST_PHY_TASK_CATALOG.md
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/README_DESIGN.md	73e661610944a0e6c92cac176cc1abd46d72dfb8ef7bec81db44022ee94e53be	1946	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/README_DESIGN.md
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/build_program.py	0429dde217b0f81743c0b534b9e61a1437afa6e388a9412b619b0f9b6ca8a87a	12633	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/build_program.py
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/program_spec.py	0cc975d2b75bc1adbe7bf673040737adf4f0a2177123f7ad4647ff650b49f85d	64977	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/program_spec.py
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/search_audit.py	79d23f2455eb8b266e72caa52d5603bc378efef6eb81926d4d4f4f325c659053	2416	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/search_audit.py
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/search_index.json	5481c5feecafd4f8e2cb8edd66576bdb6c64581b9c1aa119138422f00c7819ae	4965095	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/search_index.json
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/selected_sources.json	a4bbbbb062567c9350e126c36c4cb7b3e07efff2b0d9c6d41b8e068d8a561f01	8294	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/selected_sources.json
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/validate_program.py	ab13bdcc5a646e20f9b25a216bb37fab1e65db0321fa9f1a3339face734cb858	3891	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/validate_program.py
01_RESEARCH_HANDOFF	FIN_MISSING_LAWS_RESEARCH_HANDOFF_20260924.zip > FIN_MISSING_LAWS_CAMPAIGN_20260924/INPUT_PARENT_HANDOFF/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924.zip	FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/validation.json	966f6a470832bf6257e74f43322c10311b11f0f6cc40db725824d7f88de7e2d4	2060	KEPT	STAGES/01_RESEARCH_HANDOFF/_EXPANDED_ARCHIVES/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/FIN_POST_PHY_FULL_RESEARCH_HANDOFF_20260924/00_PROGRAM/validation.json
