mask	orbit_size	representative	logZ
99	12	0,1,5,6	-562.33219148656462
51	12	0,1,4,5	-558.61557457919753
85	12	0,2,4,6	-557.90148996697064
277	12	0,2,4,8	-557.46359619950715
39	24	0,1,2,5	-557.35924717692728
291	12	0,1,5,8	-557.32432873771256
325	6	0,2,6,8	-556.34744417479919
71	24	0,1,2,6	-556.2315591620428
275	24	0,1,4,8	-555.74812076106127
163	24	0,1,5,7	-555.48942380367873
139	24	0,1,3,7	-555.34627716416196
23	24	0,1,2,4	-555.23123428842462
83	24	0,1,4,6	-555.0817959191088
267	24	0,1,3,8	-554.94097736454069
27	12	0,1,3,4	-554.47130424399506
43	24	0,1,3,5	-554.26132083508628
531	12	0,1,4,9	-554.19040368936896
147	24	0,1,4,7	-553.92808972471414
523	24	0,1,3,9	-553.86171721800645
149	24	0,2,4,7	-553.45929465031702
293	24	0,2,5,8	-553.09364279812723
15	12	0,1,2,3	-551.11745666614456
549	12	0,2,5,9	-550.82789316637206
135	12	0,1,2,7	-550.75691969736761
195	6	0,1,6,7	-550.69999929951405
75	24	0,1,3,6	-549.5838315051534
1035	12	0,1,3,10	-549.50123099834605
165	12	0,2,5,7	-549.17223108642099
585	3	0,3,6,9	-546.48003846792915
