sequence,timestamp_seconds,context,a1,a2,phase_radians,outcome_plus
0,0.0,reference,0.0,0.0,0.0,1
1,2e-06,reference,0.0,0.0,0.0,1
2,4e-06,reference,0.0,0.0,0.0,1
3,6e-06,reference,0.0,0.0,0.0,1
4,8e-06,reference,0.0,0.0,0.0,1
5,1e-05,reference,0.0,0.0,0.0,1
6,1.2e-05,reference,0.0,0.0,0.0,1
7,1.4e-05,reference,0.0,0.0,0.0,1
8,1.6e-05,reference,0.0,0.0,0.0,1
9,1.8e-05,reference,0.0,0.0,0.0,1
10,2e-05,reference,0.0,0.0,0.0,1
11,2.2e-05,reference,0.0,0.0,0.0,1
12,2.4e-05,reference,0.0,0.0,0.0,1
13,2.6000000000000002e-05,reference,0.0,0.0,0.0,1
14,2.8e-05,reference,0.0,0.0,0.0,1
15,2.9999999999999997e-05,reference,0.0,0.0,0.0,1
16,3.2e-05,reference,0.0,0.0,0.0,1
17,3.4e-05,reference,0.0,0.0,0.0,0
18,3.6e-05,reference,0.0,0.0,0.0,1
19,3.8e-05,reference,0.0,0.0,0.0,1
20,4e-05,reference,0.0,0.0,0.0,1
21,4.2000000000000004e-05,reference,0.0,0.0,0.0,1
22,4.4e-05,reference,0.0,0.0,0.0,1
23,4.6e-05,reference,0.0,0.0,0.0,1
24,4.8e-05,reference,0.0,0.0,0.0,1
25,5e-05,reference,0.0,0.0,0.0,0
26,5.2000000000000004e-05,reference,0.0,0.0,0.0,1
27,5.4e-05,reference,0.0,0.0,0.0,1
28,5.6e-05,reference,0.0,0.0,0.0,1
29,5.8e-05,reference,0.0,0.0,0.0,0
30,5.9999999999999995e-05,reference,0.0,0.0,0.0,1
31,6.2e-05,reference,0.0,0.0,0.0,1
32,6.4e-05,reference,0.0,0.0,0.0,1
33,6.6e-05,reference,0.0,0.0,0.0,1
34,6.8e-05,reference,0.0,0.0,0.0,1
35,7.000000000000001e-05,reference,0.0,0.0,0.0,1
36,7.2e-05,reference,0.0,0.0,0.0,1
37,7.4e-05,reference,0.0,0.0,0.0,1
38,7.6e-05,reference,0.0,0.0,0.0,1
39,7.8e-05,reference,0.0,0.0,0.0,1
40,8e-05,reference,0.0,0.0,0.0,1
41,8.2e-05,reference,0.0,0.0,0.0,1
42,8.400000000000001e-05,reference,0.0,0.0,0.0,1
43,8.6e-05,reference,0.0,0.0,0.0,1
44,8.8e-05,reference,0.0,0.0,0.0,1
45,8.999999999999999e-05,reference,0.0,0.0,0.0,1
46,9.2e-05,reference,0.0,0.0,0.0,0
47,9.4e-05,reference,0.0,0.0,0.0,1
48,9.6e-05,reference,0.0,0.0,0.0,1
49,9.800000000000001e-05,reference,0.0,0.0,0.0,1
50,0.0001,reference,0.0,0.0,0.0,1
51,0.00010200000000000001,reference,0.0,0.0,0.0,1
52,0.00010400000000000001,reference,0.0,0.0,0.0,1
53,0.000106,reference,0.0,0.0,0.0,1
54,0.000108,reference,0.0,0.0,0.0,1
55,0.00011,reference,0.0,0.0,0.0,1
56,0.000112,reference,0.0,0.0,0.0,1
57,0.000114,reference,0.0,0.0,0.0,1
58,0.000116,reference,0.0,0.0,0.0,1
59,0.00011800000000000001,reference,0.0,0.0,0.0,1
60,0.00011999999999999999,reference,0.0,0.0,0.0,1
61,0.000122,reference,0.0,0.0,0.0,1
62,0.000124,reference,0.0,0.0,0.0,1
63,0.000126,reference,0.0,0.0,0.0,1
64,0.000128,reference,0.0,0.0,0.0,1
65,0.00013000000000000002,reference,0.0,0.0,0.0,1
66,0.000132,reference,0.0,0.0,0.0,1
67,0.000134,reference,0.0,0.0,0.0,1
68,0.000136,reference,0.0,0.0,0.0,1
69,0.00013800000000000002,reference,0.0,0.0,0.0,0
70,0.00014000000000000001,reference,0.0,0.0,0.0,1
71,0.000142,reference,0.0,0.0,0.0,1
72,0.000144,reference,0.0,0.0,0.0,1
73,0.000146,reference,0.0,0.0,0.0,1
74,0.000148,reference,0.0,0.0,0.0,1
75,0.00015,reference,0.0,0.0,0.0,1
76,0.000152,reference,0.0,0.0,0.0,1
77,0.000154,reference,0.0,0.0,0.0,1
78,0.000156,reference,0.0,0.0,0.0,1
79,0.000158,reference,0.0,0.0,0.0,1
80,0.00016,reference,0.0,0.0,0.0,1
81,0.000162,reference,0.0,0.0,0.0,1
82,0.000164,reference,0.0,0.0,0.0,1
83,0.000166,reference,0.0,0.0,0.0,1
84,0.00016800000000000002,reference,0.0,0.0,0.0,1
85,0.00017,reference,0.0,0.0,0.0,1
86,0.000172,reference,0.0,0.0,0.0,1
87,0.00017400000000000003,reference,0.0,0.0,0.0,1
88,0.000176,reference,0.0,0.0,0.0,1
