candidate_id,ensemble,strict_fingerprint,stieltjes_memory,context_composition,chiral_covariance_scaffold,information_contraction_channel,all_five
0,strict_target,1,1,1,1,1,1
1,random_positive_dense,0,1,1,0,1,0
2,random_positive_circulant,0,1,1,1,1,0
3,random_signed_circulant,0,0,1,1,0,0
4,strict_five_percent_circulant,1,1,1,1,1,1
5,random_positive_dense,0,1,1,0,1,0
6,random_positive_circulant,0,1,1,1,1,0
7,random_signed_circulant,0,0,1,1,0,0
8,strict_five_percent_circulant,0,1,1,1,1,0
9,random_positive_dense,0,1,1,0,1,0
10,random_positive_circulant,0,1,1,1,1,0
11,random_signed_circulant,0,0,1,1,0,0
12,strict_five_percent_circulant,1,1,1,1,1,1
13,random_positive_dense,0,1,1,0,1,0
14,random_positive_circulant,0,1,1,1,1,0
15,random_signed_circulant,0,0,1,1,0,0
16,strict_five_percent_circulant,0,1,1,1,1,0
17,random_positive_dense,0,1,1,0,1,0
18,random_positive_circulant,0,1,1,1,1,0
19,random_signed_circulant,0,0,1,1,0,0
20,strict_five_percent_circulant,0,1,1,1,1,0
21,random_positive_dense,0,1,1,0,1,0
22,random_positive_circulant,0,1,1,1,1,0
23,random_signed_circulant,0,0,1,1,0,0
24,strict_five_percent_circulant,0,1,1,1,1,0
25,random_positive_dense,0,1,1,0,1,0
26,random_positive_circulant,0,1,1,1,1,0
27,random_signed_circulant,0,0,1,1,0,0
28,strict_five_percent_circulant,1,1,1,1,1,1
29,random_positive_dense,0,1,1,0,1,0
30,random_positive_circulant,0,1,1,1,1,0
31,random_signed_circulant,0,0,1,1,0,0
32,strict_five_percent_circulant,0,1,1,1,1,0
33,random_positive_dense,0,1,1,0,1,0
34,random_positive_circulant,0,1,1,1,1,0
35,random_signed_circulant,0,0,1,1,0,0
36,strict_five_percent_circulant,1,1,1,1,1,1
37,random_positive_dense,0,1,1,0,1,0
38,random_positive_circulant,0,1,1,1,1,0
39,random_signed_circulant,0,1,1,1,0,0
40,strict_five_percent_circulant,0,1,1,1,1,0
41,random_positive_dense,0,1,1,0,1,0
42,random_positive_circulant,0,1,1,1,1,0
43,random_signed_circulant,0,0,1,1,0,0
44,strict_five_percent_circulant,1,1,1,1,1,1
45,random_positive_dense,0,1,1,0,1,0
46,random_positive_circulant,0,1,1,1,1,0
47,random_signed_circulant,0,1,1,1,1,0
48,strict_five_percent_circulant,0,1,1,1,1,0
49,random_positive_dense,0,1,1,0,1,0
50,random_positive_circulant,0,1,1,1,1,0
51,random_signed_circulant,0,0,1,1,0,0
52,strict_five_percent_circulant,0,1,1,1,1,0
53,random_positive_dense,0,1,1,0,1,0
54,random_positive_circulant,0,1,1,1,1,0
55,random_signed_circulant,0,0,1,1,0,0
56,strict_five_percent_circulant,0,1,1,1,1,0
57,random_positive_dense,0,1,1,0,1,0
58,random_positive_circulant,0,1,1,1,1,0
59,random_signed_circulant,0,0,1,1,0,0
60,strict_five_percent_circulant,1,1,1,1,1,1
61,random_positive_dense,0,1,1,0,1,0
62,random_positive_circulant,0,1,1,1,1,0
63,random_signed_circulant,0,0,1,1,0,0
64,strict_five_percent_circulant,0,1,1,1,1,0
65,random_positive_dense,0,1,1,0,1,0
66,random_positive_circulant,0,1,1,1,1,0
67,random_signed_circulant,0,0,1,1,0,0
68,strict_five_percent_circulant,1,1,1,1,1,1
69,random_positive_dense,0,1,1,0,1,0
70,random_positive_circulant,0,1,1,1,1,0
71,random_signed_circulant,0,0,1,1,0,0
72,strict_five_percent_circulant,1,1,1,1,1,1
73,random_positive_dense,0,1,1,0,1,0
74,random_positive_circulant,0,1,1,1,1,0
75,random_signed_circulant,0,0,1,1,0,0
76,strict_five_percent_circulant,1,1,1,1,1,1
77,random_positive_dense,0,1,1,0,1,0
78,random_positive_circulant,0,1,1,1,1,0
79,random_signed_circulant,0,0,1,1,0,0
80,strict_five_percent_circulant,1,1,1,1,1,1
81,random_positive_dense,0,1,1,0,1,0
82,random_positive_circulant,0,1,1,1,1,0
83,random_signed_circulant,0,0,1,1,0,0
84,strict_five_percent_circulant,1,1,1,1,1,1
85,random_positive_dense,0,1,1,0,1,0
86,random_positive_circulant,0,1,1,1,1,0
87,random_signed_circulant,0,0,1,1,0,0
88,strict_five_percent_circulant,1,1,1,1,1,1
89,random_positive_dense,0,1,1,0,1,0
90,random_positive_circulant,0,1,1,1,1,0
91,random_signed_circulant,0,1,1,1,0,0
92,strict_five_percent_circulant,0,1,1,1,1,0
93,random_positive_dense,0,1,1,0,1,0
94,random_positive_circulant,0,1,1,1,1,0
95,random_signed_circulant,0,1,1,1,0,0
96,strict_five_percent_circulant,0,1,1,1,1,0
97,random_positive_dense,0,1,1,0,1,0
98,random_positive_circulant,0,1,1,1,1,0
99,random_signed_circulant,0,0,1,1,0,0
100,strict_five_percent_circulant,0,1,1,1,1,0
101,random_positive_dense,0,1,1,0,1,0
102,random_positive_circulant,0,1,1,1,1,0
103,random_signed_circulant,0,1,1,1,0,0
104,strict_five_percent_circulant,0,1,1,1,1,0
105,random_positive_dense,0,1,1,0,1,0
106,random_positive_circulant,0,1,1,1,1,0
107,random_signed_circulant,0,0,1,1,0,0
108,strict_five_percent_circulant,1,1,1,1,1,1
109,random_positive_dense,0,1,1,0,1,0
110,random_positive_circulant,0,1,1,1,1,0
111,random_signed_circulant,0,1,1,1,0,0
112,strict_five_percent_circulant,1,1,1,1,1,1
113,random_positive_dense,0,1,1,0,1,0
114,random_positive_circulant,0,1,1,1,1,0
115,random_signed_circulant,0,1,1,1,0,0
116,strict_five_percent_circulant,1,1,1,1,1,1
117,random_positive_dense,0,1,1,0,1,0
118,random_positive_circulant,0,1,1,1,1,0
119,random_signed_circulant,0,1,1,1,0,0
120,strict_five_percent_circulant,1,1,1,1,1,1
121,random_positive_dense,0,1,1,0,1,0
122,random_positive_circulant,0,1,1,1,1,0
123,random_signed_circulant,0,0,1,1,0,0
124,strict_five_percent_circulant,1,1,1,1,1,1
125,random_positive_dense,0,1,1,0,1,0
126,random_positive_circulant,0,1,1,1,1,0
127,random_signed_circulant,0,1,1,1,0,0
128,strict_five_percent_circulant,1,1,1,1,1,1
129,random_positive_dense,0,1,1,0,1,0
130,random_positive_circulant,0,1,1,1,1,0
131,random_signed_circulant,0,0,1,1,0,0
132,strict_five_percent_circulant,1,1,1,1,1,1
133,random_positive_dense,0,1,1,0,1,0
134,random_positive_circulant,0,1,1,1,1,0
135,random_signed_circulant,0,0,1,1,0,0
