relative_feature_noise,true_mechanism,predicted_mechanism,count
0.05,homogeneous,homogeneous,500
0.05,homogeneous,generator_drift,0
0.05,homogeneous,environment_mixture,0
0.05,homogeneous,apparatus_lag,0
0.05,generator_drift,homogeneous,0
0.05,generator_drift,generator_drift,500
0.05,generator_drift,environment_mixture,0
0.05,generator_drift,apparatus_lag,0
0.05,environment_mixture,homogeneous,0
0.05,environment_mixture,generator_drift,0
0.05,environment_mixture,environment_mixture,500
0.05,environment_mixture,apparatus_lag,0
0.05,apparatus_lag,homogeneous,0
0.05,apparatus_lag,generator_drift,0
0.05,apparatus_lag,environment_mixture,0
0.05,apparatus_lag,apparatus_lag,500
0.1,homogeneous,homogeneous,499
0.1,homogeneous,generator_drift,0
0.1,homogeneous,environment_mixture,1
0.1,homogeneous,apparatus_lag,0
0.1,generator_drift,homogeneous,0
0.1,generator_drift,generator_drift,500
0.1,generator_drift,environment_mixture,0
0.1,generator_drift,apparatus_lag,0
0.1,environment_mixture,homogeneous,2
0.1,environment_mixture,generator_drift,0
0.1,environment_mixture,environment_mixture,498
0.1,environment_mixture,apparatus_lag,0
0.1,apparatus_lag,homogeneous,0
0.1,apparatus_lag,generator_drift,0
0.1,apparatus_lag,environment_mixture,0
0.1,apparatus_lag,apparatus_lag,500
0.2,homogeneous,homogeneous,474
0.2,homogeneous,generator_drift,0
0.2,homogeneous,environment_mixture,26
0.2,homogeneous,apparatus_lag,0
0.2,generator_drift,homogeneous,0
0.2,generator_drift,generator_drift,500
0.2,generator_drift,environment_mixture,0
0.2,generator_drift,apparatus_lag,0
0.2,environment_mixture,homogeneous,36
0.2,environment_mixture,generator_drift,0
0.2,environment_mixture,environment_mixture,464
0.2,environment_mixture,apparatus_lag,0
0.2,apparatus_lag,homogeneous,0
0.2,apparatus_lag,generator_drift,0
0.2,apparatus_lag,environment_mixture,0
0.2,apparatus_lag,apparatus_lag,500
0.35,homogeneous,homogeneous,418
0.35,homogeneous,generator_drift,0
0.35,homogeneous,environment_mixture,82
0.35,homogeneous,apparatus_lag,0
0.35,generator_drift,homogeneous,0
0.35,generator_drift,generator_drift,500
0.35,generator_drift,environment_mixture,0
0.35,generator_drift,apparatus_lag,0
0.35,environment_mixture,homogeneous,88
0.35,environment_mixture,generator_drift,0
0.35,environment_mixture,environment_mixture,412
0.35,environment_mixture,apparatus_lag,0
0.35,apparatus_lag,homogeneous,0
0.35,apparatus_lag,generator_drift,0
0.35,apparatus_lag,environment_mixture,0
0.35,apparatus_lag,apparatus_lag,500
