replication,local_seed,ensemble,control_index,delay5_r2,nonlinear_prediction_r2,narma10_r2,parity3_accuracy
0,3990240245,isospectral_orientation,0,0.19416540758841083,0.7138323893488141,0.5266914409394405,0.9847457627118644
0,3990240245,isospectral_orientation,1,0.193038135008186,0.6620351041563299,0.5531123908606084,0.9822033898305085
0,3990240245,isospectral_orientation,2,0.19577534708589028,0.6159420813138925,0.5742914090663782,0.940677966101695
0,3990240245,isospectral_orientation,3,0.19624751444450583,0.6402460131476235,0.5395495954809598,0.938135593220339
0,3990240245,isospectral_orientation,4,0.19337519710617035,0.6228730116314902,0.5638116226641389,0.9525423728813559
0,3990240245,isospectral_orientation,5,0.19478006143859827,0.6638114164896554,0.5576953773499281,0.9550847457627119
0,3990240245,symmetric_radius_matched,6,0.2485165829250039,0.9238060684661171,0.5826487627521685,0.9245762711864407
0,3990240245,symmetric_radius_matched,7,0.7341056729622936,0.9668159221862931,0.5449693887195706,1.0
0,3990240245,symmetric_radius_matched,8,0.4742799278500618,0.9752460382021074,0.5161601806864411,0.7610169491525424
0,3990240245,symmetric_radius_matched,9,0.5411822864166111,0.954405823871004,0.5717572158133601,0.9830508474576272
0,3990240245,symmetric_radius_matched,10,0.49383791944892896,0.9697654823437258,0.5692761293784585,0.7237288135593221
0,3990240245,symmetric_radius_matched,11,0.44375726404645055,0.9459974182251472,0.5587075570837179,1.0
0,3990240245,FIN,-1,0.20245675867638235,0.6905243439978561,0.5885209712115607,0.75
1,1606918282,isospectral_orientation,0,0.2592704109056717,0.6390477452918121,0.5579586387365554,0.9627118644067797
1,1606918282,isospectral_orientation,1,0.2574466277913219,0.6829318498675032,0.5625694649078532,0.8940677966101694
1,1606918282,isospectral_orientation,2,0.25656493448723194,0.685151219526325,0.5712314008083941,0.9805084745762712
1,1606918282,isospectral_orientation,3,0.25870533449968247,0.6798632312729272,0.566406581284355,0.9372881355932203
1,1606918282,isospectral_orientation,4,0.25531103843291914,0.7065104911797058,0.5573241110985332,0.9788135593220338
1,1606918282,isospectral_orientation,5,0.2613627931226278,0.6909956824992469,0.5795355207598317,0.9906779661016949
