relative_noise,repetition,maximum_relative_pole_error,maximum_relative_weight_error,relative_curve_rmse,minimum_fitted_pole_separation
1e-06,0,0.05735077656301986,1.1432001790006345,9.522182329603425e-07,0.3064673433039362
1e-06,1,0.17133601404087054,3.6095035477168342,8.38166380718495e-07,0.16942023272884166
1e-06,2,0.03275518649869035,0.5302438703039768,9.23558639205141e-07,0.3162982843040274
1e-06,3,0.17174488601887494,3.7015268937053603,8.498742121956638e-07,0.1635028247757293
1e-06,4,0.16432574709386968,3.330662678374791,8.95391914267838e-07,0.18597685754218962
1e-06,5,0.17720021816594358,3.611262596110855,1.1226579375172526e-06,0.18599272573377346
1e-06,6,0.17173629328188322,3.6591155873111028,9.355484294656783e-07,0.16639615656376283
1e-06,7,0.027581235454267158,0.4792328034359416,9.031273475050763e-07,0.3221146590310453
1e-06,8,0.028390504307725738,0.4976454777022197,9.66985423271046e-07,0.33042000444764663
1e-06,9,0.1703773255054353,3.5801308811171095,9.03858153727645e-07,0.17138481613598344
1e-06,10,0.17938236881285693,3.7130049203518767,8.43664946311221e-07,0.17725720456522764
1e-06,11,0.02211770633484851,0.3463571108138126,8.312815823961686e-07,0.33869317687221434
1e-06,12,0.05695271607272766,1.221213016909132,8.417530764022443e-07,0.297462020326422
1e-06,13,0.05973065690132989,1.1508126131312693,9.727568908574855e-07,0.2970500076889555
1e-06,14,0.17524200940203644,3.8349483972106113,9.5746945181594e-07,0.1545571949902682
1e-06,15,0.0691086161188446,1.570826152021725,8.575491113691826e-07,0.28501741287180415
1e-06,16,0.1649669102214875,3.343944128910476,7.582199828019136e-07,0.1838291854117371
1e-06,17,0.05206396334520748,1.0743142980775848,8.578964835278467e-07,0.3043020425367995
1e-06,18,0.17623239620047992,3.858641760712106,1.0459438096985083e-06,0.15445033993324664
1e-06,19,0.05855893965891492,1.3119629400635258,7.51997034402074e-07,0.29118784004317666
1e-06,20,0.1657189119237063,3.3847958333533166,8.692422906253257e-07,0.18297803452678574
1e-06,21,0.021149249403703534,0.32036839021030944,9.143895985063439e-07,0.3391771015514733
1e-06,22,0.03525315637232291,0.6861300615720749,1.0059215691221233e-06,0.3187807002602747
1e-06,23,0.0643047813322093,1.1527281818429955,1.0158838553069356e-06,0.2722987159442378
1e-06,24,0.05607157084143141,1.305671822705766,9.930338635014168e-07,0.2860948092727438
1e-06,25,0.17415054559954968,3.7674517056207746,9.036320055386593e-07,0.15979836584011187
1e-06,26,0.05589087052813242,1.1592782826997414,8.5842534104837e-07,0.30232015717999383
1e-06,27,0.17061033186391225,3.6357066268022398,7.319959585335247e-07,0.16752615535561843
1e-06,28,0.16831601240677846,3.498148280412054,1.0093063485205873e-06,0.17616258118658212
1e-06,29,0.0345750523563172,0.6941873707125478,8.337509303064848e-07,0.31725431313285646
1e-06,30,0.0431787796385237,0.6893083641614733,9.25574649984674e-07,0.3063027271571783
1e-06,31,0.052220082280753644,0.9637871502434182,1.0003648161454839e-06,0.3048362403256226
1e-06,32,0.16951971828647047,3.590178862512711,9.915123591838254e-07,0.16982957186305847
1e-06,33,0.1745639423353342,3.7721473705441193,8.510168592637025e-07,0.15996102027090853
1e-06,34,0.18149916275083328,4.00854259964375,9.286988896817336e-07,0.1442662448527834
1e-06,35,0.029505505555817338,0.6092852088200097,1.1093364900678754e-06,0.31915481553787184
1e-06,36,0.05992475641290564,1.251550778470116,1.0615696130211635e-06,0.3010445063046756
1e-06,37,0.05030051564910826,1.0753545754682878,8.066557795072897e-07,0.3011017074012676
1e-06,38,0.02077959253017067,0.41987418038653407,1.0094003263198716e-06,0.32944993121694877
1e-06,39,0.00960679802373198,0.16843647563676195,7.754257057875475e-07,0.34528098248424777
1e-06,40,0.05028427591539677,0.9957193652634182,8.62216044223617e-07,0.308778090050025
1e-06,41,0.005248825120670289,0.0734788995724176,8.623695137862223e-07,0.34935030350736906
1e-06,42,0.0520868343565453,1.0242583470037778,8.091780997895113e-07,0.3104168757431096
1e-06,43,0.05784500619042775,1.1484772940116459,1.0612277940018441e-06,0.30219338714200217
1e-06,44,0.06630185459820825,1.4816078961372616,7.540647447127692e-07,0.28832033617623964
1e-06,45,0.056566872092008294,1.1617123484993137,7.982972113263943e-07,0.30307745852491674
