experiment,time,control,completion_coordinate,estimated_derivative
passive,0.0,0.0,0.33002202640379763,-0.1233775087985986
passive,0.04,0.0,0.3250869260518537,-0.11630449693458278
passive,0.08,0.0,0.3204347461744704,-0.1280300125017439
passive,0.12,0.0,0.3153135456744006,-0.12031248980075432
passive,0.16,0.0,0.31050104608237045,-0.11721817822544223
passive,0.2,0.0,0.30581231895335276,-0.11842187887751848
passive,0.24,0.0,0.301075443798252,-0.1005314722254666
passive,0.28,0.0,0.29705418490923335,-0.12183305167283165
passive,0.32,0.0,0.2921808628423201,-0.10931941423975577
passive,0.36,0.0,0.28780808627272986,-0.0959557111784734
passive,0.4,0.0,0.2839698578255909,-0.11442473426337557
passive,0.44,0.0,0.2793928684550559,-0.09888426263585659
passive,0.48,0.0,0.27543749794962163,-0.10546052190508748
passive,0.52,0.0,0.27121907707341814,-0.0974706227687458
passive,0.56,0.0,0.2673202521626683,-0.10144215737821344
passive,0.6,0.0,0.26326256586753977,-0.10229058702956317
passive,0.64,0.0,0.25917094238635724,-0.0927659770369682
passive,0.68,0.0,0.2554603033048785,-0.08953776068532648
passive,0.72,0.0,0.25187879287746545,-0.09297692709426056
passive,0.76,0.0,0.24815971579369503,-0.09070162544791427
passive,0.8,0.0,0.24453165077577846,-0.09531355611319195
passive,0.84,0.0,0.24071910853125078,-0.08081953427927571
passive,0.88,0.0,0.23748632716007975,-0.09229897466316514
passive,0.92,0.0,0.23379436817355315,-0.07654694388408573
passive,0.96,0.0,0.23073249041818972,-0.0763852373923235
passive,1.0,0.0,0.22767708092249678,-0.09417372964664258
passive,1.04,0.0,0.22391013173663107,-0.07765702544606512
passive,1.08,0.0,0.22080385071878847,-0.07932292250842701
passive,1.12,0.0,0.2176309338184514,-0.08037434453350908
passive,1.16,0.0,0.21441596003711103,-0.07641870347538382
passive,1.2,0.0,0.21135921189809567,-0.07159978635530237
passive,1.24,0.0,0.20849522044388358,-0.07344550144408254
passive,1.28,0.0,0.20555740038612028,-0.0798654087299143
passive,1.32,0.0,0.2023627840369237,-0.07573848798189745
passive,1.36,0.0,0.1993332445176478,-0.06692310543823382
passive,1.4000000000000001,0.0,0.19665632030011845,-0.06560540427026293
passive,1.44,0.0,0.19403210412930794,-0.07407575358033963
passive,1.48,0.0,0.19106907398609435,-0.06941719883152356
passive,1.52,0.0,0.1882923860328334,-0.06372359177477249
passive,1.56,0.0,0.1857434423618425,-0.06442721789536102
passive,1.6,0.0,0.18316635364602807,-0.06589678547358341
passive,1.6400000000000001,0.0,0.18053048222708473,-0.05924190811656474
passive,1.68,0.0,0.17816080590242214,-0.07539618669362494
passive,1.72,0.0,0.17514495843467714,-0.046971753117009546
passive,1.76,0.0,0.17326608830999676,-0.06784681434442164
passive,1.8,0.0,0.1705522157362199,-0.056478341432045914
passive,1.84,0.0,0.16829308207893806,-0.06094171958296382
passive,1.8800000000000001,0.0,0.1658554132956195,-0.054065564925424164
passive,1.92,0.0,0.16369279069860254,-0.05544465493358547
passive,1.96,0.0,0.16147500450125912,-0.0609961870615669
passive,2.0,0.0,0.15903515701879645,-0.05293618332018191
passive,2.04,0.0,0.15691770968598917,-0.05012136443922344
passive,2.08,0.0,0.15491285510842023,-0.05532080042177992
passive,2.12,0.0,0.15270002309154904,-0.05769644827345946
