mean_mode_loss,phase_parameter_sigma,repetition,response_rank,response_minimum_singular_value,completeness_residual,minimum_effect_eigenvalue,maximum_effect_error_from_ideal_detector_model,mean_realized_transmission
0.0,0.0,0,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,1,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,2,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,3,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,4,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,5,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,6,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,7,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,8,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,9,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,10,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0,11,5,0.24048057173033838,2.237605234578297e-16,0.018957956239281776,8.500096043318654e-16,1.0
0.0,0.0001,0,5,0.2404572238108412,1.2386584459599027e-16,0.018955527819351094,0.00032205541631023674,1.0
0.0,0.0001,1,5,0.2404276945574327,2.2524141000570635e-16,0.01896061518177269,0.00027609741901403457,1.0
0.0,0.0001,2,5,0.24043994620480544,2.2300892501926235e-16,0.018965251549631103,0.000319045640162007,1.0
0.0,0.0001,3,5,0.24051459217988513,2.305000104514151e-16,0.018928487118356388,0.00026862457275875207,1.0
0.0,0.0001,4,5,0.2404942006384618,2.3504087457346883e-16,0.018973916130244056,0.0002805092147540083,1.0
0.0,0.0001,5,5,0.24045462355360883,2.240397260058907e-16,0.01892816911522621,0.00029216059100982633,1.0
0.0,0.0001,6,5,0.24055129529919178,2.242506585191781e-16,0.018970401136054554,0.00030431048566121574,1.0
0.0,0.0001,7,5,0.24053646653416738,2.3525307232509466e-16,0.01894784269076001,0.00027997741933849957,1.0
0.0,0.0001,8,5,0.24053448847638098,2.241227912256655e-16,0.01895583516806478,0.00027649120744485716,1.0
0.0,0.0001,9,5,0.24045345287503775,2.328292847943933e-16,0.018959172023296,0.0002832490924257037,1.0
0.0,0.0001,10,5,0.24043777534056693,2.2430867167362085e-16,0.018938769914789,0.0002514104021406835,1.0
0.0,0.0001,11,5,0.2404163406690293,2.299351234607642e-16,0.018950756894885252,0.0003286987868891951,1.0
0.0,0.001,0,5,0.2405399325854316,2.2690711525010815e-16,0.01909226662732328,0.002777569218792083,1.0
0.0,0.001,1,5,0.23976085774508024,2.3627745278545206e-16,0.018761315648257143,0.0026964431041282466,1.0
0.0,0.001,2,5,0.2401619948311713,2.258771010779724e-16,0.019128423965137656,0.0028410290513553567,1.0
0.0,0.001,3,5,0.24020811869973455,2.2400877734180434e-16,0.019299384797652207,0.0033898952847991716,1.0
0.0,0.001,4,5,0.24050073728662422,2.2543386991554676e-16,0.01900470838151056,0.0035512159612459838,1.0
0.0,0.001,5,5,0.23989902092245804,2.2514470136818136e-16,0.019122009415468114,0.00296731623466636,1.0
0.0,0.001,6,5,0.24023924447788234,2.3326410356789547e-16,0.018619006849526908,0.002992838454574512,1.0
0.0,0.001,7,5,0.24145786394882204,2.2349311258570485e-16,0.019192999076941105,0.002865808138748851,1.0
0.0,0.001,8,5,0.24011061029665706,2.236937291792253e-16,0.018794221470572935,0.0027481254060183202,1.0
0.0,0.001,9,5,0.24075349296709186,3.335160540615427e-16,0.019267229881508464,0.0029971086156595863,1.0
0.0,0.001,10,5,0.24019471901760162,2.2963515306722847e-16,0.019060885856226166,0.003140250484971357,1.0
0.0,0.001,11,5,0.23955624420810193,2.4483377096090983e-16,0.019084609720159046,0.003222994072399988,1.0
0.01,0.0,0,5,0.23780463533926757,2.419501729173157e-16,0.018754374991236163,0.01177902309843172,0.9889560299489261
0.01,0.0,1,5,0.23803619340588,2.258539181442306e-16,0.018763355841861704,0.010672783786872038,0.9898445323246077
0.01,0.0,2,5,0.23791174492815856,2.229603500275594e-16,0.018772237275438385,0.01059209382115829,0.9893395334881051
0.01,0.0,3,5,0.23809343721234896,2.3020493751069205e-16,0.018774302278488583,0.01172619065729435,0.9901515385662313
0.01,0.0,4,5,0.23794002031680492,2.2919219463010843e-16,0.01877550163954105,0.01051656345892102,0.9894919006533234
0.01,0.0,5,5,0.23776604623971823,2.2401253797654175e-16,0.018736355575468197,0.013298929745488923,0.9887742646159023
0.01,0.0,6,5,0.23787097172198324,2.2384391289259304e-16,0.018761814314948326,0.011281669016791101,0.9891966425674887
0.01,0.0,7,5,0.2379330298733871,2.279285660905278e-16,0.01875790682506839,0.011304901710681695,0.9894289583707186
0.01,0.0,8,5,0.23775130113126433,2.2410696478621723e-16,0.018744625649623453,0.01188820232024464,0.988742782400795
0.01,0.0,9,5,0.2377596996911217,2.283178014366023e-16,0.01875480658157331,0.011489968108371216,0.9886927839988289
0.01,0.0,10,5,0.23788914507632727,2.245506472420933e-16,0.018748457582548346,0.012040753865142811,0.9892431973296232
0.01,0.0,11,5,0.23788611793331668,2.233810819977117e-16,0.0187468383205351,0.01232210353621566,0.9892218426336536
0.01,0.0001,0,5,0.23775610783227644,2.286066601660897e-16,0.018744969911166268,0.012133546645508569,0.9888475537911804
0.01,0.0001,1,5,0.23793839862523528,2.320680293040826e-16,0.01874722184300271,0.011447888973635776,0.9894831994021741
0.01,0.0001,2,5,0.23783418526052838,2.2554199697938197e-16,0.018747414685342467,0.011003267429201739,0.9890812346523035
0.01,0.0001,3,5,0.2379341706262883,2.3012994731973085e-16,0.018752001211504273,0.011313475789239143,0.9894477289823939
0.01,0.0001,4,5,0.2379001544744618,2.403116752893344e-16,0.01876357790521359,0.0108152628468087,0.9893879403598452
0.01,0.0001,5,5,0.2379077570408019,2.262288179838458e-16,0.018742365677547126,0.011246653519893174,0.9892144211500893
0.01,0.0001,6,5,0.23769314796709415,2.3150334402946424e-16,0.01873188204006676,0.012222076375721622,0.9888441772260771
0.01,0.0001,7,5,0.2376346524353705,2.2400941397380923e-16,0.01876527393706424,0.011931423136107828,0.988551026765224
0.01,0.0001,8,5,0.23782867698667584,2.3035556425812756e-16,0.01875688450089337,0.011244606758971622,0.9891116348386976
0.01,0.0001,9,5,0.2380841135763264,2.3143967522597254e-16,0.01878224805119027,0.011133599606136179,0.9899803007140042
0.01,0.0001,10,5,0.2381358807343268,1.2644337515199942e-16,0.018779126738160255,0.011083798209492382,0.9902227839503657
0.01,0.0001,11,5,0.23787044300869586,2.2565008104228105e-16,0.01870490997650229,0.012133050591930048,0.9893428989227849
0.01,0.001,0,5,0.23844099785015152,2.2881235424231126e-16,0.01840316473684445,0.013085844603233263,0.989147246608396
0.01,0.001,1,5,0.2378734062599713,2.2840617294190553e-16,0.018183000647301113,0.011312894970458435,0.989736559089279
0.01,0.001,2,5,0.23807700004023064,2.4847813763488943e-16,0.01871542374403252,0.010999916096296173,0.9894663263854471
0.01,0.001,3,5,0.23726147139409987,2.234838029114178e-16,0.01914899765617419,0.01187541235686412,0.9894835031561612
0.01,0.001,4,5,0.23720869881311457,2.280773604188444e-16,0.01895603370730238,0.011734978495317756,0.9892246215558634
0.01,0.001,5,5,0.23806736286803676,2.233508676769489e-16,0.018780023342479763,0.012296045371340387,0.9895051590085677
0.01,0.001,6,5,0.2380850150163749,4.445740515314026e-16,0.018645020144486258,0.0116136567322598,0.9894668788078873
0.01,0.001,7,5,0.23745075893083126,2.34465075678146e-16,0.01876029942756293,0.012299775180317081,0.9888240115154048
0.01,0.001,8,5,0.23797829486021727,3.3636630811385734e-16,0.019015544282156526,0.010471931607331383,0.9897414465758231
0.01,0.001,9,5,0.23746208390066817,2.2396776660410805e-16,0.01895429914520002,0.010983843767128139,0.9891819167914677
0.01,0.001,10,5,0.23831857531437398,2.2413337797405555e-16,0.018676182535971073,0.010818898041984486,0.9899633925134902
0.01,0.001,11,5,0.23766131843895963,2.2458351552388455e-16,0.018846080546121028,0.009910456811133284,0.9899830063881245
0.03,0.0,0,5,0.23302022555747925,2.3153223382810184e-16,0.018377705225177433,0.03140229716389412,0.9692642823269559
0.03,0.0,1,5,0.23347611807087004,3.343947446462716e-16,0.01839902486279521,0.03230036915432395,0.9709971264265066
0.03,0.0,2,5,0.23324429169744224,2.315747881206623e-16,0.018390425021744643,0.034413338123078785,0.9699266418179159
0.03,0.0,3,5,0.23260034642851987,2.333262141113835e-16,0.018320928200841455,0.037118673252205,0.9673253182260836
0.03,0.0,4,5,0.23264245861355243,4.449348156936765e-16,0.018302019493966,0.03247355183720394,0.967782633451044
0.03,0.0,5,5,0.2321221244858093,2.238517381861923e-16,0.018299216093776757,0.039655503520223116,0.9653553804412122
