permutation,maximum_simplex_and_order_margin,center_jacobian_rank,center_gram_determinant,is_strict_order_chamber
"[0, 1, 2, 3, 4, 5]",0.13333333333333333,5,31396.685311040044,True
"[0, 1, 2, 3, 5, 4]",0.11769145362397902,5,24343.33520120352,False
"[0, 1, 2, 4, 3, 5]",0.1111111111111112,5,25191.651752864018,False
"[0, 1, 2, 4, 5, 3]",0.10344827586206905,5,17417.089796732656,False
"[0, 1, 2, 5, 3, 4]",0.11582151289144624,5,24019.167732794023,False
"[0, 1, 2, 5, 4, 3]",0.10714285714285732,5,19487.57746643944,False
"[0, 1, 3, 2, 4, 5]",0.10909090909090907,5,54868.66999231193,False
"[0, 1, 3, 2, 5, 4]",0.10912908023374118,5,33225.75657031467,False
"[0, 1, 3, 4, 2, 5]",0.0937499999999999,5,68112.76072399973,False
"[0, 1, 3, 4, 5, 2]",0.08823529411764708,5,43191.72495024192,False
"[0, 1, 3, 5, 2, 4]",0.10172808531111367,5,43765.88446407442,False
"[0, 1, 3, 5, 4, 2]",0.09523809523809514,5,46981.43326927269,False
"[0, 1, 4, 2, 3, 5]",0.10810810810810811,5,34998.33014086993,False
"[0, 1, 4, 2, 5, 3]",0.10344827586206899,5,17417.08979902217,False
"[0, 1, 4, 3, 2, 5]",0.09523809523809512,5,56383.93594208381,False
"[0, 1, 4, 3, 5, 2]",0.08955223880597016,5,36156.903389059196,False
"[0, 1, 4, 5, 2, 3]",0.10714285714285712,5,19487.57746435076,False
"[0, 1, 4, 5, 3, 2]",0.09836065573770475,5,31900.514553701316,False
"[0, 1, 5, 2, 3, 4]",0.10751946793076332,5,32652.158002424727,False
"[0, 1, 5, 2, 4, 3]",0.1033203781138743,5,17677.580777302086,False
"[0, 1, 5, 3, 2, 4]",0.1017280853111137,5,43765.88445071586,False
"[0, 1, 5, 3, 4, 2]",0.10526315789473671,5,42115.35168787105,False
"[0, 1, 5, 4, 2, 3]",0.10344827586206912,5,17417.08979586228,False
"[0, 1, 5, 4, 3, 2]",0.10714285714285715,5,34056.38036156344,False
"[0, 2, 1, 3, 4, 5]",0.11111111111111116,5,25191.651752100996,False
"[0, 2, 1, 3, 5, 4]",0.11324865405187116,5,21299.24589468016,False
"[0, 2, 1, 4, 3, 5]",0.08955223880596994,5,45166.99034262075,False
"[0, 2, 1, 4, 5, 3]",0.08571428571428573,5,24287.62287003539,False
"[0, 2, 1, 5, 3, 4]",0.11324865405187119,5,21299.245899495807,False
"[0, 2, 1, 5, 4, 3]",0.09677419354838715,5,23266.929494130047,False
"[0, 2, 3, 1, 4, 5]",0.11111111111111109,5,25191.651754767165,False
"[0, 2, 3, 1, 5, 4]",0.10172808531111355,5,25463.668275236756,False
"[0, 2, 3, 4, 1, 5]",0.08955223880597012,5,45166.99035492748,False
"[0, 2, 3, 4, 5, 1]",0.08571428571428559,5,24287.62286727425,False
"[0, 2, 3, 5, 1, 4]",0.09233502047139598,5,29513.502567291453,False
"[0, 2, 3, 5, 4, 1]",0.0967741935483871,5,23266.92949617863,False
"[0, 2, 4, 1, 3, 5]",0.07692307692307704,5,50267.10474536388,False
"[0, 2, 4, 1, 5, 3]",0.07407407407407425,5,26671.878300616638,False
"[0, 2, 4, 3, 1, 5]",0.07692307692307698,5,50267.10473915146,False
"[0, 2, 4, 3, 5, 1]",0.07407407407407417,5,26671.878302634595,False
"[0, 2, 4, 5, 1, 3]",0.07142857142857155,5,28191.967963722604,False
"[0, 2, 4, 5, 3, 1]",0.07142857142857152,5,28191.96796553136,False
"[0, 2, 5, 1, 3, 4]",0.10172808531111362,5,25463.66827762526,False
"[0, 2, 5, 1, 4, 3]",0.09230769230769259,5,25133.552373099825,False
"[0, 2, 5, 3, 1, 4]",0.09233502047139594,5,29513.50256749639,False
"[0, 2, 5, 3, 4, 1]",0.09230769230769227,5,25133.552370655852,False
"[0, 2, 5, 4, 1, 3]",0.07894736842105249,5,27641.450741872803,False
"[0, 2, 5, 4, 3, 1]",0.07894736842105254,5,27641.450746971605,False
"[0, 3, 1, 2, 4, 5]",0.10909090909090913,5,54868.67001239068,False
"[0, 3, 1, 2, 5, 4]",0.09839168603418368,5,37993.611812542236,False
"[0, 3, 1, 4, 2, 5]",0.09374999999999992,5,68112.76073726994,False
"[0, 3, 1, 4, 5, 2]",0.08823529411764716,5,43191.72494545918,False
"[0, 3, 1, 5, 2, 4]",0.09233502047139608,5,48501.86826447139,False
"[0, 3, 1, 5, 4, 2]",0.09523809523809519,5,46981.43325822406,False
"[0, 3, 2, 1, 4, 5]",0.12147641254601606,5,15730.114311018511,False
"[0, 3, 2, 1, 5, 4]",0.09526718633833038,5,33330.03734299739,False
"[0, 3, 2, 4, 1, 5]",0.1084211699147143,5,33804.72912013291,False
"[0, 3, 2, 4, 5, 1]",0.10220460204158203,5,20137.67160405648,False
"[0, 3, 2, 5, 1, 4]",0.08698077284395334,5,37512.684117118995,False
"[0, 3, 2, 5, 4, 1]",0.09120674316072866,5,30045.096848328,False
"[0, 3, 4, 1, 2, 5]",0.09523809523809534,5,56383.935945892816,False
"[0, 3, 4, 1, 5, 2]",0.08955223880597002,5,36156.90338839785,False
"[0, 3, 4, 2, 1, 5]",0.10810810810810814,5,34998.33015813217,False
"[0, 3, 4, 2, 5, 1]",0.1033203781138743,5,17677.580779653257,False
"[0, 3, 4, 5, 1, 2]",0.09836065573770476,5,31900.514561552372,False
"[0, 3, 4, 5, 2, 1]",0.10831829469354222,5,22983.403810124786,False
"[0, 3, 5, 1, 2, 4]",0.08452994616207471,5,52860.36741294272,False
"[0, 3, 5, 1, 4, 2]",0.09120674316072871,5,49107.09733937381,False
"[0, 3, 5, 2, 1, 4]",0.08221344675280377,5,46634.03893048098,False
"[0, 3, 5, 2, 4, 1]",0.08597884299392629,5,38055.767101971105,False
"[0, 3, 5, 4, 1, 2]",0.09586432166392728,5,39220.50815832331,False
"[0, 3, 5, 4, 2, 1]",0.09289585560300306,5,34472.82669660548,False
"[0, 4, 1, 2, 3, 5]",0.0895522388059701,5,45166.99035438993,False
"[0, 4, 1, 2, 5, 3]",0.08571428571428596,5,24287.62287229745,False
"[0, 4, 1, 3, 2, 5]",0.09677419354838714,5,46533.85899701602,False
"[0, 4, 1, 3, 5, 2]",0.09090909090909083,5,30187.06033990589,False
"[0, 4, 1, 5, 2, 3]",0.09677419354838716,5,23266.9294946778,False
"[0, 4, 1, 5, 3, 2]",0.1000000000000003,5,26161.02000139206,False
"[0, 4, 2, 1, 3, 5]",0.07692307692307687,5,50267.10474495885,False
"[0, 4, 2, 1, 5, 3]",0.0740740740740741,5,26671.878306255185,False
"[0, 4, 2, 3, 1, 5]",0.07692307692307682,5,50267.104746826844,False
"[0, 4, 2, 3, 5, 1]",0.0740740740740742,5,26671.878303712747,False
"[0, 4, 2, 5, 1, 3]",0.0714285714285714,5,28191.96797241186,False
"[0, 4, 2, 5, 3, 1]",0.07142857142857144,5,28191.9679701226,False
"[0, 4, 3, 1, 2, 5]",0.0967741935483871,5,46533.85899535586,False
"[0, 4, 3, 1, 5, 2]",0.09090909090909105,5,30187.060334354086,False
"[0, 4, 3, 2, 1, 5]",0.08955223880597021,5,45166.99035285491,False
"[0, 4, 3, 2, 5, 1]",0.08571428571428583,5,24287.622874891233,False
"[0, 4, 3, 5, 1, 2]",0.09999999999999994,5,26161.019994156108,False
"[0, 4, 3, 5, 2, 1]",0.09677419354838715,5,23266.929496249755,False
"[0, 4, 5, 1, 2, 3]",0.0923076923076925,5,25133.552375526302,False
"[0, 4, 5, 1, 3, 2]",0.11111111111111094,5,22012.394190064344,False
"[0, 4, 5, 2, 1, 3]",0.0789473684210528,5,27641.450748958578,False
"[0, 4, 5, 2, 3, 1]",0.07894736842105259,5,27641.450742424502,False
"[0, 4, 5, 3, 1, 2]",0.11111111111111104,5,22012.394193579603,False
"[0, 4, 5, 3, 2, 1]",0.09230769230769238,5,25133.55237162427,False
"[0, 5, 1, 2, 3, 4]",0.09839168603418369,5,37993.61181311455,False
"[0, 5, 1, 2, 4, 3]",0.10562664776951536,5,23122.488456393796,False
"[0, 5, 1, 3, 2, 4]",0.09233502047139613,5,48501.86825856036,False
"[0, 5, 1, 3, 4, 2]",0.1003602771855286,5,44423.207051497135,False
"[0, 5, 1, 4, 2, 3]",0.10714285714285685,5,19487.577465718026,False
"[0, 5, 1, 4, 3, 2]",0.11420762153995727,5,28424.16474315596,False
"[0, 5, 2, 1, 3, 4]",0.09526718633833003,5,33330.03734317637,False
"[0, 5, 2, 1, 4, 3]",0.105263157894737,5,24099.043113213942,False
"[0, 5, 2, 3, 1, 4]",0.08698077284395327,5,37512.68411755493,False
"[0, 5, 2, 3, 4, 1]",0.09120674316072873,5,30045.096851731832,False
"[0, 5, 2, 4, 1, 3]",0.08823529411764713,5,26977.423966688682,False
"[0, 5, 2, 4, 3, 1]",0.08823529411764712,5,26977.42396573025,False
"[0, 5, 3, 1, 2, 4]",0.08452994616207489,5,52860.367414295426,False
"[0, 5, 3, 1, 4, 2]",0.09120674316072865,5,49107.09733001201,False
"[0, 5, 3, 2, 1, 4]",0.08221344675280379,5,46634.03893404776,False
"[0, 5, 3, 2, 4, 1]",0.08597884299392629,5,38055.76710284329,False
"[0, 5, 3, 4, 1, 2]",0.09586432166392748,5,39220.50815977544,False
"[0, 5, 3, 4, 2, 1]",0.0928958556030031,5,34472.82669196581,False
"[0, 5, 4, 1, 2, 3]",0.10526315789473688,5,24099.04311236214,False
"[0, 5, 4, 1, 3, 2]",0.12294112652690886,5,21725.972919909193,False
"[0, 5, 4, 2, 1, 3]",0.08823529411764701,5,26977.423969896405,False
"[0, 5, 4, 2, 3, 1]",0.08823529411764713,5,26977.42396609944,False
"[0, 5, 4, 3, 1, 2]",0.1123757443581392,5,26206.288866409483,False
"[0, 5, 4, 3, 2, 1]",0.10526315789473695,5,24099.043106562014,False
"[1, 0, 2, 3, 4, 5]",0.11764705882352944,5,39818.58852619607,False
"[1, 0, 2, 3, 5, 4]",0.1142857142857143,5,28191.96796818935,False
"[1, 0, 2, 4, 3, 5]",0.12499999999999996,5,19237.055437462383,False
"[1, 0, 2, 4, 5, 3]",0.0999999999999999,5,26161.01999529247,False
"[1, 0, 2, 5, 3, 4]",0.10169491525423725,5,36452.36164007905,False
"[1, 0, 2, 5, 4, 3]",0.09375000000000004,5,34056.380361946016,False
"[1, 0, 3, 2, 4, 5]",0.10714285714285701,5,68112.76072266142,False
"[1, 0, 3, 2, 5, 4]",0.11764705882352944,5,36844.49446546343,False
"[1, 0, 3, 4, 2, 5]",0.09230769230769223,5,82040.6467253227,False
"[1, 0, 3, 4, 5, 2]",0.08695652173913043,5,51461.52895201647,False
"[1, 0, 3, 5, 2, 4]",0.11066968190736745,5,41465.30048335115,False
"[1, 0, 3, 5, 4, 2]",0.09375,5,56754.37637796712,False
"[1, 0, 4, 2, 3, 5]",0.11111111111111102,5,44024.78838001076,False
"[1, 0, 4, 2, 5, 3]",0.09999999999999996,5,26161.01999260508,False
"[1, 0, 4, 3, 2, 5]",0.09375000000000006,5,68112.76072542962,False
"[1, 0, 4, 3, 5, 2]",0.08823529411764708,5,43191.724940331034,False
"[1, 0, 4, 5, 2, 3]",0.09375,5,34056.38036585214,False
