times,worst_case_minimum_information_eigenvalue,median_minimum_information_eigenvalue,all_sampled_clocks_monotone
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 0.09360176585269005]",4.045258077187671e-12,4.0491103185119015e-12,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 0.11969831626736879]",1.2400222749833572e-11,1.2410815357074966e-11,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 0.15307069035205895]",2.8047325632682145e-11,2.807044618098773e-11,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 0.1957474171359199]",5.591024383890899e-11,5.5955549424737375e-11,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 0.25032258773548044]",1.0315177300429684e-10,1.0323446964948666e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 0.3201135363491284]",1.79616399698714e-10,1.7976113184405928e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 0.4093624833498013]",2.973226492246639e-10,2.975673649660273e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 0.5234943972864351]",4.680307164094888e-10,4.684268788507728e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 0.6694467498530259]",6.981671244896785e-10,6.987780493147773e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 0.8560912078750774]",9.824021329739887e-10,9.832929045100312e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 1.0947728947252522]",1.3003701882748695e-09,1.3015902367717747e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.07319476868138912, 1.4]",1.6213030252112002e-09,1.6228705252385874e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 0.11969831626736879]",4.7737785548916294e-11,4.7788712429400045e-11,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 0.15307069035205895]",1.1572513670476599e-10,1.1582308124914513e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 0.1957474171359199]",2.3067028476116397e-10,2.3085285765708374e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 0.25032258773548044]",4.2298782960112514e-10,4.233174899804573e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 0.3201135363491284]",7.318797122260666e-10,7.324580971452489e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 0.4093624833498013]",1.2045433302461872e-09,1.2055217458096973e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 0.5234943972864351]",1.8867394924285796e-09,1.888331538742565e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 0.6694467498530259]",2.8032966838767277e-09,2.8057723300932515e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 0.8560912078750774]",3.933747175474194e-09,3.937393905072739e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 1.0947728947252522]",5.199963451177147e-09,5.205013381241217e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.09360176585269005, 1.4]",6.483404951899647e-09,6.489958760890303e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.11969831626736879, 0.15307069035205895]",2.893048542661783e-10,2.8959481335722646e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.11969831626736879, 0.1957474171359199]",5.910960514583866e-10,5.915634159554946e-10,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.11969831626736879, 0.25032258773548044]",1.079095406327343e-09,1.0799293680012958e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.11969831626736879, 0.3201135363491284]",1.8564519366784909e-09,1.8579125082495463e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.11969831626736879, 0.4093624833498013]",3.0394648533055234e-09,3.0419490372023628e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.11969831626736879, 0.5234943972864351]",4.7395096384780166e-09,4.7435890754981566e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.11969831626736879, 0.6694467498530259]",7.016849034057254e-09,7.023264537809719e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.11969831626736879, 0.8560912078750774]",9.823194478112962e-09,9.832760734622603e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.11969831626736879, 1.0947728947252522]",1.2972558948196507e-08,1.2985967772391576e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.11969831626736879, 1.4]",1.6180823015057874e-08,1.619842383481601e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.15307069035205895, 0.1957474171359199]",1.2378609045746258e-09,1.238988512768166e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.15307069035205895, 0.25032258773548044]",2.2801246104989275e-09,2.281946061518741e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.15307069035205895, 0.3201135363491284]",3.907850690526703e-09,3.911017714400059e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.15307069035205895, 0.4093624833498013]",6.370260381075263e-09,6.375681560321272e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.15307069035205895, 0.5234943972864351]",9.893847119228204e-09,9.90284254346111e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.15307069035205895, 0.6694467498530259]",1.4601042319289754e-08,1.461535798159509e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.15307069035205895, 0.8560912078750774]",2.0398978774249318e-08,2.0420588996704277e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.15307069035205895, 1.0947728947252522]",2.692248894011259e-08,2.6953146144010937e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.15307069035205895, 1.4]",3.3608253153674954e-08,3.364895446040524e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.1957474171359199, 0.25032258773548044]",4.328327739501085e-09,4.332264382035063e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.1957474171359199, 0.3201135363491284]",7.429891163680808e-09,7.436301075853115e-09,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.1957474171359199, 0.4093624833498013]",1.206444372404503e-08,1.2075435401692936e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.1957474171359199, 0.5234943972864351]",1.8664052014351323e-08,1.8682471666993996e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.1957474171359199, 0.6694467498530259]",2.745539223664138e-08,2.748504569430855e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.1957474171359199, 0.8560912078750774]",3.8281004050692386e-08,3.832629691604022e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.1957474171359199, 1.0947728947252522]",5.0500045925107435e-08,5.0565050874123694e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.1957474171359199, 1.4]",6.311115495096902e-08,6.319843872188744e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.25032258773548044, 0.3201135363491284]",1.316741303314778e-08,1.3180334220242546e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.25032258773548044, 0.4093624833498013]",2.1339568841716303e-08,2.1360935931917773e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.25032258773548044, 0.5234943972864351]",3.288126566366445e-08,3.2917296724960813e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.25032258773548044, 0.6694467498530259]",4.820678977409928e-08,4.8265392893146825e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.25032258773548044, 0.8560912078750774]",6.707568941499283e-08,6.716616666425401e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.25032258773548044, 1.0947728947252522]",8.845105737643195e-08,8.858233120864312e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.25032258773548044, 1.4]",1.1068596310063548e-07,1.1086417878641959e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.3201135363491284, 0.4093624833498013]",3.574193390393714e-08,3.5783038100830043e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.3201135363491284, 0.5234943972864351]",5.489381221683246e-08,5.496196728901894e-08,True
