row_type,index,node,weight,moment_order,target,reconstructed,absolute_residual,power,coefficient
positive_atom,1,0.23727834187306726,0.9418342033805291,,,,,,
positive_atom,2,0.5481980169862998,0.3936855195357094,,,,,,
positive_atom,3,0.8527659803199023,0.07118661177601973,,,,,,
negative_atom,0,0.0,0.40670633469225836,,,,,,
moment_check,,,,0,1.0,1.0,0.0,,
moment_check,,,,1,0.5,0.5,0.0,,
moment_check,,,,2,0.22310461320426228,0.22310461320426228,3.068183415811079e-92,,
moment_check,,,,3,0.1215853653543497,0.1215853653543497,0.0,,
moment_check,,,,4,0.0761862240873569,0.0761862240873569,0.0,,
moment_check,,,,5,0.052302645977335215,0.052302645977335215,7.670458539527698e-93,,
moment_check,,,,6,0.03822954938742404,0.03822954938742404,1.5340917079055395e-92,,
dual_polynomial,,,,,,,,0,-1.0
dual_polynomial,,,,,,,,1,14.422545374174529
dual_polynomial,,,,,,,,2,-81.54056460868968
dual_polynomial,,,,,,,,3,231.03773907789923
dual_polynomial,,,,,,,,4,-348.14689211743047
dual_polynomial,,,,,,,,5,266.29149155725526
dual_polynomial,,,,,,,,6,-81.27353480885577
