mode_order,rank_assignment,common_mode_shift,minimum_weight,weights_exact,exact_mode_identity,all_weights_positive
"[0, 1, 2, 3, 4, 5]","[-5, -3, -1, 1, 3, 5]",1,0.16166666666666665,"[""sqrt(3)/150 + 7/40"", ""97/600"", ""33/200"", ""97/600"", ""7/40 - sqrt(3)/150"", ""97/600""]",True,True
"[0, 1, 2, 3, 5, 4]","[-5, -3, -1, 1, 5, 3]",1/3,0.15834402104803713,"[""sqrt(3)/120 + 311/1800"", ""29/180"", ""293/1800"", ""37/225"", ""311/1800 - sqrt(3)/120"", ""299/1800""]",True,True
"[0, 1, 2, 4, 3, 5]","[-5, -3, -1, 3, 1, 5]",5/3,0.15555555555555556,"[""sqrt(3)/200 + 319/1800"", ""149/900"", ""73/450"", ""73/450"", ""319/1800 - sqrt(3)/200"", ""7/45""]",True,True
"[0, 1, 2, 5, 3, 4]","[-5, -3, -1, 3, 5, 1]",1/3,0.15777777777777777,"[""sqrt(3)/120 + 311/1800"", ""37/225"", ""71/450"", ""151/900"", ""311/1800 - sqrt(3)/120"", ""37/225""]",True,True
"[0, 1, 2, 4, 5, 3]","[-5, -3, -1, 5, 1, 3]",5/3,0.15388888888888888,"[""sqrt(3)/200 + 319/1800"", ""38/225"", ""283/1800"", ""149/900"", ""319/1800 - sqrt(3)/200"", ""277/1800""]",True,True
"[0, 1, 2, 5, 4, 3]","[-5, -3, -1, 5, 3, 1]",1,0.155,"[""sqrt(3)/150 + 7/40"", ""101/600"", ""31/200"", ""101/600"", ""7/40 - sqrt(3)/150"", ""19/120""]",True,True
"[0, 1, 3, 2, 4, 5]","[-5, -3, 1, -1, 3, 5]",1/3,0.15611111111111112,"[""sqrt(3)/150 + 311/1800"", ""293/1800"", ""151/900"", ""281/1800"", ""311/1800 - sqrt(3)/150"", ""151/900""]",True,True
"[0, 1, 3, 2, 5, 4]","[-5, -3, 1, -1, 5, 3]",-1/3,0.15612179882581492,"[""sqrt(3)/120 + 307/1800"", ""73/450"", ""149/900"", ""143/900"", ""307/1800 - sqrt(3)/120"", ""31/180""]",True,True
"[0, 1, 4, 2, 3, 5]","[-5, -3, 1, 3, -1, 5]",5/3,0.15555555555555556,"[""sqrt(3)/300 + 319/1800"", ""307/1800"", ""73/450"", ""283/1800"", ""319/1800 - sqrt(3)/300"", ""7/45""]",True,True
"[0, 1, 5, 2, 3, 4]","[-5, -3, 1, 3, 5, -1]",-1/3,0.15555555555555556,"[""sqrt(3)/120 + 307/1800"", ""38/225"", ""7/45"", ""149/900"", ""307/1800 - sqrt(3)/120"", ""38/225""]",True,True
"[0, 1, 4, 2, 5, 3]","[-5, -3, 1, 5, -1, 3]",5/3,0.15388888888888888,"[""sqrt(3)/300 + 319/1800"", ""313/1800"", ""283/1800"", ""289/1800"", ""319/1800 - sqrt(3)/300"", ""277/1800""]",True,True
"[0, 1, 5, 2, 4, 3]","[-5, -3, 1, 5, 3, -1]",1/3,0.1527777777777778,"[""sqrt(3)/150 + 311/1800"", ""311/1800"", ""11/72"", ""299/1800"", ""311/1800 - sqrt(3)/150"", ""293/1800""]",True,True
"[0, 1, 3, 4, 2, 5]","[-5, -3, 3, -1, 1, 5]",1/3,0.1511111111111111,"[""sqrt(3)/200 + 311/1800"", ""151/900"", ""151/900"", ""34/225"", ""311/1800 - sqrt(3)/200"", ""151/900""]",True,True
"[0, 1, 3, 5, 2, 4]","[-5, -3, 3, -1, 5, 1]",-1,0.15389957660359269,"[""sqrt(3)/120 + 101/600"", ""1/6"", ""49/300"", ""47/300"", ""101/600 - sqrt(3)/120"", ""53/300""]",True,True
"[0, 1, 4, 3, 2, 5]","[-5, -3, 3, 1, -1, 5]",1,0.15166666666666667,"[""sqrt(3)/300 + 7/40"", ""103/600"", ""33/200"", ""91/600"", ""7/40 - sqrt(3)/300"", ""97/600""]",True,True
"[0, 1, 5, 3, 2, 4]","[-5, -3, 3, 1, 5, -1]",-1,0.15389957660359269,"[""sqrt(3)/120 + 101/600"", ""17/100"", ""19/120"", ""4/25"", ""101/600 - sqrt(3)/120"", ""7/40""]",True,True
