configuration_id,signed_path,nontorsion_phase,independent_cross_law,pointing,dimensional_scale
00000,False,False,False,False,False
00001,False,False,False,False,True
00010,False,False,False,True,False
00011,False,False,False,True,True
00100,False,False,True,False,False
00101,False,False,True,False,True
00110,False,False,True,True,False
00111,False,False,True,True,True
01000,False,True,False,False,False
01001,False,True,False,False,True
01010,False,True,False,True,False
01011,False,True,False,True,True
01100,False,True,True,False,False
01101,False,True,True,False,True
01110,False,True,True,True,False
01111,False,True,True,True,True
10000,True,False,False,False,False
10001,True,False,False,False,True
10010,True,False,False,True,False
10011,True,False,False,True,True
10100,True,False,True,False,False
10101,True,False,True,False,True
10110,True,False,True,True,False
10111,True,False,True,True,True
11000,True,True,False,False,False
11001,True,True,False,False,True
11010,True,True,False,True,False
11011,True,True,False,True,True
11100,True,True,True,False,False
11101,True,True,True,False,True
11110,True,True,True,True,False
11111,True,True,True,True,True
