row_type,index,exact_value,decimal_value,lower_exact,upper_exact,lower_decimal,upper_decimal,width
rational_q_coefficient,0,99999999/100000000,0.99999999,,,,,
rational_q_coefficient,1,-721127261497453797291997475015156711922201/100000000000000000000000000000000000000000,-7.211272614974538,,,,,
rational_q_coefficient,2,36922638182222241028065904414386201600921/2500000000000000000000000000000000000000,14.769055272888897,,,,,
rational_q_coefficient,3,-225379587007376681062443069482555837757561/25000000000000000000000000000000000000000,-9.015183480295068,,,,,
rational_dual_coefficient,0,-9999999800000001/10000000000000000,-0.9999999800000001,,,,,
rational_dual_coefficient,1,72112725428618118231745950209518196177063388077799/5000000000000000000000000000000000000000000000000,14.422545085723623,,,,,
rational_dual_coefficient,2,-815405629778783983524662946263236760371584779575937180315793902801242589932276684401/10000000000000000000000000000000000000000000000000000000000000000000000000000000000,-81.5405629778784,,,,,
rational_dual_coefficient,3,28879716807143058245522701183783059762533729364320925389832770691379266433401947121/125000000000000000000000000000000000000000000000000000000000000000000000000000000,231.03773445714447,,,,,
rational_dual_coefficient,4,-435183606443115807250950924586373773241999846126121440441423408134040104947341159961/1250000000000000000000000000000000000000000000000000000000000000000000000000000000,-348.1468851544926,,,,,
rational_dual_coefficient,5,8321608944732045950974185150356765769247445568810151833723983435398998396872313681/31250000000000000000000000000000000000000000000000000000000000000000000000000000,266.2914862314255,,,,,
rational_dual_coefficient,6,-50795958239615675662622695845478483048842644500667861849838510143319534441012668721/625000000000000000000000000000000000000000000000000000000000000000000000000000000,-81.27353318338508,,,,,
algebraic_moment_interval,0,,,1,1,1.0,1.0,0.0
algebraic_moment_interval,1,,,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/2000000000000000000000009000000000000000000000036000000000000000000000084000000000000000000000126000000000000000000000126000000000000000000000084000000000000000000000036000000000000000000000009000000000000000000000001,1/2,0.5,0.5,2.25e-24
algebraic_moment_interval,2,,,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/4482202253184496556545081521971367816443640891591297082408685719650041370181226864994274768237308940072459621447176007339243473120598770209560862620910864429191536915320394430180645489649765482000061962596981414704387,1953125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/8754301275750969837002059060689786385308903595702666905873945482403843839402093710350987197431633253495478738139668351428965754585621703191565058346779491713054512464136987036504012122745402805383645311278675437073,0.22310461320426228,0.22310461320426228,1.3580244945551225e-24
algebraic_moment_interval,3,,,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/8224674055842076138856560467239854808681445171563030607407684932748516456527334087870520052334063547713379114472318284972771527499552501451716382152659273415605651950707978105037560669226795050918630118667251865354521,3814697265625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/31374641631477646403718979916857306103085151671511857882126689061083049464243369166973662582630505204564861732983484029712995549249269693707117605808142642321682657136350400699947096981252110784904532847,0.1215853653543497,0.1215853653543497,7.716122703596513e-25
algebraic_moment_interval,4,,,1953125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/25636196351724970036675939042853604771809454870779381527205352349003490505544034188600478105091288349128758377328932658797490316838590850866224680887026019574300792021634009655155789725603182573642866084923051183001,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/13125732532083184658777998083659485856645951392935167366850654325477260135418300852521829827228700287559241323307567411180318366149576709317948142965809600289099749147032689979937341789540334107095065922971851870366001,0.0761862240873569,0.0761862240873569,4.800554395683611e-25
algebraic_moment_interval,5,,,14551915228366851806640625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/278225220855418422241424753859727251153336762493541176043904129660261183170547797229106818387447105856163776422849126746158768351317953767508993768847362663653799410656159050953903911728589499201245123269019,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/19119491591942388286765295154606854873411314338016944541035658673666650165223531306434680633215397840499591984701236292174662695988919284012105581812456233712757267915979522042788580048838252119890906106842541603563823,0.052302645977335215,0.052302645977335215,3.233268989357616e-25
algebraic_moment_interval,6,,,262144000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/6857104104037247307844752128661906978367570912293325416043814874253307721208655620508210145679019401423092756428692835659692774079802848754714920515102255058484716042043850806044881025121802233909552020689,7450580596923828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/194890620378977453920149135059011647331067508470856069154099870381305440081853627027261080299329700737817350874707566403567706017512333138435309499126700966339418091180848131792316414528967967069193234998541533,0.03822954938742404,0.03822954938742404,2.3125059991787937e-25
