calibration_triple,rank,absolute_determinant,condition_number,identifies_ell_tau_hbar
"[""length_standard"", ""time_standard"", ""action_standard""]",3,1.0,1.0,True
"[""length_standard"", ""time_standard"", ""energy_standard""]",3,1.0,2.618033988749896,True
"[""length_standard"", ""time_standard"", ""mass_standard_nonrel""]",3,1.0,6.854101966249684,True
"[""length_standard"", ""time_standard"", ""velocity_standard""]",2,0.0,,False
"[""length_standard"", ""action_standard"", ""energy_standard""]",3,1.0,2.618033988749895,True
"[""length_standard"", ""action_standard"", ""mass_standard_nonrel""]",3,1.0,6.854101966249684,True
"[""length_standard"", ""action_standard"", ""velocity_standard""]",3,1.0,2.618033988749896,True
"[""length_standard"", ""energy_standard"", ""mass_standard_nonrel""]",3,2.0,4.738720018687268,True
"[""length_standard"", ""energy_standard"", ""velocity_standard""]",3,1.0,4.048917339522306,True
"[""length_standard"", ""mass_standard_nonrel"", ""velocity_standard""]",3,1.0,5.411474127809773,True
"[""time_standard"", ""action_standard"", ""energy_standard""]",2,0.0,,False
"[""time_standard"", ""action_standard"", ""mass_standard_nonrel""]",3,2.0,3.186140661634508,True
"[""time_standard"", ""action_standard"", ""velocity_standard""]",3,1.0,2.618033988749895,True
"[""time_standard"", ""energy_standard"", ""mass_standard_nonrel""]",3,2.0,4.946715022393753,True
"[""time_standard"", ""energy_standard"", ""velocity_standard""]",3,1.0,3.7320508075688767,True
"[""time_standard"", ""mass_standard_nonrel"", ""velocity_standard""]",3,1.0,7.872983346207418,True
"[""action_standard"", ""energy_standard"", ""mass_standard_nonrel""]",3,2.0,4.946715022393754,True
"[""action_standard"", ""energy_standard"", ""velocity_standard""]",3,1.0,4.048917339522305,True
"[""action_standard"", ""mass_standard_nonrel"", ""velocity_standard""]",3,1.0,8.342805966666823,True
"[""energy_standard"", ""mass_standard_nonrel"", ""velocity_standard""]",2,0.0,,False
