uses,time_per_use,tensor_mode_label,input_probability,relative_phase_real,relative_phase_imag,convex_zero_residual,full_comb_upper_bound,achieved_channel_trace_distance
1,0.72,[0],0.4996809322165787,0.9999999999999996,2.3570555229834866e-16,1.1785277614917433e-16,2.0,2.0
1,0.72,[1],0.4995089276392552,-0.9999987444835405,-0.0015846234067834611,1.1785277614917433e-16,2.0,2.0
1,0.72,[2],0.0008101401441660315,-0.2130887109431519,0.9770328557774218,1.1785277614917433e-16,2.0,2.0
2,0.36,"[0, 0]",0.4991722634576704,0.9999999999999993,1.1102230246251561e-15,5.541925401449602e-16,2.0,2.0
2,0.36,"[0, 1]",0.0010169518876787693,0.6272604279949616,0.7788095758730593,5.541925401449602e-16,2.0,2.0
2,0.36,"[3, 3]",0.4998107846546508,-0.999998744483544,-0.0015846234067831446,5.541925401449602e-16,2.0,2.0
3,0.24,"[0, 0, 0]",0.4993142558207179,1.0000000000000047,0.0,0.0,2.0,2.0
3,0.24,"[0, 0, 1]",0.0009141860917390242,0.49954248870366796,0.8662893869716697,0.0,2.0,2.0
3,0.24,"[1, 1, 1]",0.49977155808754314,-0.9999987444835402,-0.0015846234067843912,0.0,2.0,2.0
4,0.18,"[0, 0, 0, 0]",0.49904413013891485,1.0000000000000036,-4.440892098500638e-16,2.216201134337031e-16,2.0,2.0
4,0.18,"[0, 0, 0, 1]",0.001119687359208441,0.7068266011009781,0.7073868502990728,2.216201134337031e-16,2.0,2.0
4,0.18,"[1, 1, 1, 1]",0.49983618250187684,-0.9999987444835384,-0.0015846234067842246,2.216201134337031e-16,2.0,2.0
