interval_count,sample_times_including_endpoint,maximum_gap,interpolation_error_upper_bound,single_clock_adversarial_lower_amplitude,meets_target_1e_3
2,"[0.7, 1.4]",0.7,0.012249999999999999,0.004964737998474551,False
3,"[0.4666666666666666, 0.9333333333333332, 1.3999999999999997]",0.4666666666666666,0.005444444444444444,0.0022065502215442446,False
4,"[0.35, 0.7, 1.0499999999999998, 1.4]",0.35,0.0030624999999999997,0.0012411844996186377,False
5,"[0.27999999999999997, 0.5599999999999999, 0.8399999999999999, 1.1199999999999999, 1.4]",0.27999999999999997,0.0019599999999999995,0.000794358079755928,False
6,"[0.2333333333333333, 0.4666666666666666, 0.6999999999999998, 0.9333333333333332, 1.1666666666666667, 1.3999999999999997]",0.2333333333333333,0.001361111111111111,0.0005516375553860611,False
7,"[0.19999999999999998, 0.39999999999999997, 0.5999999999999999, 0.7999999999999999, 1.0, 1.1999999999999997, 1.4]",0.19999999999999998,0.0009999999999999998,0.00040528473456935104,True
8,"[0.175, 0.35, 0.5249999999999999, 0.7, 0.875, 1.0499999999999998, 1.2249999999999999, 1.4]",0.175,0.0007656249999999999,0.0003102961249046594,True
9,"[0.15555555555555556, 0.3111111111111111, 0.46666666666666656, 0.6222222222222222, 0.7777777777777778, 0.9333333333333331, 1.0888888888888888, 1.2444444444444445, 1.4]",0.15555555555555556,0.0006049382716049384,0.0002451722468382495,True
10,"[0.13999999999999999, 0.27999999999999997, 0.41999999999999993, 0.5599999999999999, 0.7, 0.8399999999999999, 0.9799999999999999, 1.1199999999999999, 1.26, 1.4]",0.13999999999999999,0.0004899999999999999,0.000198589519938982,True
11,"[0.12727272727272726, 0.2545454545454545, 0.3818181818181818, 0.509090909090909, 0.6363636363636364, 0.7636363636363636, 0.8909090909090908, 1.018181818181818, 1.1454545454545455, 1.2727272727272727, 1.4]",0.12727272727272726,0.0004049586776859503,0.00016412357019750576,True
12,"[0.11666666666666665, 0.2333333333333333, 0.3499999999999999, 0.4666666666666666, 0.5833333333333334, 0.6999999999999998, 0.8166666666666665, 0.9333333333333332, 1.05, 1.1666666666666667, 1.2833333333333332, 1.3999999999999997]",0.11666666666666665,0.0003402777777777777,0.0001379093888465153,True
