loss_db_per_participation,phase_sigma_rad,runs,median_minimum_click_probability,p05_minimum_click_probability,p95_conditional_vertex_tv,p95_calibration_corrected_tv
0.0,0.0,64,1.00000000039952,0.9999999958038713,9.022912763480715e-05,0.0013451544797833804
0.0,0.0001,64,1.0000000007900511,0.9999999972664018,9.022912763485876e-05,0.001572072061868546
0.0,0.0005,64,0.9999999994315453,0.999999995143735,9.022912763484482e-05,0.0015014610320349035
0.0,0.001,64,1.0000000001542788,0.9999999960868926,9.022912763485044e-05,0.0013704682020799085
0.001,0.0,64,0.9961833100309592,0.9960886763326395,0.0007657671080142512,0.0013982761172814224
0.001,0.0001,64,0.9961735652893629,0.9960960972845146,0.0007657671080142636,0.001411774011923845
0.001,0.0005,64,0.9961599653353359,0.9961072555468434,0.0007657671080142492,0.0015188073509636232
0.001,0.001,64,0.9961737742836045,0.9961005919885686,0.0007657671080142387,0.0015151768148741614
0.005,0.0,64,0.9810544538466185,0.9806310754694426,0.0037144117086919384,0.0013566773076580255
0.005,0.0001,64,0.9810270738125957,0.9807496906282276,0.003714411708691925,0.0013822586743802477
0.005,0.0005,64,0.9809408129028041,0.9806678664922414,0.0037144117086919254,0.0013650750421956622
0.005,0.001,64,0.9810847374924996,0.9806668987610602,0.0037144117086919427,0.0013942548287749507
0.01,0.0,64,0.962501135527538,0.9618528039658637,0.0074088380231158045,0.0013110121785490393
0.01,0.0001,64,0.9624201767710587,0.9616756390072712,0.007408838023115773,0.0015953851724811012
0.01,0.0005,64,0.9624103546370669,0.9615752036419537,0.007408838023115775,0.0014846579272972263
0.01,0.001,64,0.9623983194562984,0.9616011818984982,0.007408838023115772,0.0013954550216270995
