source,target,free_morphism_exists,component_monotones_authorize,fixed_catalyst,catalyzed_morphism_exists
"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",True,True,"[1, 2, 1, 0, 2]",True
"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 0, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 0, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 0, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 0, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 0, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 0, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 1, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 1, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 1, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 1, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 1, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 1, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 1, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 1, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 2, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 2, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 2, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 2, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 2, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 2, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 2, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 2, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 0, 2, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 0, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 0, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 0, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 0, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 0, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 0, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 0, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 0, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 1, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 1, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 1, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 1, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 1, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 1, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 1, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 1, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 1, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 2, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 2, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 2, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 2, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 2, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 2, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 2, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 2, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 1, 2, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 0, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 0, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 0, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 0, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 0, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 0, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 0, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 0, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 0, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 1, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 1, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 1, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 1, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 1, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 1, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 1, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 1, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 1, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 2, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 2, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 2, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 2, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 2, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 2, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 2, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 2, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[0, 2, 2, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 0, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 0, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 0, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 0, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 0, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 0, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 0, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 0, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 1, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 1, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 1, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 1, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 1, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 1, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 1, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 1, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 2, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 2, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 2, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 2, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 2, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 2, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 2, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 2, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 0, 2, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 0, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 0, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 0, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 0, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 0, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 0, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 0, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 0, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 0, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 1, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 1, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 1, 0, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 1, 2, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 1, 2, 1]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 1, 2, 2]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 2, 0, 0]",False,False,"[1, 2, 1, 0, 2]",False
"[0, 0, 0, 0, 0]","[1, 1, 2, 0, 1]",False,False,"[1, 2, 1, 0, 2]",False
