loss_db_per_component,phase_sigma,phase_AR1_correlation,runs,p95_maximum_vertex_tv,p05_minimum_click_probability
0.001,0.0001,0.0,64,0.0005103465373620313,0.9960185604951242
0.001,0.0001,0.8,64,0.0005059468458904562,0.9960315237048665
0.001,0.0005,0.0,64,0.0012247272360097208,0.9960015558086073
0.001,0.0005,0.8,64,0.0010774860077252654,0.99598030760464
0.001,0.001,0.0,64,0.0025299276926068876,0.9960314439442669
0.001,0.001,0.8,64,0.0018957373481169276,0.9959805036615448
0.005,0.0001,0.0,64,0.002541772186574256,0.9801484862295057
0.005,0.0001,0.8,64,0.0025491452372522054,0.9801857096580823
0.005,0.0005,0.0,64,0.0025502447543191706,0.9804642684767421
0.005,0.0005,0.8,64,0.002533347609996303,0.9802804805943607
0.005,0.001,0.0,64,0.0029277134625083096,0.980194889540955
0.005,0.001,0.8,64,0.0029144665286526456,0.9804449089920868
0.01,0.0001,0.0,64,0.005096813783135287,0.9607073541696483
0.01,0.0001,0.8,64,0.0051152391025792,0.960693392412839
0.01,0.0005,0.0,64,0.0050938463299976975,0.9608617362246759
0.01,0.0005,0.8,64,0.005030056918021986,0.9604794209301495
0.01,0.001,0.0,64,0.005045102590094315,0.9606255072795226
0.01,0.001,0.8,64,0.005114110521894101,0.9607895986943559
