row_type,trial,generator_images,left_resource,right_resource,phi_left,phi_right,phi_sum,additivity,unique_coordinate_extension,resource_grade,realization,probability_outcome_1
free_monoid_extension,0,"[2, 1, 6, 5, 3]","[2, 4, 2, 3, 2]","[0, 3, 1, 3, 1]",41,27,68,True,True,,,
free_monoid_extension,1,"[5, 1, 1, 4, 4]","[3, 2, 2, 3, 1]","[4, 1, 0, 0, 4]",35,37,72,True,True,,,
free_monoid_extension,2,"[2, 6, 3, 6, 0]","[1, 2, 4, 3, 1]","[1, 0, 3, 3, 2]",44,29,73,True,True,,,
free_monoid_extension,3,"[4, 7, 0, 4, 1]","[1, 1, 2, 3, 2]","[2, 0, 1, 0, 0]",25,8,33,True,True,,,
free_monoid_extension,4,"[7, 7, 3, 6, 6]","[1, 4, 3, 0, 0]","[4, 2, 1, 3, 4]",44,87,131,True,True,,,
free_monoid_extension,5,"[4, 2, 7, 0, 0]","[2, 4, 4, 0, 2]","[0, 3, 4, 1, 4]",44,34,78,True,True,,,
free_monoid_extension,6,"[5, 4, 2, 2, 6]","[0, 4, 3, 3, 4]","[4, 4, 3, 2, 0]",52,46,98,True,True,,,
free_monoid_extension,7,"[5, 5, 3, 0, 7]","[4, 1, 2, 1, 0]","[0, 1, 2, 1, 3]",31,32,63,True,True,,,
free_monoid_extension,8,"[0, 0, 5, 0, 1]","[3, 3, 1, 2, 1]","[4, 2, 3, 4, 0]",6,15,21,True,True,,,
free_monoid_extension,9,"[4, 1, 7, 4, 4]","[4, 4, 3, 0, 1]","[1, 2, 0, 1, 3]",45,22,67,True,True,,,
free_monoid_extension,10,"[1, 7, 3, 6, 5]","[2, 3, 0, 3, 0]","[2, 3, 2, 1, 0]",41,35,76,True,True,,,
free_monoid_extension,11,"[3, 0, 7, 3, 4]","[2, 1, 3, 1, 0]","[1, 2, 2, 2, 1]",30,27,57,True,True,,,
free_monoid_extension,12,"[0, 7, 2, 4, 6]","[4, 0, 0, 0, 4]","[1, 4, 4, 0, 3]",24,54,78,True,True,,,
free_monoid_extension,13,"[1, 2, 0, 2, 6]","[2, 3, 0, 4, 0]","[2, 0, 3, 1, 1]",16,10,26,True,True,,,
free_monoid_extension,14,"[7, 6, 6, 5, 3]","[2, 2, 3, 2, 4]","[4, 1, 0, 4, 0]",66,54,120,True,True,,,
free_monoid_extension,15,"[6, 4, 5, 7, 6]","[0, 3, 2, 0, 4]","[3, 0, 0, 1, 3]",46,43,89,True,True,,,
free_monoid_extension,16,"[2, 3, 3, 4, 2]","[1, 0, 1, 3, 4]","[3, 3, 3, 3, 1]",25,38,63,True,True,,,
free_monoid_extension,17,"[2, 1, 6, 1, 5]","[2, 4, 4, 4, 4]","[0, 1, 3, 1, 3]",56,35,91,True,True,,,
free_monoid_extension,18,"[3, 6, 0, 0, 1]","[4, 3, 4, 1, 4]","[2, 4, 4, 1, 3]",34,33,67,True,True,,,
free_monoid_extension,19,"[2, 2, 5, 1, 2]","[0, 2, 1, 2, 4]","[0, 0, 3, 0, 4]",19,23,42,True,True,,,
free_monoid_extension,20,"[6, 2, 7, 3, 3]","[2, 0, 0, 1, 4]","[1, 4, 3, 2, 2]",27,47,74,True,True,,,
free_monoid_extension,21,"[4, 0, 0, 0, 0]","[2, 1, 4, 1, 1]","[2, 0, 4, 3, 1]",8,8,16,True,True,,,
free_monoid_extension,22,"[7, 3, 0, 6, 5]","[2, 2, 3, 2, 3]","[3, 1, 2, 0, 2]",47,34,81,True,True,,,
free_monoid_extension,23,"[5, 6, 6, 1, 0]","[0, 1, 3, 1, 1]","[1, 2, 3, 0, 1]",25,35,60,True,True,,,
free_monoid_extension,24,"[1, 7, 6, 7, 2]","[4, 3, 1, 3, 3]","[0, 2, 2, 0, 0]",58,26,84,True,True,,,
free_monoid_extension,25,"[5, 7, 2, 4, 0]","[2, 4, 4, 1, 0]","[3, 2, 1, 0, 0]",50,31,81,True,True,,,
free_monoid_extension,26,"[7, 1, 6, 7, 3]","[2, 4, 1, 0, 1]","[3, 3, 1, 0, 0]",27,30,57,True,True,,,
free_monoid_extension,27,"[3, 0, 2, 1, 5]","[0, 0, 3, 2, 1]","[0, 4, 2, 0, 0]",13,4,17,True,True,,,
free_monoid_extension,28,"[2, 5, 4, 3, 3]","[4, 3, 1, 2, 4]","[4, 0, 0, 1, 3]",45,20,65,True,True,,,
free_monoid_extension,29,"[4, 7, 6, 7, 5]","[1, 3, 1, 1, 1]","[4, 3, 1, 1, 1]",43,55,98,True,True,,,
free_monoid_extension,30,"[5, 0, 1, 0, 7]","[4, 2, 1, 4, 4]","[4, 0, 0, 3, 0]",49,20,69,True,True,,,
free_monoid_extension,31,"[7, 2, 7, 5, 3]","[4, 2, 0, 4, 1]","[2, 0, 3, 1, 4]",55,52,107,True,True,,,
free_monoid_extension,32,"[7, 4, 4, 0, 6]","[2, 4, 0, 4, 2]","[4, 2, 4, 3, 4]",42,76,118,True,True,,,
free_monoid_extension,33,"[4, 4, 7, 5, 6]","[0, 1, 2, 1, 4]","[2, 0, 3, 0, 0]",47,29,76,True,True,,,
free_monoid_extension,34,"[0, 3, 4, 5, 7]","[1, 1, 0, 0, 0]","[3, 4, 4, 0, 3]",3,49,52,True,True,,,
free_monoid_extension,35,"[6, 2, 4, 7, 0]","[1, 2, 2, 0, 2]","[0, 4, 2, 2, 1]",18,30,48,True,True,,,
free_monoid_extension,36,"[7, 6, 1, 1, 3]","[3, 4, 1, 2, 1]","[1, 3, 2, 4, 4]",51,43,94,True,True,,,
free_monoid_extension,37,"[3, 5, 2, 6, 5]","[4, 0, 3, 0, 4]","[1, 0, 2, 2, 0]",38,19,57,True,True,,,
free_monoid_extension,38,"[2, 2, 6, 4, 3]","[3, 3, 1, 2, 2]","[3, 1, 0, 0, 0]",32,8,40,True,True,,,
free_monoid_extension,39,"[2, 5, 6, 6, 7]","[3, 4, 3, 0, 3]","[0, 2, 4, 4, 3]",65,79,144,True,True,,,
free_monoid_extension,40,"[7, 6, 7, 5, 5]","[4, 2, 1, 2, 2]","[0, 1, 4, 2, 4]",67,64,131,True,True,,,
free_monoid_extension,41,"[1, 6, 0, 7, 6]","[1, 2, 2, 1, 4]","[3, 1, 3, 4, 1]",44,43,87,True,True,,,
