section,check,value,passed_if_boolean
P351,all_components_strictly_inside,True,True
P351,endpoint_identity_checks,12,
P351,all_endpoint_identities_match,True,True
P352,safe_bernstein_range,"[-1.0, 0.0]",
P352,dual_is_globally_feasible,True,True
P352,safe_coefficient_identity_checks,12,
P352,all_safe_coefficient_identities_match,True,True
P352,weight_endpoint_identity_checks,24,
P352,all_weight_endpoint_identities_match,True,True
P352,all_weight_signs_certified,True,True
P352,positive_weights,8,
P352,negative_weights,4,
