source_graph_index,target_graph_index,source_vertices,target_vertices,source_edges,target_edges,graph_homomorphisms,isometric_embeddings,strict_kernel_preserving_maps
0,0,2,2,1,1,2,2,2
0,1,2,3,1,2,4,4,4
0,2,2,3,1,3,6,6,6
0,3,2,4,1,3,6,6,6
0,4,2,4,1,3,6,6,6
0,5,2,4,1,4,8,8,8
0,6,2,4,1,4,8,8,8
0,7,2,4,1,5,10,10,10
0,8,2,4,1,6,12,12,12
0,9,2,5,1,4,8,8,8
0,10,2,5,1,4,8,8,8
0,11,2,5,1,4,8,8,8
0,12,2,5,1,5,10,10,10
0,13,2,5,1,5,10,10,10
0,14,2,5,1,5,10,10,10
0,15,2,5,1,5,10,10,10
0,16,2,5,1,5,10,10,10
0,17,2,5,1,6,12,12,12
0,18,2,5,1,6,12,12,12
0,19,2,5,1,6,12,12,12
0,20,2,5,1,6,12,12,12
0,21,2,5,1,6,12,12,12
0,22,2,5,1,7,14,14,14
0,23,2,5,1,7,14,14,14
0,24,2,5,1,7,14,14,14
0,25,2,5,1,7,14,14,14
0,26,2,5,1,8,16,16,16
0,27,2,5,1,8,16,16,16
0,28,2,5,1,9,18,18,18
0,29,2,5,1,10,20,20,20
1,0,3,2,2,1,2,0,0
1,1,3,3,2,2,6,2,2
1,2,3,3,2,3,12,0,0
1,3,3,4,2,3,12,6,6
1,4,3,4,2,3,10,4,4
1,5,3,4,2,4,18,4,4
1,6,3,4,2,4,16,8,8
1,7,3,4,2,5,26,4,4
1,8,3,4,2,6,36,0,0
1,9,3,5,2,4,20,12,12
1,10,3,5,2,4,16,8,8
1,11,3,5,2,4,14,6,6
1,12,3,5,2,5,26,10,10
1,13,3,5,2,5,24,8,8
1,14,3,5,2,5,22,6,6
1,15,3,5,2,5,22,12,12
1,16,3,5,2,5,20,10,10
1,17,3,5,2,6,34,10,10
1,18,3,5,2,6,32,8,8
1,19,3,5,2,6,32,8,8
1,20,3,5,2,6,30,12,12
1,21,3,5,2,6,30,18,18
1,22,3,5,2,7,44,6,6
1,23,3,5,2,7,44,12,12
1,24,3,5,2,7,42,10,10
1,25,3,5,2,7,40,14,14
1,26,3,5,2,8,54,8,8
1,27,3,5,2,8,52,12,12
1,28,3,5,2,9,66,6,6
1,29,3,5,2,10,80,0,0
2,2,3,3,3,3,6,6,6
2,5,3,4,3,4,6,6,6
2,7,3,4,3,5,12,12,12
2,8,3,4,3,6,24,24,24
2,12,3,5,3,5,6,6,6
2,13,3,5,3,5,6,6,6
2,14,3,5,3,5,6,6,6
2,17,3,5,3,6,12,12,12
2,18,3,5,3,6,12,12,12
2,19,3,5,3,6,12,12,12
2,20,3,5,3,6,6,6,6
2,22,3,5,3,7,24,24,24
2,23,3,5,3,7,18,18,18
2,24,3,5,3,7,18,18,18
2,25,3,5,3,7,12,12,12
2,26,3,5,3,8,30,30,30
2,27,3,5,3,8,24,24,24
2,28,3,5,3,9,42,42,42
2,29,3,5,3,10,60,60,60
3,0,4,2,3,1,2,0,0
3,1,4,3,3,2,10,0,0
3,2,4,3,3,3,24,0,0
3,3,4,4,3,3,30,6,6
3,4,4,4,3,3,18,0,0
3,5,4,4,3,4,44,0,0
3,6,4,4,3,4,32,0,0
3,7,4,4,3,5,70,0,0
3,8,4,4,3,6,108,0,0
3,9,4,5,3,4,68,24,24
3,10,4,5,3,4,38,6,6
3,11,4,5,3,4,26,0,0
3,12,4,5,3,5,82,12,12
3,13,4,5,3,5,64,0,0
3,14,4,5,3,5,52,0,0
3,15,4,5,3,5,52,6,6
3,16,4,5,3,5,40,0,0
3,17,4,5,3,6,108,6,6
3,18,4,5,3,6,90,0,0
3,19,4,5,3,6,96,0,0
3,20,4,5,3,6,78,0,0
3,21,4,5,3,6,78,12,12
3,22,4,5,3,7,146,0,0
3,23,4,5,3,7,152,12,12
3,24,4,5,3,7,134,0,0
3,25,4,5,3,7,116,0,0
3,26,4,5,3,8,190,0,0
3,27,4,5,3,8,172,0,0
3,28,4,5,3,9,246,0,0
3,29,4,5,3,10,320,0,0
4,0,4,2,3,1,2,0,0
4,1,4,3,3,2,8,0,0
4,2,4,3,3,3,24,0,0
4,3,4,4,3,3,18,0,0
4,4,4,4,3,3,16,2,2
4,5,4,4,3,4,38,0,0
4,6,4,4,3,4,32,0,0
4,7,4,4,3,5,66,0,0
4,8,4,4,3,6,108,0,0
4,9,4,5,3,4,32,0,0
4,10,4,5,3,4,28,4,4
4,11,4,5,3,4,24,4,4
4,12,4,5,3,5,56,0,0
4,13,4,5,3,5,54,2,2
4,14,4,5,3,5,48,4,4
4,15,4,5,3,5,46,4,4
4,16,4,5,3,5,40,0,0
4,17,4,5,3,6,88,0,0
4,18,4,5,3,6,84,4,4
4,19,4,5,3,6,80,0,0
4,20,4,5,3,6,74,0,0
4,21,4,5,3,6,72,0,0
4,22,4,5,3,7,134,0,0
4,23,4,5,3,7,128,0,0
4,24,4,5,3,7,122,0,0
4,25,4,5,3,7,114,0,0
4,26,4,5,3,8,178,0,0
4,27,4,5,3,8,168,0,0
4,28,4,5,3,9,240,0,0
4,29,4,5,3,10,320,0,0
5,2,4,3,4,3,12,0,0
5,5,4,4,4,4,14,2,2
5,7,4,4,4,5,32,0,0
5,8,4,4,4,6,72,0,0
5,12,4,5,4,5,16,4,4
5,13,4,5,4,5,16,4,4
5,14,4,5,4,5,14,2,2
5,17,4,5,4,6,36,4,4
5,18,4,5,4,6,34,2,2
5,19,4,5,4,6,32,8,8
5,20,4,5,4,6,16,4,4
5,22,4,5,4,7,78,6,6
5,23,4,5,4,7,60,0,0
5,24,4,5,4,7,56,4,4
5,25,4,5,4,7,36,4,4
5,26,4,5,4,8,104,4,4
5,27,4,5,4,8,80,0,0
5,28,4,5,4,9,156,0,0
5,29,4,5,4,10,240,0,0
6,0,4,2,4,1,2,0,0
6,1,4,3,4,2,8,0,0
6,2,4,3,4,3,18,0,0
6,3,4,4,4,3,18,0,0
6,4,4,4,4,3,14,0,0
6,5,4,4,4,4,28,0,0
6,6,4,4,4,4,32,8,8
6,7,4,4,4,5,50,0,0
6,8,4,4,4,6,84,0,0
6,9,4,5,4,4,32,0,0
6,10,4,5,4,4,24,0,0
6,11,4,5,4,4,20,0,0
6,12,4,5,4,5,42,0,0
6,13,4,5,4,5,38,0,0
6,14,4,5,4,5,34,0,0
6,15,4,5,4,5,42,8,8
6,16,4,5,4,5,30,0,0
6,17,4,5,4,6,64,0,0
6,18,4,5,4,6,60,0,0
6,19,4,5,4,6,52,0,0
6,20,4,5,4,6,56,8,8
6,21,4,5,4,6,72,24,24
6,22,4,5,4,7,98,0,0
6,23,4,5,4,7,98,0,0
6,24,4,5,4,7,86,0,0
6,25,4,5,4,7,90,16,16
6,26,4,5,4,8,132,0,0
6,27,4,5,4,8,128,8,8
6,28,4,5,4,9,186,0,0
6,29,4,5,4,10,260,0,0
7,2,4,3,5,3,6,0,0
7,5,4,4,5,4,6,0,0
7,7,4,4,5,5,16,4,4
7,8,4,4,5,6,48,0,0
7,12,4,5,5,5,6,0,0
7,13,4,5,5,5,6,0,0
7,14,4,5,5,5,6,0,0
7,17,4,5,5,6,16,4,4
7,18,4,5,5,6,16,4,4
7,19,4,5,5,6,12,0,0
7,20,4,5,5,6,6,0,0
7,22,4,5,5,7,48,0,0
7,23,4,5,5,7,30,12,12
7,24,4,5,5,7,26,8,8
7,25,4,5,5,7,16,4,4
7,26,4,5,5,8,62,8,8
7,27,4,5,5,8,40,16,16
7,28,4,5,5,9,102,12,12
7,29,4,5,5,10,180,0,0
8,8,4,4,6,6,24,24,24
8,22,4,5,6,7,24,24,24
8,26,4,5,6,8,24,24,24
8,28,4,5,6,9,48,48,48
8,29,4,5,6,10,120,120,120
9,0,5,2,4,1,2,0,0
9,1,5,3,4,2,18,0,0
9,2,5,3,4,3,48,0,0
9,3,5,4,4,3,84,0,0
9,4,5,4,4,3,34,0,0
9,5,5,4,4,4,114,0,0
9,6,5,4,4,4,64,0,0
9,7,5,4,4,5,194,0,0
9,8,5,4,4,6,324,0,0
9,9,5,5,4,4,260,24,24
9,10,5,5,4,4,100,0,0
9,11,5,5,4,4,50,0,0
9,12,5,5,4,5,290,0,0
9,13,5,5,4,5,180,0,0
9,14,5,5,4,5,130,0,0
9,15,5,5,4,5,130,0,0
9,16,5,5,4,5,80,0,0
9,17,5,5,4,6,370,0,0
9,18,5,5,4,6,260,0,0
9,19,5,5,4,6,320,0,0
9,20,5,5,4,6,210,0,0
9,21,5,5,4,6,210,0,0
9,22,5,5,4,7,500,0,0
