uses,fraction_of_first_threshold,nominal_tau,tau_lower,tau_upper,discrimination_lower,discrimination_upper,band_width
1,0.25,0.17990925350134732,0.17890925350134732,0.18090925350134732,0.38066591319411974,0.38469912826072666,0.004033215066606921
1,0.5,0.35981850700269463,0.35881850700269463,0.36081850700269463,0.7055616521146294,0.7086485412849408,0.003086889170311413
1,0.75,0.5397277605040419,0.5387277605040419,0.5407277605040419,0.9230420254329902,0.9247126378135463,0.0016706123805561024
1,1.0,0.7196370140053893,0.7186370140053893,0.7196370140053893,0.9999976177759751,1.0,2.382224024932711e-06
2,0.25,0.08995462675067366,0.08895462675067366,0.09095462675067366,0.37864658036018206,0.38671299127735215,0.008066410917170086
2,0.5,0.17990925350134732,0.17890925350134732,0.18090925350134732,0.7040131614308739,0.7101869250641737,0.0061737636332998
2,0.75,0.26986388025202096,0.26886388025202096,0.27086388025202096,0.9222001205689156,0.9255413373704818,0.0033412168015661825
2,1.0,0.35981850700269463,0.35881850700269463,0.35981850700269463,0.9999904711152502,1.0,9.52888474980984e-06
3,0.25,0.059969751167115774,0.05896975116711577,0.060969751167115775,0.37662544348428295,0.38872501182002045,0.012099568335737498
3,0.5,0.11993950233423155,0.11893950233423155,0.12093950233423155,0.7024613165129843,0.7117219251946962,0.009260608681711968
3,0.75,0.17990925350134732,0.17890925350134732,0.18090925350134732,0.921353821930275,0.9263656272337976,0.005011805303522521
3,1.0,0.2398790046684631,0.2388790046684631,0.2398790046684631,0.9999785600518754,1.0,2.1439948124646335e-05
4,0.25,0.04497731337533683,0.04397731337533683,0.04597731337533683,0.37460251219602403,0.39073518030256427,0.016132668106540238
4,0.5,0.08995462675067366,0.08895462675067366,0.09095462675067366,0.7009061247546451,0.7132535343630804,0.012347409608435278
4,0.75,0.13493194012601048,0.13393194012601048,0.13593194012601048,0.9205031335492142,0.9271855034762071,0.006682369926992893
4,1.0,0.17990925350134732,0.17890925350134732,0.17990925350134732,0.9999618846426002,1.0,3.811535739983718e-05
