source,target,status,single_coordinate_countermodel,source_positive,target_positive,counterexample
signed_path,signed_path,identity_conversion_accepted,"[1, 0, 0, 0, 0]",True,True,False
signed_path,nontorsion_phase,universal_positive_cross_conversion_refuted,"[1, 0, 0, 0, 0]",True,False,True
signed_path,cross_law,universal_positive_cross_conversion_refuted,"[1, 0, 0, 0, 0]",True,False,True
signed_path,pointing,universal_positive_cross_conversion_refuted,"[1, 0, 0, 0, 0]",True,False,True
signed_path,dimensional_scale,universal_positive_cross_conversion_refuted,"[1, 0, 0, 0, 0]",True,False,True
nontorsion_phase,signed_path,universal_positive_cross_conversion_refuted,"[0, 1, 0, 0, 0]",True,False,True
nontorsion_phase,nontorsion_phase,identity_conversion_accepted,"[0, 1, 0, 0, 0]",True,True,False
nontorsion_phase,cross_law,universal_positive_cross_conversion_refuted,"[0, 1, 0, 0, 0]",True,False,True
nontorsion_phase,pointing,universal_positive_cross_conversion_refuted,"[0, 1, 0, 0, 0]",True,False,True
nontorsion_phase,dimensional_scale,universal_positive_cross_conversion_refuted,"[0, 1, 0, 0, 0]",True,False,True
cross_law,signed_path,universal_positive_cross_conversion_refuted,"[0, 0, 1, 0, 0]",True,False,True
cross_law,nontorsion_phase,universal_positive_cross_conversion_refuted,"[0, 0, 1, 0, 0]",True,False,True
cross_law,cross_law,identity_conversion_accepted,"[0, 0, 1, 0, 0]",True,True,False
cross_law,pointing,universal_positive_cross_conversion_refuted,"[0, 0, 1, 0, 0]",True,False,True
cross_law,dimensional_scale,universal_positive_cross_conversion_refuted,"[0, 0, 1, 0, 0]",True,False,True
pointing,signed_path,universal_positive_cross_conversion_refuted,"[0, 0, 0, 1, 0]",True,False,True
pointing,nontorsion_phase,universal_positive_cross_conversion_refuted,"[0, 0, 0, 1, 0]",True,False,True
pointing,cross_law,universal_positive_cross_conversion_refuted,"[0, 0, 0, 1, 0]",True,False,True
pointing,pointing,identity_conversion_accepted,"[0, 0, 0, 1, 0]",True,True,False
pointing,dimensional_scale,universal_positive_cross_conversion_refuted,"[0, 0, 0, 1, 0]",True,False,True
dimensional_scale,signed_path,universal_positive_cross_conversion_refuted,"[0, 0, 0, 0, 1]",True,False,True
dimensional_scale,nontorsion_phase,universal_positive_cross_conversion_refuted,"[0, 0, 0, 0, 1]",True,False,True
dimensional_scale,cross_law,universal_positive_cross_conversion_refuted,"[0, 0, 0, 0, 1]",True,False,True
dimensional_scale,pointing,universal_positive_cross_conversion_refuted,"[0, 0, 0, 0, 1]",True,False,True
dimensional_scale,dimensional_scale,identity_conversion_accepted,"[0, 0, 0, 0, 1]",True,True,False
