distance,phase_numerator_over_4000,kernel_value
0,650,0.9868259031903286
1,1393,0.4699856726450201
2,2136,0.1920435516901028
3,2879,0.09142861427792495
4,3622,0.0470291687456504
5,4365,0.02413122336363006
6,5108,0.011070817321442113
7,5851,0.0031528355078646996
8,6594,-0.0017958784054378975
9,7337,-0.0048954248870059355
10,8080,-0.0067749960252108405
11,8823,-0.007814314930515773
12,9566,-0.008257210373477082
13,10309,-0.008269073207303619
14,11052,-0.007967681650112147
15,11795,-0.007440547330653956
16,12538,-0.006755062834292795
17,13281,-0.005964629025729199
18,14024,-0.005112452636742949
19,14767,-0.004233953110436084
20,15510,-0.003358320473521781
21,16253,-0.0025095474128208955
22,16996,-0.001707133976057583
23,17739,-0.0009665896902825628
24,18482,-0.000299813050951681
25,19225,0.00028459980599206065
26,19968,0.0007810836145838705
27,20711,0.0011868481087445924
28,21454,0.0015016244337438022
29,22197,0.0017274062339887218
30,22940,0.0018681818784056182
31,23683,0.0019296571988727687
32,24426,0.0019189702045029472
33,25169,0.0018444007054390595
34,25912,0.0017150787736824344
35,26655,0.0015406965808927447
36,27398,0.0013312284525299927
37,28141,0.001096664015972336
38,28884,0.000846759139119815
39,29627,0.0005908089913373794
40,30370,0.0003374470428394938
41,31113,9.447318225898818e-05
42,31856,-0.00013128659552457715
43,32599,-0.00033408726977597397
44,33342,-0.0005093378068947262
45,34085,-0.0006536401051716153
46,34828,-0.0007647946890850897
47,35571,-0.0008417747500490927
48,36314,-0.0008846708490741352
49,37057,-0.0008946092362052175
50,37800,-0.000873647286190682
51,38543,-0.000824649987136157
52,39286,-0.0007511517398216008
53,40029,-0.000657207924341726
54,40772,-0.0005472407657636106
55,41515,-0.00042588398307732994
56,42258,-0.00029783054070366095
57,43001,-0.00016768754720597958
58,43744,-3.984197244210257e-05
59,44487,8.165960455910604e-05
60,45230,0.0001932145339388259
61,45973,0.0002917488192230847
62,46716,0.0003747815454613987
63,47459,0.00044046816512095674
64,48202,0.00048762243048469493
