coefficient,raw_bernstein_exact,safe_bernstein_exact,safe_power_exact,safe_power_decimal
0,-1542132050834301/2500000000000000,-17608035311570273326721990545666495915798036573079500162097092/28544954956131505450700927817744492475466705001513737330793735,-17608035311570273326721990545666495915798036573079500162097092/28544954956131505450700927817744492475466705001513737330793735,-0.6168527972326695
1,-2375259020271793/500000000000000,-27120663654167671627041699704099644830258072491396956951994356/5708990991226301090140185563548898495093341000302747466158747,-1297948112551948932893351587723149010590415584722958130576621568/28544954956131505450700927817744492475466705001513737330793735,-45.470315666872246
2,11174639505015069/500000000000000,127591827598756825802445192774876765091625714626997899544436748/5708990991226301090140185563548898495093341000302747466158747,9807135131462796291515130674066851556294023876234675237880332288/5708990991226301090140185563548898495093341000302747466158747,1717.8403585738024
3,-5963065668901719/100000000000000,-340430868699836178765684245288620099976505922950378311688445940/5708990991226301090140185563548898495093341000302747466158747,-495028881424677066307685717459582940233088452073057123179692032/21381988731184648277678597616288009344918880150946619723441,-23151.67628456843
4,5571904038661173/50000000000000,636198974648582102885173188602781950714910027337995033363816460/5708990991226301090140185563548898495093341000302747466158747,315527790885430684506594409982516704343941675850771436567575658496/1902996997075433696713395187849632831697780333434249155386249,165805.721906204
5,-7627707281979829/50000000000000,-870930209511444945355043672022886336762826890442308729154363380/5708990991226301090140185563548898495093341000302747466158747,-6825459992850583552877692433984009842809854601697279467632965189632/9514984985377168483566975939248164158488901667171245776931245,-717337.9677782041
6,756416372695033/5000000000000,287891606039708545480590400377924637124583766522380189189431300/1902996997075433696713395187849632831697780333434249155386249,18875732150473116987758612738064356213550487164919658638906388119552/9514984985377168483566975939248164158488901667171245776931245,1983790.0090732402
7,-1035741356911199/10000000000000,-591303784760731735581912389992614498284739963559531356303450100/5708990991226301090140185563548898495093341000302747466158747,-6817179363128238267843408810917076230623997981992350284815873867776/1902996997075433696713395187849632831697780333434249155386249,-3582338.4764164235
8,339905847922801/8000000000000,80854972862822705949995377197374024816357799224264395133444100/1902996997075433696713395187849632831697780333434249155386249,7992162947129820162902947102867590982776453666691838412127782043648/1902996997075433696713395187849632831697780333434249155386249,4199776.962030075
9,-6419183903793957/1000000000000000,-36647061667052834756001643671670355042751905053151281619984372/5708990991226301090140185563548898495093341000302747466158747,-5855367698339247910266763315161514518419885301721554596482552692736/1902996997075433696713395187849632831697780333434249155386249,-3076919.0426143087
10,-13246491550425419/5000000000000000,-25208032675845211393611297389723282288242158506591722325680108/9514984985377168483566975939248164158488901667171245776931245,36494268365408722415609109040505705611203841899208582050706226151424/28544954956131505450700927817744492475466705001513737330793735,1278484.0060702106
11,0,-4072188847958084915084985025187386710329562286579700/5708990991226301090140185563548898495093341000302747466158747,-6559096549300319699417245691727596436562337230482191802405669044224/28544954956131505450700927817744492475466705001513737330793735,-229781.28917633533
