rho,dilation_scale,composed_rho,truncated_semigroup_defect,log_time,added_log_time
0.1,0.25,0.025,0.0,2.3025850929940455,1.3862943611198906
0.1,0.5,0.05,0.0,2.3025850929940455,0.6931471805599453
0.1,0.75,0.07500000000000001,6.938893903907228e-18,2.3025850929940455,0.2876820724517809
0.25,0.25,0.0625,0.0,1.3862943611198906,1.3862943611198906
0.25,0.5,0.125,0.0,1.3862943611198906,0.6931471805599453
0.25,0.75,0.1875,0.0,1.3862943611198906,0.2876820724517809
0.5,0.25,0.125,0.0,0.6931471805599453,1.3862943611198906
0.5,0.5,0.25,0.0,0.6931471805599453,0.6931471805599453
0.5,0.75,0.375,0.0,0.6931471805599453,0.2876820724517809
0.65,0.25,0.1625,0.0,0.4307829160924542,1.3862943611198906
0.65,0.5,0.325,0.0,0.4307829160924542,0.6931471805599453
0.65,0.75,0.48750000000000004,6.938893903907228e-18,0.4307829160924542,0.2876820724517809
