d,e,C_d_plus_e,C_d_C_e,multiplicativity_defect
1,1,0.22756670546834754,0.255025,-0.027458294531652466
1,2,0.1252329263149802,0.11492118626151551,0.01031174005346469
1,3,0.07923367305085117,0.063242627789065,0.01599104526178617
1,4,0.05491777827620198,0.04001300489067985,0.014904773385522131
1,5,0.04052332235066948,0.027733478029482,0.012789844321187481
1,6,0.031283865189164484,0.02046427778708809,0.010819587402076395
2,1,0.1252329263149802,0.11492118626151551,0.01031174005346469
2,2,0.07923367305085117,0.05178660543771764,0.027447067613133536
2,3,0.05491777827620198,0.02849884445766037,0.026418933818541608
2,4,0.04052332235066948,0.018030945938338396,0.022492376412331084
2,5,0.031283865189164484,0.01249745787395647,0.018786407315208014
2,6,0.024985972490576408,0.009221758961973706,0.015764213528602702
3,1,0.07923367305085117,0.063242627789065,0.01599104526178617
3,2,0.05491777827620198,0.02849884445766037,0.026418933818541608
3,3,0.04052332235066948,0.01568328583341326,0.02484003651725622
3,4,0.031283865189164484,0.009922664738842478,0.021361200450322006
3,5,0.024985972490576408,0.006877514080246023,0.018108458410330385
3,6,0.020490295084356347,0.0050748542419795815,0.015415440842376765
4,1,0.05491777827620198,0.04001300489067985,0.014904773385522131
4,2,0.04052332235066948,0.018030945938338396,0.022492376412331084
4,3,0.031283865189164484,0.009922664738842478,0.021361200450322006
4,4,0.024985972490576408,0.006277974945129179,0.01870799754544723
4,5,0.020490295084356347,0.0043513372886157245,0.01613895779574062
4,6,0.017161828466012562,0.0032108116740671953,0.013951016791945367
5,1,0.04052332235066948,0.027733478029482,0.012789844321187481
5,2,0.031283865189164484,0.01249745787395647,0.018786407315208014
5,3,0.024985972490576408,0.006877514080246023,0.018108458410330385
5,4,0.020490295084356347,0.0043513372886157245,0.01613895779574062
5,5,0.017161828466012562,0.003015962370794082,0.01414586609521848
5,6,0.014623674671644927,0.0022254508318691264,0.0123982238397758
6,1,0.031283865189164484,0.02046427778708809,0.010819587402076395
6,2,0.024985972490576408,0.009221758961973706,0.015764213528602702
6,3,0.020490295084356347,0.0050748542419795815,0.015415440842376765
6,4,0.017161828466012562,0.0032108116740671953,0.013951016791945367
6,5,0.014623674671644927,0.0022254508318691264,0.0123982238397758
6,6,0.012640446472528882,0.0016421396543362687,0.010998306818192614
