row_type,index,lower_exact,upper_exact,midpoint,dual_value_midpoint,active_boundary_distance,weight_sign,slack_lower,slack_upper
frozen_P380_derivative_root,0,22326970084271/1125899906842624,1395435630267/70368744177664,0.019830333006140233,-0.9999999792654226,2.0734577392587027e-08,,,
frozen_P380_derivative_root,1,18214956631617/140737488355328,145719653052937/1125899906842624,0.12942505116780767,-5.078641559326887e-09,5.078641559326887e-09,,,
frozen_P380_derivative_root,2,112801357745311/562949953421312,225602715490623/1125899906842624,0.20037546332451805,-0.05882388855013805,0.05882388855013805,,,
frozen_P380_derivative_root,3,332192241170697/1125899906842624,166096120585349/562949953421312,0.295045979799633,-3.222643614711846e-10,3.222643614711846e-10,,,
frozen_P380_derivative_root,4,29164969877763/70368744177664,466639518044209/1125899906842624,0.4144591497061332,-0.08357685386866524,0.08357685386866524,,,
frozen_P380_derivative_root,5,593004415930097/1125899906842624,296502207965049/562949953421312,0.5266937250159898,-1.8011358205062581e-09,1.8011358205062581e-09,,,
frozen_P380_derivative_root,6,777463479580701/1125899906842624,388731739790351/562949953421312,0.690526284668548,-0.35403089523477393,0.35403089523477393,,,
frozen_P380_derivative_root,7,114569111505491/140737488355328,916552892043929/1125899906842624,0.8140624992271559,-7.543219926062243e-09,7.543219926062243e-09,,,
frozen_P380_derivative_root,8,530210562032119/562949953421312,1060421124064239/1125899906842624,0.9418431581880058,-0.9999999395255164,6.047448365084903e-08,,,
frozen_P366_complementary_slack,0,,,,,,-1,3.056079581773453e-08,3.056079581773453e-08
frozen_P366_complementary_slack,1,,,,,,1,5.752921253763157e-09,5.752921266985643e-09
frozen_P366_complementary_slack,2,,,,,,1,5.53659989375616e-10,5.536601902077728e-10
frozen_P366_complementary_slack,3,,,,,,1,2.11816627567482e-09,2.118169410462562e-09
frozen_P366_complementary_slack,4,,,,,,1,8.545524877056202e-09,8.545564792417948e-09
frozen_P366_complementary_slack,5,,,,,,-1,6.855586646919789e-08,6.855596881402731e-08
frozen_P366_complementary_slack,6,,,,,,1,7.132939698479664e-10,7.132939698479664e-10
