distance,lower_exact,upper_exact,width,lower_fifth_le_distance,distance_lt_upper_fifth,trust_component,included,role
1,1000000000000000000/1000000000000000000,1000000000000000001/1000000000000000000,1e-18,True,True,,,
2,1148698354997035006/1000000000000000000,1148698354997035007/1000000000000000000,1e-18,True,True,,,
3,1245730939615517325/1000000000000000000,1245730939615517326/1000000000000000000,1e-18,True,True,,,
4,1319507910772894259/1000000000000000000,1319507910772894260/1000000000000000000,1e-18,True,True,,,
5,1379729661461214832/1000000000000000000,1379729661461214833/1000000000000000000,1e-18,True,True,,,
6,1430969081105255501/1000000000000000000,1430969081105255502/1000000000000000000,1e-18,True,True,,,
7,1475773161594552069/1000000000000000000,1475773161594552070/1000000000000000000,1e-18,True,True,,,
8,1515716566510398082/1000000000000000000,1515716566510398083/1000000000000000000,1e-18,True,True,,,
9,1551845573915359674/1000000000000000000,1551845573915359675/1000000000000000000,1e-18,True,True,,,
10,1584893192461113485/1000000000000000000,1584893192461113486/1000000000000000000,1e-18,True,True,,,
11,1615394266202178001/1000000000000000000,1615394266202178002/1000000000000000000,1e-18,True,True,,,
,,,,,,Lean kernel,True,checks exact propositions
,,,,,,generated fifth-root endpoints,False,Python generation; terminal brackets checked
,,,,,,cosine/Taylor enclosure,False,not mechanized
,,,,,,Krawczyk and Bernstein algorithms,False,structural interfaces only
,,,,,,Lindemann-Weierstrass theorem,False,explicit hypothesis in reduction
