uses,coherence,survival,threshold_fraction,product,ghz,optimized_erasure_aware,gain_over_product_or_ghz,sector_probabilities
3,0.6,0.6,0.5,0.17336886092046105,0.03299077398303956,0.1750830298978826,0.0017141689774215485,"[0.16526875718680517, 0.33473124313968017, 0.3347312443493548, 0.1652687553241599]"
3,0.6,0.6,0.8,0.26954072607415136,0.04437249282426668,0.2716517734902668,0.0021110474161154524,"[0.16062843445390834, 0.3393715714194925, 0.3393715602436215, 0.16062843388297768]"
3,0.6,0.8,0.5,0.20497270505388954,0.07820035314498269,0.2086110936535673,0.003638388599677772,"[0.18239011527284488, 0.3176098853200102, 0.31760988529397527, 0.1823901141131698]"
3,0.6,0.8,0.8,0.3176292459133626,0.10517924225011366,0.32194299209692456,0.004313746183561951,"[0.1745860472421641, 0.3254139480920437, 0.32541395743880214, 0.17458604722699014]"
3,0.8,0.6,0.5,0.24323685412430823,0.07820035314498268,0.25078554060522545,0.007548686480917222,"[0.1988998214488717, 0.30110017519666527, 0.30110017639570397, 0.19889982695875907]"
3,0.8,0.6,0.8,0.3752735468768211,0.10517924225011364,0.38446765057100385,0.009194103694182776,"[0.18983279438721615, 0.3101672016966041, 0.3101672090394712, 0.18983279487670857]"
3,0.8,0.8,0.5,0.28761939294049643,0.1853638000473664,0.3072766068409797,0.01965721390048325,"[0.24727263659248638, 0.25272722880587306, 0.2527269209692966, 0.247273213632344]"
3,0.8,0.8,0.8,0.44070550717062595,0.2493137594076769,0.4632782831921029,0.022572776021476948,"[0.2276921895806855, 0.2723078106994879, 0.27230781043226315, 0.22769218928756343]"
4,0.6,0.6,0.5,0.15249943976153033,0.01187667863389424,0.1543455201189089,0.0018460803573785711,"[0.09832930203985966, 0.2490987599229382, 0.30514387334265225, 0.24909876193878228, 0.09832930275576762]"
4,0.6,0.6,0.8,0.23946478221852835,0.015974097416736006,0.24199612664576517,0.00253134442723682,"[0.09594546360414484, 0.2492633253189618, 0.3095824200789651, 0.24926332744534224, 0.09594546355258608]"
4,0.6,0.8,0.5,0.17832726516996197,0.03753616950959168,0.1825485170719503,0.0042212519019883266,"[0.11501914951792083, 0.25038461160067066, 0.2691924776566349, 0.2503846101772186, 0.11501915104755528]"
4,0.6,0.8,0.8,0.27923475766722505,0.050486036280054554,0.2849405482020735,0.005705790534848432,"[0.11113202125794362, 0.2505494270067422, 0.2766370960144236, 0.2505494331163088, 0.11113202260458188]"
4,0.8,0.6,0.5,0.21496532427094217,0.03753616950959169,0.22324607486724898,0.008280750596306813,"[0.12823639250024804, 0.24464055192597797, 0.2542461082622275, 0.24464055028157247, 0.12823639702997397]"
4,0.8,0.6,0.8,0.33525977618715774,0.050486036280054554,0.3463726383345602,0.01111286214740248,"[0.12296401442719114, 0.24569159468349466, 0.2626887844296625, 0.24569160054494976, 0.12296400591470198]"
4,0.8,0.8,0.5,0.25175907255823493,0.11863283203031451,0.2727038635268102,0.020944790968575266,"[0.16963216899476077, 0.2392358975557919, 0.18226386406780723, 0.23923589976951978, 0.16963216961212033]"
4,0.8,0.8,0.8,0.390465453136558,0.15956080602091322,0.4174073246148824,0.026941871478324386,"[0.15752026646052159, 0.24307759008616003, 0.19880428883696452, 0.24307758736360957, 0.15752026725274426]"
