uses,coherence,threshold_fraction,optimized_parallel_lower,adaptive_hybrid_upper,gap,sector_probabilities
2,0.6,0.25,0.14477620023178112,0.2341083864193539,0.08933218618757277,"[0.3824374429442851, 0.23512510926401126, 0.38243744779170363]"
2,0.6,0.5,0.2758746551774228,0.4592201188381077,0.18334546366068488,"[0.3608957649848503, 0.27820847474764376, 0.3608957602675059]"
2,0.6,0.75,0.3846240427318579,0.6666842796235226,0.2820602368916647,"[0.33283762839300696, 0.33432473677610614, 0.33283763483088696]"
2,0.6,1.0,0.4685212856658183,0.8485281374238569,0.3800068517580386,"[0.30487804684195624, 0.3902438982928211, 0.3048780548652227]"
2,0.8,0.25,0.24491739671365756,0.3121445152258052,0.06722711851214766,"[0.49999999732062583, 0.0, 0.5000000026793743]"
2,0.8,0.5,0.45254833995939053,0.6122934917841437,0.15974515182475318,"[0.4999999985689028, 2.775557561562892e-17, 0.5000000014310972]"
2,0.8,0.75,0.5952377045528997,0.8889123728313635,0.2936746682784638,"[0.44839728790664163, 0.10320543314788337, 0.4483972789454751]"
2,0.8,1.0,0.6859943405700355,1.0,0.3140056594299645,"[0.36764706030747085, 0.26470588555413466, 0.36764705413839444]"
2,1.0,0.25,0.3826834323650899,0.3901806440322565,0.007497211667166603,"[0.5, 0.0, 0.5000000000000001]"
2,1.0,0.5,0.7071067811865476,0.7653668647301796,0.05826008354363199,"[0.5, 0.0, 0.5]"
2,1.0,0.75,0.923879532511287,1.0,0.07612046748871304,"[0.5, 0.0, 0.5]"
2,1.0,1.0,1.0000000000000004,1.0,0.0,"[0.49999999990400346, 4.061204061846929e-10, 0.49999999968987613]"
3,0.6,0.25,0.12397317075146738,0.23494714599609282,0.11097397524462543,"[0.20902405091575357, 0.2909759456767834, 0.29097595365774165, 0.20902404974972139]"
3,0.6,0.5,0.24276404181458228,0.4658742811845373,0.223110239369955,"[0.20152087357549534, 0.2984791309933686, 0.29847912518892333, 0.20152087024221277]"
3,0.6,0.75,0.3522202736571296,0.6888301782571615,0.33660990460003193,"[0.19069552977728035, 0.30930448296031016, 0.30930447167848296, 0.19069551558392636]"
3,0.6,1.0,0.4497482877448661,0.8999999999999998,0.4502517122551337,"[0.17832701578168375, 0.32167296080820496, 0.3216729772894466, 0.17832704612066472]"
3,0.8,0.25,0.1990469231766388,0.3132628613281238,0.11421593815148501,"[0.40409128321544424, 0.09590871432645133, 0.09590872927851765, 0.40409127317958676]"
3,0.8,0.5,0.3768476912691603,0.6211657082460499,0.2443180169768896,"[0.36101668767867334, 0.13898331563275124, 0.13898329389303068, 0.36101670279554476]"
3,0.8,0.75,0.5227633693019746,0.9184402376762156,0.395676868374241,"[0.3088407815531159, 0.19115920442647202, 0.19115923006207164, 0.3088407839583405]"
3,0.8,1.0,0.6369632866389872,1.0,0.36303671336101284,"[0.2600859495036859, 0.23991404619370277, 0.239914061064749, 0.2600859432378623]"
3,1.0,0.25,0.38268343236508995,0.3915785766601547,0.008895144295064772,"[0.5000000047342726, 5.296835832360039e-17, 0.0, 0.4999999952657274]"
3,1.0,0.5,0.7071067811865476,0.7764571353075622,0.06935035412101465,"[0.5, 0.0, 0.0, 0.5]"
3,1.0,0.75,0.923879532511287,1.0,0.07612046748871304,"[0.5, 0.0, 0.0, 0.5]"
3,1.0,1.0,1.0000000000000002,1.0,0.0,"[0.5, 0.0, 0.0, 0.5]"
4,0.6,0.25,0.10524589931544936,0.23524113679094544,0.12999523747549607,"[0.13994734126607578, 0.26005167711389543, 0.20000195206238122, 0.2600516149395345, 0.13994741461811305]"
4,0.6,0.5,0.20722240101300157,0.4682167728387078,0.2609943718257062,"[0.13690370599601917, 0.25930337749109766, 0.20758581268815224, 0.25930338041360973, 0.1369037234111212]"
4,0.6,0.75,0.3031036211711713,0.6966832254107096,0.3935796042395383,"[0.13234479267746743, 0.25801164642380103, 0.2192871093453033, 0.25801164853896186, 0.13234480301446638]"
4,0.6,1.0,0.3908064597778059,0.9184402376762154,0.5276337778984095,"[0.12685299924608903, 0.25620750169798684, 0.23387900628573605, 0.25620749871592724, 0.12685299405426081]"
4,0.8,0.25,0.17317769185517012,0.31365484905459395,0.14047715719942383,"[0.26173264820280745, 0.23826735326611193, 0.0, 0.23826735430379725, 0.26173264422728343]"
4,0.8,0.5,0.3332327780253564,0.6242890304516104,0.29105625242625405,"[0.23596139131771968, 0.2638826018653368, 0.0003119938036623991, 0.2638826225242308, 0.23596139048905038]"
4,0.8,0.75,0.4715029379369542,0.9289109672142795,0.45740802927732527,"[0.20739866285763475, 0.2746523886288914, 0.035897899979926484, 0.2746523592967165, 0.20739868923683094]"
4,0.8,1.0,0.5852698402602345,1.0,0.41473015973976546,"[0.1795344202138566, 0.27883976024131774, 0.08325169366176487, 0.2788397329090248, 0.17953439297403606]"
4,1.0,0.25,0.3826834323650899,0.3920685613182424,0.009385128953152522,"[0.5, 0.0, 0.0, 0.0, 0.5]"
4,1.0,0.5,0.7071067811865476,0.780361288064513,0.07325450687796542,"[0.4999999988999774, 0.0, 0.0, 2.7755575615628914e-17, 0.5000000011000226]"
4,1.0,0.75,0.923879532511287,1.0,0.07612046748871304,"[0.5000000000000001, 5.551115123125784e-17, 5.551115123125784e-17, 1.1102230246251568e-16, 0.49999999999999983]"
4,1.0,1.0,1.0000000000000002,1.0,0.0,"[0.5, 0.0, 0.0, 0.0, 0.5]"
