negative_sign_probability,encoded_l1_coherence,encoded_relative_entropy_asymmetry_bits,chosen_encoder_reference_budget_bits,polarity_swap_invariant_cost
0.0,1.0,1.0,1.0,True
0.05,0.9,0.7136030428840439,1.0,True
0.1,0.8,0.5310044064107189,1.0,True
0.15000000000000002,0.7,0.3901596952835995,1.0,True
0.2,0.6,0.2780719051126377,1.0,True
0.25,0.5,0.18872187554086717,1.0,True
0.30000000000000004,0.3999999999999999,0.1187091007693073,1.0,True
0.35000000000000003,0.29999999999999993,0.06593194462450902,1.0,True
0.4,0.19999999999999996,0.02904940554533142,1.0,True
0.45,0.09999999999999998,0.007225546012191719,1.0,True
0.5,0.0,0.0,1.0,True
