control,law,rho,baseline_elasticity
0.5,resolution-linear,0.21484854389507754,1.0
0.5,entropy-cell power,0.6555128433449303,-0.8446747655335438
0.5,inverse-RG-time,0.18463958725534022,0.8446747655335438
0.75,resolution-linear,0.3222728158426163,1.0
0.75,entropy-cell power,0.5307277642957458,-0.8446747655335438
0.75,inverse-RG-time,0.3242524108317691,0.8446747655335438
1.0,resolution-linear,0.4296970877901551,1.0
1.0,entropy-cell power,0.4296970877901551,-0.8446747655335438
1.0,inverse-RG-time,0.4296970877901551,0.8446747655335438
1.25,resolution-linear,0.5371213597376938,1.0
1.25,entropy-cell power,0.34789886581560225,-0.8446747655335438
1.25,inverse-RG-time,0.5087798796623902,0.8446747655335438
1.5,resolution-linear,0.6445456316852326,1.0
1.5,entropy-cell power,0.28167195979436066,-0.8446747655335438
1.5,inverse-RG-time,0.5694316559796875,0.8446747655335438
