distance,angle_exact,nonnegative,square_below_12,lower_exact,upper_exact,width
0,13/80,True,True,53686878392757943085994269112334811152294550305886718577534240815929386483586531737844996924728739565419073849879658613215748123/54403596641710144564187403842646778239586887313168890136067383769779151044608000000000000000000000000000000000000000000000000000,695916272512728439288750999568799920569605399476920505868568535547450359885547999339855813771480008427997370133753978619/705206734301245237112517160313054513019367109895689321699064933966151680000000000000000000000000000000000000000000000000,5.1069678983406286e-85
1,1393/4000,True,True,217132196375952964664450204031857741477687066870974681759376698807940754893491196750837789340830201354817682566412862844229706801814060410014058662979043389792675318117103801582065026298990531626799/230998739976434107770263953347462220348894418681911534531117056000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,55165700298768537770439584357687434318518055607463079715288795428846738908002905831809999014174145352306081838065183780868375613422964393733203185647036028187986372204520057097961691681943/58688704262305413559518280830147921836609354339916548407296000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4.0902423284071025e-71
2,267/500,True,True,236595094908764594266761369830347161238690209090603993935468827788511107732707449492888008156701189416532822675119824772945262339327778021024234812461046533/274861908515546441597075927734375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,690719022197076774067316926704746999904214638498031567434722133079963260769155023254108722275430942347566518792761083540388705576326239961097507/802435691924598665527343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.564806348106075e-63
3,2879/4000,True,True,20436131304513786717935175475917982853561939830886779022324290997069570488589393994267531325162225963994308719894864338028170529120003594963345058000266395414868592723265361120035938533213711310614802559/27176770759487496345063783847375582761827079463508210126051390521344000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9632850706156475178899109064096972173308153004136112410037269105892467953781084551791565404347338279998992132143545602840389310266759963914963249136835464738635676580720442555956223006625413/12810143539435936177854853843016832757245369070012693884174336000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.144174828404075e-58
4,1811/2000,True,True,3814423294288918054124165958149151218979732189699112208170038565306870318064211575846007398802141072656377009775493482383002392395936524043729416427518123152041688545029713294078066872421879/6179282254262829234236001831817607754107275346429607936000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,198986008792438058999125161672492189543226618436387271868627751341648811674189374379307463637859810825347148307532713057200999733236491240083622104895666484168663456262255781247/322352979235074431196667434134155718648276189184000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.100618681337628e-53
5,873/800,True,True,47447082016179973661502386469518842640096829885314364873505682041996080450268059102894588383750305716503189927458850399322410739663083654557750710978701140706055613/102838049109854200825466862218787617943435090606021142081741269791408128000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11741537163490847140655286483785744634962194598639241911248596541818457008576272386400211087342354136982608313353378446933500634425842880392797228355007819/25448915383932085649317702283315751193635940619560981074235149516800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.787023089464657e-50
6,1277/1000,True,True,406872859199003392604822710093633126762038453150842001450705516859335482707045882470040731543680065037024281602994905673084113708977583038295764441855231959665109190975959203671/1405006117752879898543142606244511569936384000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33754177799817769421339199443639715178533138641088724981154325505388838212797159992640856866059706498201161285479457122578988724363382854640238219997139904798400072343/116559326178271104906515895656587984896000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.0527661130940014e-47
7,5851/4000,True,True,2930640425472076070049235358678131220405431499597601015920802584800639900209680431475056329122008742456379010016809058595262611005773127188744932464044237946252692956407768293485536290304692199368681799/27176770759487496345063783847375582761827079463508210126051390521344000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,490173323784916141819011250227158435629290448854215198142330934526982491208419492143299261216040282375177762098493350458926427829671317530087723769799284323979635054664865565294557278692553/4545534804315977353432367492683392268699969670004504281481216000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6.158376969230673e-45
8,3297/2000,True,True,-3507925647800985158955246930958925433981286981636339901929786312985406268924402386069670839695090686169578656714530281774363423391491358486508609795946246910570449126975639523/45190375851286209539134944467939535880192000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-10694895267685930362668435765118675103601356103401165549393940762908276019619935230181372355187311788729157384932817837825465166469063490367651743863365471235995479713/137775536131970151033948001426644926464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9.333784011092974e-43
9,7337/4000,True,True,-7971914609663845240491084394854323637355422100934715405185195451593379166771092102745380274745392555975890901793154526312135444548860193876114852986819121159589081001378222619495756229375013894897/30612159088923790935182803617772912298727134701065932239798272000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-41334383864608455909299218075194560090804349393385366640903392264275923324091647935239127105294593116810321111550114904098038163146644126604312146300625199104994103649578782235302185641/158724070271921099506298757765953792821507044866154037248000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8.271417646448247e-41
