law,survivors,matrix_dimension,mask_probability_total,trace_distance_lower,trace_distance_upper,interval_width,dimension,isolating_intervals,root_multiplicity,maximum_entry_radius,nuclear_half_norm_perturbation_bound
rational_O149_candidate,1,2,12/125,0.30525568024780875,0.30525568024780886,1.0891480142178461e-16,2,1,2,2.7221200355446153e-17,5.4442400710892305e-17
rational_O149_candidate,2,4,48/125,0.4098574457715673,0.40985744577156752,2.5117093425567988e-16,4,2,4,1.5697558390979994e-17,1.2558046712783995e-16
rational_O149_candidate,3,8,64/125,0.54021187248429858,0.5402118724843008,2.235174232935465e-15,8,3,8,3.4918972389616637e-17,1.1174071164677324e-15
rational_O149_candidate,weighted_total,orthogonal herald blocks,1,0.46327828319203235,0.46327828319203362,1.2513146669536304e-15,,,,,
product,1,2,12/125,0.32538931446064012,0.32538931446064029,1.3520724483090721e-16,2,1,2,3.3796811207726802e-17,6.7593622415453604e-17
product,2,4,48/125,0.40302613226001732,0.40302613226001804,7.1674475110925185e-16,4,2,4,4.4795296944328238e-17,3.583623755546259e-16
product,3,8,64/125,0.49747284803624303,0.4974728480362467,3.6634779333474836e-15,8,3,8,5.7230905208554429e-17,1.8313889666737417e-15
product,weighted_total,orthogonal herald blocks,1,0.44070550717062451,0.44070550717062668,2.1639105818036314e-15,,,,,
GHZ,1,2,12/125,0,0,0,2,1,2,0,0
GHZ,2,4,48/125,0,0,0,4,1,4,0,0
GHZ,3,8,64/125,0.48694093634311769,0.48694093634311952,1.8511315464046156e-15,8,2,8,2.8923617912572114e-17,9.2555577320230765e-16
GHZ,weighted_total,orthogonal herald blocks,1,0.24931375940767625,0.24931375940767719,9.4777935175916308e-16,,,,,
