start,value,probabilities,reversal_defect,solver_success
0,0.4632782831921027,"[0.2276921912323091, 0.27230780876769095, 0.272307808767691, 0.22769219123230877]",3.3306690738754696e-16,True
1,0.4632782831921018,"[0.2276922062341873, 0.2723077903647996, 0.272307789779477, 0.22769221362153608]",7.387348788245873e-09,True
2,0.4632782831921026,"[0.22769218345821923, 0.2723078071201946, 0.2723078229026128, 0.22769218651897324]",1.5782418205656512e-08,True
3,0.4632782831920862,"[0.22769209801147894, 0.27230794406367087, 0.27230785395744306, 0.22769210396740727]",9.01062278124698e-08,True
4,0.46327828319210207,"[0.2276921840668139, 0.27230778771272574, 0.2723078111323577, 0.2276922170881026]",3.3021288703416474e-08,True
5,0.46327828319206094,"[0.22769210901718387, 0.2723079775351383, 0.27230756349015817, 0.22769234995751972]",4.1404498013486446e-07,True
6,0.4632782831921028,"[0.22769218783834116, 0.272307811688706, 0.272307815445498, 0.2276921850274549]",3.756791988607233e-09,True
7,0.46327828319207054,"[0.22769237211356244, 0.2723078267344201, 0.27230763686943765, 0.22769216428257974]",2.0783098270138467e-07,True
8,0.4632782831921027,"[0.22769219789332287, 0.272307819649281, 0.2723078044768054, 0.22769217798059074]",1.991273212986755e-08,True
9,0.4632782831921027,"[0.22769217991310112, 0.27230781182190256, 0.27230781147022853, 0.22769219679476768]",1.6881666564660947e-08,True
10,0.46327828319210246,"[0.2276921674139874, 0.27230782770987844, 0.2723078004851737, 0.2276922043909605]",3.6976973094571264e-08,True
11,0.4632782831920534,"[0.2276924154043858, 0.27230787926975314, 0.27230773214810644, 0.2276919731777546]",4.4222663120319083e-07,True
12,0.4632782831920953,"[0.22769230402222415, 0.2723077479371701, 0.27230779702400104, 0.22769215101660478]",1.5300561936881785e-07,True
13,0.4632782831921027,"[0.2276921776634158, 0.2723078103358118, 0.2723078185805769, 0.22769219342019548]",1.5756779686570965e-08,True
14,0.4632782831921023,"[0.22769220699090528, 0.2723077827796323, 0.2723078112497567, 0.2276921989797057]",2.847012442463992e-08,True
15,0.4632782831920697,"[0.22769198714993602, 0.2723077822744438, 0.2723079478143068, 0.22769228276131334]",2.9561137732114773e-07,True
16,0.4632782831921028,"[0.22769218791558882, 0.2723078148416344, 0.27230780843889024, 0.22769218880388659]",6.402744168187979e-09,True
17,0.4632782831921024,"[0.227692197012311, 0.27230782795613745, 0.27230780874784344, 0.2276921662837082]",3.072860280117773e-08,True
18,0.4632782831921028,"[0.2276921803878334, 0.27230781286384725, 0.27230781513022645, 0.227692191618093]",1.1230259611139104e-08,True
19,0.46327828319210257,"[0.22769217077013018, 0.27230781520627556, 0.27230782449103935, 0.22769218953255493]",1.8762424752738482e-08,True
20,0.46327828319207914,"[0.22769238242073814, 0.27230772883439247, 0.27230784863800495, 0.22769204010686447]",3.423138736635689e-07,True
21,0.4632782831920892,"[0.22769223160764657, 0.2723076775409319, 0.27230793787727225, 0.22769215297414935]",2.6033634037414544e-07,True
22,0.4632782831921027,"[0.2276921767642393, 0.2723078236451696, 0.27230780320376413, 0.22769219638682703]",2.044140545720552e-08,True
23,0.4632782831920924,"[0.22769218063798055, 0.27230773113368884, 0.27230794418720033, 0.2276921440411304]",2.1305351149969454e-07,True
