row_type,barrier,lambda,minimum_float_slack,iterations,accepted_steps,inverse_hessian_resets,barrier_objective,gradient_infinity_norm,converged,slack,exact_sylvester_margin,transcendental_operator_perturbation,certified_exact_minimum_eigenvalue_lower,positive_leading_principal_minors,smallest_leading_principal_minor
central_path_scout,1e-07,0.5233303002693674,1.9999992539876388e-07,900,900,812,0.5233622589887238,9.394799062982201e-07,False,,,,,,
central_path_scout,3e-08,0.5233287602708707,5.999999974637404e-08,107,106,0,0.5233391425080052,2.1967752892524002e-08,True,,,,,,
central_path_scout,1e-08,0.5233283202710229,1.9999999989472883e-08,107,106,0,0.5233320227113621,2.380107018581116e-08,True,,,,,,
candidate_exact_slack,,,,,,,,,,X3_plus_halfDelta,1/100000000,3.0514767686602317e-16,9.9999996948523228e-09,8,398295363098315530578226718166165817334213651266957142265619882187901235043508130649702374629644505798027308771953/710542735760100185871124267578125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,,X3_minus_halfDelta,1/100000000,3.0514767686602317e-16,9.9999996948523228e-09,8,398295363098315530578226718166165817334213651266957142265619882187901235043508130649702374629644505798027308771953/710542735760100185871124267578125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,,X2_minus_X3_block0,1/100000000,0,1/100000000,4,5844060134018969961424072067/100000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,,X2_minus_X3_block1,1/100000000,0,1/100000000,4,2922031061050633714988265267/50000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,,X1_minus_X2_block0,1/100000000,0,1/100000000,2,1378608844521/1250000000000000000000000000
candidate_exact_slack,,,,,,,,,,X1_minus_X2_block1,1/100000000,0,1/100000000,2,2757217249283/2500000000000000000000000000
candidate_exact_slack,,,,,,,,,,lambda_minus_X1_diag0,2000001/100000000000000,0,2000001/100000000000000,1,2000001/100000000000000
candidate_exact_slack,,,,,,,,,,lambda_minus_X1_diag1,2000001/100000000000000,0,2000001/100000000000000,1,2000001/100000000000000
