row_type,shift,floating_lambda,minimum_float_slack,rationalization_scale,exact_feasible,certified_upper,certified_gap,smallest_certified_slack_lower,candidate_shift,candidate_scale,slack,exact_sylvester_margin,transcendental_operator_perturbation,certified_exact_minimum_eigenvalue_lower,positive_leading_principal_minors,smallest_leading_principal_minor
support_ladder_candidate,1e-09,0.5233281042710407,9.99998197839251e-10,10000000000000000,True,5233281042710407/10000000000000000,401055133/100000000000000000,9.9999694852323137e-11,,,,,,,,
candidate_exact_slack,,,,,,,,,1e-09,10000000000000000,X3_plus_halfDelta,1/10000000000,3.0514767686602317e-16,9.9999694852323137e-11,8,22091886096449826306681692934083482939978830773838620374494388814817012546854550816784410331739049072284528863/2910383045673370361328125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,1e-09,10000000000000000,X3_minus_halfDelta,1/10000000000,3.0514767686602317e-16,9.9999694852323137e-11,8,22091886096449826306681692934083482939978830773838620374494388814817012546854550816784410331739049072284528863/2910383045673370361328125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,1e-09,10000000000000000,X2_minus_X3_block0,1/10000000000,0,1/10000000000,4,410062363312201312618124989/625000000000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,1e-09,10000000000000000,X2_minus_X3_block1,1/10000000000,0,1/10000000000,4,3280500728997367499365500039/5000000000000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,1e-09,10000000000000000,X1_minus_X2_block0,1/10000000000,0,1/10000000000,2,80999919000009/100000000000000000000000000000000
candidate_exact_slack,,,,,,,,,1e-09,10000000000000000,X1_minus_X2_block1,1/10000000000,0,1/10000000000,2,20250011249999/25000000000000000000000000000000
candidate_exact_slack,,,,,,,,,1e-09,10000000000000000,lambda_minus_X1_diag0,1/1000000000,0,1/1000000000,1,1/1000000000
candidate_exact_slack,,,,,,,,,1e-09,10000000000000000,lambda_minus_X1_diag1,5000001/5000000000000000,0,5000001/5000000000000000,1,5000001/5000000000000000
support_ladder_candidate,3e-10,0.5233281014710409,2.999981770427062e-10,10000000000000000,True,5233281014710409/10000000000000000,121055153/100000000000000000,9.9999694852323137e-11,,,,,,,,
candidate_exact_slack,,,,,,,,,3e-10,10000000000000000,X3_plus_halfDelta,1/10000000000,3.0514767686602317e-16,9.9999694852323137e-11,8,215496378804851742161849020241443797208749381090824531358942835836961778772217129849195769532929368517631077/11641532182693481445312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,3e-10,10000000000000000,X3_minus_halfDelta,1/10000000000,3.0514767686602317e-16,9.9999694852323137e-11,8,215496378804851742161849020241443797208749381090824531358942835836961778772217129849195769532929368517631077/11641532182693481445312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,3e-10,10000000000000000,X2_minus_X3_block0,1/10000000000,0,1/10000000000,4,7999999999870000153999963/5000000000000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,3e-10,10000000000000000,X2_minus_X3_block1,1/10000000000,0,1/10000000000,4,16000031999775999624000067/10000000000000000000000000000000000000000000000000000000000000000
candidate_exact_slack,,,,,,,,,3e-10,10000000000000000,X1_minus_X2_block0,1/10000000000,0,1/10000000000,2,3999984000003/100000000000000000000000000000000
