row_type,orbit,representative,positions,multiplicity,point,residual_infinity_norm,jacobian_determinant,jacobian_singular_values
exact_residual_orbit,0,"[0, 0]","[[0, 0], [7, 7]]",2,,,,
exact_residual_orbit,1,"[0, 1]","[[0, 1], [0, 2], [5, 7], [6, 7]]",4,,,,
exact_residual_orbit,2,"[0, 3]","[[0, 3], [4, 7]]",2,,,,
exact_residual_orbit,3,"[0, 4]","[[0, 4], [3, 7]]",2,,,,
exact_residual_orbit,4,"[0, 5]","[[0, 5], [0, 6], [1, 7], [2, 7]]",4,,,,
exact_residual_orbit,5,"[0, 7]","[[0, 7]]",1,,,,
exact_residual_orbit,6,"[1, 1]","[[1, 1], [2, 2], [5, 5], [6, 6]]",4,,,,
exact_residual_orbit,7,"[1, 2]","[[1, 2], [5, 6]]",2,,,,
exact_residual_orbit,8,"[1, 3]","[[1, 3], [2, 3], [4, 5], [4, 6]]",4,,,,
exact_residual_orbit,9,"[1, 4]","[[1, 4], [2, 4], [3, 5], [3, 6]]",4,,,,
exact_residual_orbit,10,"[1, 5]","[[1, 5], [1, 6], [2, 5], [2, 6]]",4,,,,
exact_residual_orbit,11,"[3, 3]","[[3, 3], [4, 4]]",2,,,,
exact_residual_orbit,12,"[3, 4]","[[3, 4]]",1,,,,
floating_root,,,,,"[0.28716641537176957, 0.06877721090495262, 0.009493709596686299, 0.5233281002710417, 0.3576804333492875, 0.413115271749897, 0.11593969306414464, 0.3631242690235351, 0.11641687175252172, -0.21582333569001838, 0.4116038160348598, 0.34605909442730937, 0.33986737581577736]",6.158268339717665e-17,1.862465032211432e-16,"[3.833325700590803, 0.5910357911430197, 0.5584906044421472, 0.3098044285755966, 0.2583692772034168, 0.23797976654101857, 0.016952341795342857, 0.014785838283949023, 0.012396178303639763, 0.010745714341171204, 0.009378532729783375, 0.007552062140820994, 0.003267495644871251]"
