row_type,radius,included,minimum_inclusion_margin,maximum_image_width,maximum_point_residual_radius,maximum_absolute_CJ_entry,index,variable,box_lower,box_upper,krawczyk_lower,krawczyk_upper,strict_left_margin,strict_right_margin
interval_provider_attempt,1/100000000,True,4881686288374196797949337491940170349063570071921277542157173928619575567866610326709/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1120444791147840271267304679207795938577742907341868942724325845205074311714173547/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2578316652730988399863415635138537769853025498781197775161421/39062500000000000000000000000000000000000000000000000000000000000000000000000,1.0000191438201858,,,,,,,,
interval_provider_attempt,1/1000000000,True,488264278717416497084799855514910827944328718563174829573625464096550626657400326709/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11204447928141135804941104467317057819096265444581526272790368230015520924173547/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2578316652730988399863415635138537769853025498781197775161421/39062500000000000000000000000000000000000000000000000000000000000000000000000,1.0000019143819843,,,,,,,,
interval_provider_attempt,1/10000000000,True,48822246120862138508470717502114858946741453807683157680124753457622092168389326709/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,112044482499712134079117263286055406361020936253419773501007158550009935173547/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2578316652730988399863415635138537769853025498781197775161421/39062500000000000000000000000000000000000000000000000000000000000000000000000,1.000000191438166,,,,,,,,
interval_provider_attempt,1/100000000000,True,4877044544899491490124540750161447290310461707133990490774682393729238719488226709/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1120445146730480255869216697711837353121485420609123572071051403458836273547/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2578316652730988399863415635138537769853025498781197775161421/39062500000000000000000000000000000000000000000000000000000000000000000000000,1.0000000191437841,,,,,,,,
interval_provider_attempt,1/1000000000000,True,482514404140154498078831637146218528624077340829073771839675287339953374598116709/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11204483722525964982231926473523737487790337328058579177440688803726383547/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2578316652730988399863415635138537769853025498781197775161421/39062500000000000000000000000000000000000000000000000000000000000000000000000,1.000000001914346,,,,,,,,
interval_provider_attempt,1/10000000000000,True,43061290232590075793545852658183627046529490136082099946174576701024840109105709/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,112048144811250766719961375101285338483328999952079888079617338215394547/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2578316652730988399863415635138537769853025498781197775161421/39062500000000000000000000000000000000000000000000000000000000000000000000000,1.0000000001914022,,,,,,,,
interval_provider_attempt,3/100000000000000,True,8881602834553053263568986041993890518633693719335525465568965873552620759960409/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10085167341227633336151111629181134900075574432685498907089557564539847/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2578316652730988399863415635138537769853025498781197775161421/39062500000000000000000000000000000000000000000000000000000000000000000000000,1.0000000000573954,,,,,,,,
interval_provider_attempt,1/100000000000000,False,-884022156482673665968478481293296514762865636342067243175494362868013339795391/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1120894270765097859438298662577694255753167141429959143510191664295647/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2578316652730988399863415635138537769853025498781197775161421/39062500000000000000000000000000000000000000000000000000000000000000000000000,1.0000000000191078,,,,,,,,
selected_interval_coordinate,,,,,,,0,A,717916038429349/2500000000000000,717916038429499/2500000000000000,140217976255741108165334553053263568986041993890518633693719335525465568965873552620759960409/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,140217976255741108165354723387946024252714296113776995963519486674330939963687731735889040103/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8881602834553053263568986041993890518633693719335525465568965873552620759960409/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,20415272145276612053975747285703886223004036480513325669060036312268264110959897/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000
selected_interval_coordinate,,,,,,,1,B,343886054524613/5000000000000000,343886054524913/5000000000000000,6716524502436992059236848896893811482497227620613001481350146136981204521298110398656112481/97656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1679131125609248014809517883287192422659012213034843895975131961071435754983684696995374251/24414062500000000000000000000000000000000000000000000000000000000000000000000000000000000000,3144402986848896893811482497227620613001481350146136981204521298110398656112481/97656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,678743002982116712807577340987786965156104024868038928564245016315303004625749/24414062500000000000000000000000000000000000000000000000000000000000000000000000000000000000
