row_type,variable_radius,q_radius,theta_radius,included,minimum_inclusion_margin,maximum_contraction_row_sum,maximum_function_interval_radius,q_interval,theta_interval_symbolic,sine_intervals,normalizer_positive_lower,X3_positive_lower,positive_throughout_tube
tube_trial,1/10000,1/1000000,1/1000000,False,-562752309636419438969923839268306091515713883354751909445554304333393989752970868471624662196731048289184609154920027382229/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28789219854820288838652273160592151518880356419102941390412984050148303549035005773205690082331422518426368677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,528775064157381652950958308330499171610060172799029493330348329485369972141353779266908019963991156804451/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""799999/1000000"", ""800001/1000000""]","[pi/8-1/1000000, pi/8+1/1000000]","[[""38268243236508977172845998403/100000000000000000000000000000"", ""382684432365089771728459984031/1000000000000000000000000000000""], [""88388097648318440550105545263/125000000000000000000000000000"", ""141421756237309504880168872421/200000000000000000000000000000""], [""230969133127821689032045797349/250000000000000000000000000000"", ""923882532511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000,3/10000000,3/10000000,False,-214140384384806012286589071262404247444900541430202833821966155772591430186687433648621489455491303427386045183263744893652844941/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28715439925808670384200999330484208673033542384770566516646455055326247870952848658126300593964112583632469840715533/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,158632260028371495382826652525324500154586721709059970432987769267888858375120254401748119156996899786376182279/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""7999997/10000000"", ""8000003/10000000""]","[pi/8-3/10000000, pi/8+3/10000000]","[[""38268313236508977172845998403/100000000000000000000000000000"", ""382683732365089771728459984031/1000000000000000000000000000000""], [""88388272648318440550105545263/125000000000000000000000000000"", ""141421476237309504880168872421/200000000000000000000000000000""], [""230969658127821689032045797349/250000000000000000000000000000"", ""923880432511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000,1/10000000,1/10000000,False,-114536980924834319050503551967117809345386547516917408384991040752209497159051554591965991659583994009016434120694426899888182229/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28694359946315407673552148539461642348587827203981406716302296872554435343110912419938847863443058718638706452918677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,52877395321712414735705286751919991792053640170387489966831342393001173264269378993542401730452424727839691951/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""7999999/10000000"", ""8000001/10000000""]","[pi/8-1/10000000, pi/8+1/10000000]","[[""38268333236508977172845998403/100000000000000000000000000000"", ""382683532365089771728459984031/1000000000000000000000000000000""], [""88388322648318440550105545263/125000000000000000000000000000"", ""141421396237309504880168872421/200000000000000000000000000000""], [""230969808127821689032045797349/250000000000000000000000000000"", ""923879832511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000,3/100000000,3/100000000,False,-79675790108019223199741893192274348028889269186496190996627148459580542492011835124758542148122003276689389514403010341157955396844941/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28686981953516305295075536453580973656142035331309782027851060027676491475327779864625888315907212373893777497874357215533/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,15863216003945507362907324351520468790274777610553000729532463014930353569977800042289149779527905826975425792807279/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""79999997/100000000"", ""80000003/100000000""]","[pi/8-3/100000000, pi/8+3/100000000]","[[""38268340236508977172845998403/100000000000000000000000000000"", ""382683462365089771728459984031/1000000000000000000000000000000""], [""88388340148318440550105545263/125000000000000000000000000000"", ""141421368237309504880168872421/200000000000000000000000000000""], [""230969860627821689032045797349/250000000000000000000000000000"", ""923879622511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000,1/100000000,1/100000000,False,-4357215619988903151838771384295492074257111537354039308914645353406427153969427535702569062198944443015544999263137873638245475559691/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28684873955575946012418140247738101704659739399748894112980649614953094952785137125257307073025634079502467920086718418677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5287738420729408343766727871251196249869182499313734466076416549217827209841055672403084563786401220690594668566951/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""79999999/100000000"", ""80000001/100000000""]","[pi/8-1/100000000, pi/8+1/100000000]","[[""38268342236508977172845998403/100000000000000000000000000000"", ""382683442365089771728459984031/1000000000000000000000000000000""], [""88388345148318440550105545263/125000000000000000000000000000"", ""141421360237309504880168872421/200000000000000000000000000000""], [""230969875627821689032045797349/250000000000000000000000000000"", ""923879562511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000,3/1000000000,3/1000000000,False,-4139333178688457390236015428426364727080266789565741030608320512220627658986408585843660852485396392670631773124863957293127561571824889739/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28684136156297055593764559388095178817491357551776701135736491526171559291471848199385221604071190232896289850384101919522215533/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1586321499898983180990401457905730470553580721395867190475857140969047172640768752845885604391992912147761581819959057279/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""799999997/1000000000"", ""800000003/1000000000""]","[pi/8-3/1000000000, pi/8+3/1000000000]","[[""38268342936508977172845998403/100000000000000000000000000000"", ""382683435365089771728459984031/1000000000000000000000000000000""], [""88388346898318440550105545263/125000000000000000000000000000"", ""141421357437309504880168872421/200000000000000000000000000000""], [""230969880877821689032045797349/250000000000000000000000000000"", ""923879541511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000,1/1000000000,1/1000000000,False,-4077081052579166233490886388394109521717535753478019841703547269183683373329360834240347182976576785227949469328220971891508216449814934691/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28683925356503109314661039579860297871078841801707091815409491972025173009687813960412036108168079881570913267672683889373418677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,528773830451735744530573139645658338244301855279193201334495547735856595429847877495442873771752463113269199262957316951/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""799999999/1000000000"", ""800000001/1000000000""]","[pi/8-1/1000000000, pi/8+1/1000000000]","[[""38268343136508977172845998403/100000000000000000000000000000"", ""382683433365089771728459984031/1000000000000000000000000000000""], [""88388347398318440550105545263/125000000000000000000000000000"", ""141421356637309504880168872421/200000000000000000000000000000""], [""230969882377821689032045797349/250000000000000000000000000000"", ""923879535511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000,1/10000000000,1/10000000000,False,-4049067595826585027194417601205414988261095774347760865468157271820823766019586539295844480059880479342017705155179499318715595038998493208684691/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28683830496595836738772695091569376738655193656316119096992340296134262390763940529718637803140889592148770942653740915321915923418677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3304836470941401607098769824930035638355121117756101076402042733169903872508379138382162645385578022437939056723342165873961/9765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""7999999999/10000000000"", ""8000000001/10000000000""]","[pi/8-1/10000000000, pi/8+1/10000000000]","[[""38268343226508977172845998403/100000000000000000000000000000"", ""382683432465089771728459984031/1000000000000000000000000000000""], [""88388347623318440550105545263/125000000000000000000000000000"", ""141421356277309504880168872421/200000000000000000000000000000""], [""230969883052821689032045797349/250000000000000000000000000000"", ""923879532811286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/100000,1/1000000,1/1000000,False,-493784927374032638685264243554375650247744600245981320440067561752860096976444847688084177900337927222849681917720027382229/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2973742892235887674873742321095412018880356419102941390412984050148303549035005773205690082331422518426368677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,528775064157381652950958308330499171610060172799029493330348329485369972141353779266908019963991156804451/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""799999/1000000"", ""800001/1000000""]","[pi/8-1/1000000, pi/8+1/1000000]","[[""38268243236508977172845998403/100000000000000000000000000000"", ""382684432365089771728459984031/1000000000000000000000000000000""], [""88388097648318440550105545263/125000000000000000000000000000"", ""141421756237309504880168872421/200000000000000000000000000000""], [""230969133127821689032045797349/250000000000000000000000000000"", ""923882532511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/100000,3/10000000,3/10000000,False,-145438609866861038437954061336862400421979788845028794362038917573416937851257178479366807317220498126309153756687826093652844941/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2899962963224269220422468490987469173033542384770566516646455055326247870952848658126300593964112583632469840715533/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,158632260028371495382826652525324500154586721709059970432987769267888858375120254401748119156996899786376182279/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""7999997/10000000"", ""8000003/10000000""]","[pi/8-3/10000000, pi/8+3/10000000]","[[""38268313236508977172845998403/100000000000000000000000000000"", ""382683732365089771728459984031/1000000000000000000000000000000""], [""88388272648318440550105545263/125000000000000000000000000000"", ""141421476237309504880168872421/200000000000000000000000000000""], [""230969658127821689032045797349/250000000000000000000000000000"", ""923880432511286756128183189397/1000000000000000000000000000000""]]",,,
