program,status,key_result
"P507","proven_quadratic_core_nonlinearity_source_no_go","quadratic core cannot select quartic sign/coefficient"
"P508","outward_interval_parametric_krawczyk_certificate","charts=401 accepted=True"
"P509","strong_omega_1_orbital_stability_evidence_with_vk_turning_point","dP/domega=0.617852"
"P510","refuted_equal_power_localized_PN_comparison","minimum localized bond power=4.06764"
"P511","strong_stationary_memory_robustness_evidence","endpoint IPR=0.620802"
"P512","proven_transcendental_frequency_ratio","lambda2/lambda1 transcendental"
"P513","partial_normalized_certificate_from_C1536_with_rate_bound","finite_bounds=False"
"P514","global_interval_phase_diagram_with_narrow_root_brackets","final bracket=[0.7008185567101464, 0.7008185570593923]"
"P515","conditional_robust_synthetic_separation_certificate","robust TV=0.202414"
"P516","conditional_minimal_local_law_identifiability","full-rank designs=3/3"
