intervention_id,intervention_type,source_reference,start_utc,end_utc,is_preregistered,is_exogenous
INT_01_GW150914_v4,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1126259462.400,GPS:1126259462.400,True,True
INT_02_GW190503_185404_v2,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1240944862.200,GPS:1240944862.200,True,True
INT_03_GW190728_064510_v2,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1248331528.500,GPS:1248331528.500,True,True
INT_04_GW191126_115259_v1,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1258804397.600,GPS:1258804397.600,True,True
INT_05_GW200219_094415_v1,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1266140673.100,GPS:1266140673.100,True,True
INT_06_GW230609_010824_v1,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1370308122.400,GPS:1370308122.400,True,True
INT_07_GW230708_071859_v1,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1372835957.400,GPS:1372835957.400,True,True
INT_08_GW230817_212349_v1,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1376342647.100,GPS:1376342647.100,True,True
INT_09_GW230920_071124_v1,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1379229102.700,GPS:1379229102.700,True,True
INT_10_GW231026_130704_v1,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1382360842.200,GPS:1382360842.200,True,True
INT_11_GW231127_165300_v1,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1385139198.900,GPS:1385139198.900,True,True
INT_12_GW240109_050431_v1,exogenous_gw_catalog_event,https://www.gw-openscience.org/eventapi/json/GWTC/,GPS:1388811889.800,GPS:1388811889.800,True,True
