case_id,admissible,delta_A,delta_phi,anisotropy_injection,selector_margin_abs,transport_deviation,isotropy_drift,sign_flip_detected
CASE_00001,1,-0.1,-0.08,0.0,0.00173,1e-08,1e-06,0
CASE_00002,1,-0.09000000000000001,-0.07200000000000001,0.005000000000000001,0.00174,1.422680412371134e-08,2.849557522123894e-06,0
CASE_00003,1,-0.08,-0.064,0.010000000000000002,0.00175,1.845360824742268e-08,4.699115044247788e-06,0
CASE_00004,1,-0.07,-0.056,0.015,0.00176,2.268041237113402e-08,6.548672566371682e-06,0
CASE_00005,1,-0.060000000000000005,-0.048,0.020000000000000004,0.00177,2.690721649484536e-08,8.398230088495575e-06,0
CASE_00006,1,-0.05,-0.04,0.025,0.00178,3.11340206185567e-08,1.024778761061947e-05,0
CASE_00007,1,-0.04000000000000001,-0.032,0.03,0.00179,3.536082474226804e-08,1.2097345132743365e-05,0
CASE_00008,1,-0.03,-0.024,0.034999999999999996,0.0018,3.958762886597938e-08,1.3946902654867257e-05,0
CASE_00009,1,-0.020000000000000004,-0.016,0.04000000000000001,0.00181,4.3814432989690716e-08,1.579646017699115e-05,0
CASE_00010,1,-0.010000000000000009,-0.007999999999999993,0.045000000000000005,0.00182,4.804123711340207e-08,1.7646017699115045e-05,0
CASE_00011,1,0.0,0.0,0.05,0.00183,5.2268041237113406e-08,1.949557522123894e-05,0
CASE_00012,1,0.009999999999999995,0.007999999999999993,0.0,0.00184,5.6494845360824744e-08,2.1345132743362834e-05,0
CASE_00013,1,0.01999999999999999,0.016,0.005000000000000001,0.00185,6.072164948453608e-08,2.319469026548673e-05,0
CASE_00014,1,0.03,0.024000000000000007,0.010000000000000002,0.0018599999999999999,6.494845360824742e-08,2.504424778761062e-05,0
CASE_00015,1,0.04000000000000001,0.032,0.015,0.00187,6.917525773195876e-08,2.6893805309734514e-05,0
CASE_00016,1,0.04999999999999999,0.039999999999999994,0.020000000000000004,0.00188,7.34020618556701e-08,2.8743362831858412e-05,0
CASE_00017,1,0.06,0.048,0.025,0.00189,7.762886597938143e-08,3.0592920353982303e-05,0
CASE_00018,1,0.07,0.05600000000000001,0.03,0.0019,8.185567010309277e-08,3.24424778761062e-05,0
