d,k_strict,dk_dd,risk,rho_A,rho_B,delta,bundle_after,critical
0.05,0.9808166797,-0.2502519531,1.0709048633,0.6723286304,0.6723286304,0.000e+00,0.1816981255,0
0.10,0.9683040821,-0.3014150638,1.0787993544,0.6674086308,0.6674086308,0.000e+00,0.2278633603,0
0.15,0.9506751733,-0.3943173894,1.0961862596,0.6568226829,0.6568226829,0.000e+00,0.2984059666,0
0.20,0.9288723431,-0.4695263683,1.1032065720,0.6526429576,0.6526429576,0.000e+00,0.3586445143,0
0.25,0.9037225365,-0.5289179609,1.1013438228,0.6537468001,0.6537468001,0.000e+00,0.4111531045,0
0.30,0.8759805470,-0.5738999202,1.0918455191,0.6594339468,0.6594339468,0.000e+00,0.4575811631,0
0.35,0.8463325445,-0.6058880876,1.0758933751,0.6692112961,0.6692112961,0.000e+00,0.4991567338,0
0.40,0.8153917383,-0.6263799723,1.0546247286,0.6827072991,0.6827072991,0.000e+00,0.5368673469,0
0.45,0.7836945473,-0.6369212887,1.0291169983,0.6996289063,0.6996289063,0.000e+00,0.5715417477,0
0.50,0.7516996094,-0.6390467454,1.0003659703,0.7197365978,0.7197365978,0.000e+00,0.6038926499,0
0.55,0.7197898727,-0.6342238571,0.9692682227,0.7428284381,0.7428284381,0.000e+00,0.6345417736,0
0.60,0.6882772237,-0.6238100001,0.9366107237,0.7687291868,0.7687291868,0.000e+00,0.6640359589,0
0.65,0.6574088727,-0.6090249526,0.9030676061,0.7972825015,0.7972825015,0.000e+00,0.6928583880,0
0.70,0.6273747284,-0.5909375424,0.8692028683,0.8283451727,0.8283451727,0.000e+00,0.7214369089,0
0.75,0.5983151185,-0.5704635711,0.8354773684,0.8617827691,0.8617827691,0.000e+00,0.7501505066,0
0.80,0.5703283713,-0.5483718789,0.8022585289,0.8974663080,0.8974663080,0.000e+00,0.7793345041,0
0.85,0.5434779306,-0.5252956831,0.7698314197,0.9352696988,0.9352696988,0.000e+00,0.8092848329,0
0.90,0.5177988030,-0.5017468459,0.7384101991,0.9750677887,0.9750677887,0.000e+00,0.8402615915,0
0.95,0.4933032460,-0.4781313039,0.7081492024,1.0000000000,1.0000000000,0.000e+00,0.8581313039,0
1.00,0.4699856726,-0.4547644228,0.6791532206,1.0000000000,1.0000000000,0.000e+00,0.8547644228,0
1.05,0.4478268037,-0.4318854810,0.6514867221,1.0000000000,1.0000000000,0.000e+00,0.8518854810,0
