d,k_strict,dk_dd,rho_gr,selector_source
0.0500000000,0.9808166797,-0.2502519531,0.6723286304,0.6594311349
0.1000000000,0.9683040821,-0.3014150638,0.6674086308,0.6462545016
0.1500000000,0.9506751733,-0.3943173894,0.6568226829,0.6244250179
0.2000000000,0.9288723431,-0.4695263683,0.6526429576,0.6062219932
0.2500000000,0.9037225365,-0.5289179609,0.6537468001,0.5908057164
0.3000000000,0.8759805470,-0.5738999202,0.6594339468,0.5776513094
0.3500000000,0.8463325445,-0.6058880876,0.6692112961,0.5663752990
0.4000000000,0.8153917383,-0.6263799723,0.6827072991,0.5566738914
0.4500000000,0.7836945473,-0.6369212887,0.6996289063,0.5482953590
0.5000000000,0.7516996094,-0.6390467454,0.7197365978,0.5410257194
0.5500000000,0.7197898727,-0.6342238571,0.7428284381,0.5346803869
0.6000000000,0.6882772237,-0.6238100001,0.7687291868,0.5290987905
0.6500000000,0.6574088727,-0.6090249526,0.7972825015,0.5241405905
0.7000000000,0.6273747284,-0.5909375424,0.8283451727,0.5196828277
0.7500000000,0.5983151185,-0.5704635711,0.8617827691,0.5156176596
0.8000000000,0.5703283713,-0.5483718789,0.8974663080,0.5118504977
0.8500000000,0.5434779306,-0.5252956831,0.9352696988,0.5082984405
0.9000000000,0.5177988030,-0.5017468459,0.9750677887,0.5048889338
0.9500000000,0.4933032460,-0.4781313039,1.0000000000,0.4933032460
1.0000000000,0.4699856726,-0.4547644228,1.0000000000,0.4699856726
1.0500000000,0.4478268037,-0.4318854810,1.0000000000,0.4478268037
1.1000000000,0.4267971245,-0.4096708251,1.0000000000,0.4267971245
1.1500000000,0.4068597212,-0.3882454874,1.0000000000,0.4068597212
1.2000000000,0.3879725758,-0.3676932196,1.0000000000,0.3879725758
1.2500000000,0.3700903992,-0.3480650079,1.0000000000,0.3700903992
1.3000000000,0.3531660750,-0.3293861904,1.0000000000,0.3531660750
1.3500000000,0.3371517802,-0.3116623341,1.0000000000,0.3371517802
1.4000000000,0.3219998416,-0.2948840309,1.0000000000,0.3219998416
1.4500000000,0.3076633771,-0.2790307728,1.0000000000,0.3076633771
1.5000000000,0.2940967643,-0.2640740534,1.0000000000,0.2940967643
1.5500000000,0.2812559718,-0.2499798253,1.0000000000,0.2812559718
1.6000000000,0.2690987818,-0.2367104290,1.0000000000,0.2690987818
1.6500000000,0.2575849289,-0.2242260909,1.0000000000,0.2575849289
1.7000000000,0.2466761727,-0.2124860724,1.0000000000,0.2466761727
1.7500000000,0.2363363216,-0.2014495399,1.0000000000,0.2363363216
1.8000000000,0.2265312187,-0.1910762116,1.0000000000,0.2265312187
1.8500000000,0.2172287005,-0.1813268273,1.0000000000,0.2172287005
1.9000000000,0.2083985360,-0.1721634809,1.0000000000,0.2083985360
1.9500000000,0.2000123524,-0.1635498431,1.0000000000,0.2000123524
2.0000000000,0.1920435517,-0.1554513016,1.0000000000,0.1920435517
2.0500000000,0.1844672222,-0.1478350367,1.0000000000,0.1844672222
2.1000000000,0.1772600480,-0.1406700484,1.0000000000,0.1772600480
2.1500000000,0.1704002174,-0.1339271475,1.0000000000,0.1704002174
2.2000000000,0.1638673333,-0.1275789200,1.0000000000,0.1638673333
