pair,window_idx,start,stop,max_abs_corr,best_lag_ms,corr_at_0ms,corr_at_10ms,mean_abs_corr
H1-L1,0,0,32768,0.10078805394432135,9.765625,0.03422476350330913,0.10076677032701946,0.05323300858710321
H1-L1,1,8192,40960,0.009673889837844856,14.892578125,0.005200979826326197,-0.0050775321403261795,0.005103989998167892
H1-L1,2,16384,49152,0.0069324197971667575,14.892578125,0.004440466331030473,-0.0017041021213352547,0.003270530530195901
H1-L1,3,24576,57344,0.009952851363869093,0.48828125,0.008123372925531305,0.00152771636848275,0.00486051450904846
H1-L1,4,32768,65536,0.00903600917359745,6.591796875,0.004807733585783436,0.0071323979851963095,0.004416808917769601
H1-L1,5,40960,73728,0.009124155416915315,6.591796875,0.0052657125043565935,0.007562072787562474,0.0046880246753998765
H1-L1,6,49152,81920,0.00445152766663357,12.20703125,0.000871621381465955,0.004023312190357815,0.0018596988662847103
H1-L1,7,57344,90112,0.006534069663594195,14.892578125,-0.0037152397604277255,0.0038229732702541527,0.0034621767444749005
H1-L1,8,65536,98304,0.006101327134431672,14.16015625,-0.002743313670117782,0.0042861511156644634,0.0035365639428936164
H1-L1,9,73728,106496,0.004074628919783711,13.671875,-0.0014923141275046342,0.002396204159513335,0.001990604372949608
H1-L1,10,81920,114688,0.003961538439416532,13.916015625,-0.0027570643847805065,0.0022663261328250183,0.00235639795317628
H1-L1,11,90112,122880,0.0030068149998664245,14.892578125,0.0018693062185629057,-0.0005561061459333221,0.001176490159739165
H1-L1,12,98304,131072,0.007778810665128588,14.6484375,0.0006829275313536143,-0.005699037970278212,0.003988215449426787
H1-L1,13,106496,139264,0.006200435789322106,13.427734375,0.0012483437133609522,-0.0044789701455620985,0.003040779354263438
H1-L1,14,114688,147456,0.007551137121952631,13.671875,0.0002959010907893201,-0.006033780359584032,0.0030348589980137793
H1-L1,15,122880,155648,0.0031617705143732935,13.916015625,0.001751607951838886,-0.001576437072889449,0.0013550440276824283
H1-L1,16,131072,163840,0.007637679761250311,-14.892578125,0.0032327014333631463,0.0023341914066237705,0.0033378604214416335
H1-L1,17,139264,172032,0.005961751012097648,1.46484375,0.005087422292062183,0.00023109058571477704,0.002912911201329471
H1-L1,18,147456,180224,0.015573334989553184,-2.44140625,0.014790644828637754,0.0006672577352959708,0.008529385401923488
H1-L1,19,155648,188416,0.0119554553712446,-2.197265625,0.011484722953030454,8.18017388430903e-05,0.006918809002429894
H1-L1,20,163840,196608,0.011135731846704718,-3.662109375,0.010005699570625564,-0.0007682932245683264,0.006841334309097276
H1-L1,21,172032,204800,0.010894260412228985,-3.173828125,0.008682924768546305,1.449384985391422e-05,0.006103181757399184
H1-L1,22,180224,212992,0.005318658712807041,-9.27734375,0.001247049809992231,-0.001926088911721366,0.0025510889256057127
H1-L1,23,188416,221184,0.007204096629771733,-7.080078125,0.0032630054594523,-0.0038592509435592284,0.004209634741931916
H1-L1,24,196608,229376,0.009202030171589345,-6.8359375,0.0045657255259674324,-0.0051760459294609255,0.005655965828344501
H1-L1,25,204800,237568,0.007084021165956705,1.46484375,0.006466550881672143,0.0038835243532518333,0.004203091188333029
H1-L1,26,212992,245760,0.016255910525729854,7.080078125,0.008860671933665605,0.014440650816831331,0.010409358877790193
H1-L1,27,221184,253952,0.013669437227683172,9.27734375,0.004819052096328689,0.012634062850946351,0.008774964699446778
H1-L1,28,229376,262144,0.00868004334245111,-14.404296875,0.001344097222819353,0.0073463511618353725,0.005669045133349127
H1-L1,29,237568,270336,0.005509168770715159,-11.23046875,0.0014948533534260783,-0.002117662633590648,0.002742462327695547
H1-L1,30,245760,278528,0.015974656692615198,9.521484375,-0.005745276765917065,-0.015136528824876256,0.010154818289801132
H1-L1,31,253952,286720,0.01923787612025843,-14.892578125,-0.0039127129857330425,-0.015366292113988536,0.011195756393304716
H1-L1,32,262144,294912,0.008990400574477893,-14.892578125,-0.0013033808187098428,-0.004857330092161776,0.004060878246813653
H1-L1,33,270336,303104,0.005351228863552399,-3.90625,-0.004577029526554201,0.000871727127570469,0.0025847500384009133
H1-L1,34,278528,311296,0.010645841641378998,11.23046875,-0.0005017037151525095,0.009485012215006566,0.006791087220449079
H1-L1,35,286720,319488,0.01374965973502064,-12.939453125,0.003224249848374448,0.011708276412395715,0.008328157561027838
H1-L1,36,294912,327680,0.010442751761014498,9.765625,0.0019050932181677994,0.00982717095741272,0.00639514602463438
H1-L1,37,303104,335872,0.01007191499002709,-12.939453125,-0.0014969162833829896,0.005955530788304147,0.005392683127469518
H1-L1,38,311296,344064,0.009224770013783736,9.765625,0.004584855185442649,0.009215513141985852,0.005591215215462514
H1-L1,39,319488,352256,0.01301629194264482,-12.939453125,-0.0008613939008221441,0.010747766457988611,0.008164742373057653
H1-L1,40,327680,360448,0.010832131613356876,-11.71875,-0.0018708156690432287,0.007292244204560784,0.006461248335596196
H1-L1,41,335872,368640,0.004908108162154697,7.568359375,0.0027720671155676917,0.004624125015850386,0.003119257127260633
H1-L1,42,344064,376832,0.009646895739401631,-5.615234375,-0.006739632544516216,0.0018716117365536382,0.005183447292112475
H1-L1,43,352256,385024,0.006879170475875529,-1.953125,-0.0063855424814430305,0.0012853372424592954,0.003537620287252126
H1-L1,44,360448,393216,0.0053920273835307885,0.48828125,-0.004616202753416692,-4.740726347622783e-05,0.0026508011908476818
H1-L1,45,368640,401408,0.006665980395449671,14.892578125,-0.0017145186581460751,0.0021052184307598166,0.001604915854577571
H1-L1,46,376832,409600,0.009678601633402888,-3.90625,0.008965002382251742,0.0033775863369963363,0.005783910679178763
H1-L1,47,385024,417792,0.013465442965605283,-5.615234375,0.011236783707694441,0.0008461579840204153,0.007684434611874662
H1-L1,48,393216,425984,0.013115784272947358,-5.615234375,0.009925418939130418,0.0001340175255374203,0.007226161913675077
H1-L1,49,401408,434176,0.01206945341007388,-9.521484375,0.0060638928233862,-0.002986399761214643,0.006495665148395299
H1-L1,50,409600,442368,0.00851816452856722,-11.474609375,0.003249660759412425,-0.002481992086943231,0.0044818624727546025
H1-L1,51,417792,450560,0.0022668945616850502,8.30078125,0.0014350432487860154,0.0021018696499593777,0.001240238178435767
H1-L1,52,425984,458752,0.004172681493313873,11.474609375,0.001427293057189423,0.003802499585326581,0.0020865387090184574
H1-L1,53,434176,466944,0.009912022392256291,11.23046875,0.0027764501144105155,0.009230351969741243,0.006256041449885188
H1-L1,54,442368,475136,0.007889788014554188,7.568359375,0.0052475879318479865,0.006912613209140594,0.004963785078231778
H1-L1,55,450560,483328,0.003323688894463841,-0.244140625,0.0032310905295485585,0.0017970842672188376,0.001806369293273847
H1-L1,56,458752,491520,0.002234064982229142,-7.568359375,0.0014908367865952136,2.3505740617927502e-06,0.001040627506299784
H1-L1,57,466944,499712,0.0038862901403633526,13.18359375,-0.0013731143438014837,-0.00298889297526822,0.0020524310108633727
H1-L1,58,475136,507904,0.006727112583139173,5.37109375,-0.005307253843931277,-0.005434781667339424,0.004240950687159714
H1-L1,59,483328,516096,0.007298718797320539,-7.080078125,0.004251048869294637,-0.003640494356796132,0.004502077196808589
H1-L1,60,491520,524288,0.008025829554535242,-2.9296875,0.006158948476708562,-0.0004664380061941649,0.0045878378852423195
H1-L1,61,499712,532480,0.01234636033866601,-6.591796875,0.008709000819454532,-0.0016629220841441375,0.007244616652918119
H1-L1,62,507904,540672,0.01511849583867287,-4.8828125,0.012332100513696041,-0.00020647725724764825,0.009218221848404021
H1-L1,63,516096,548864,0.008960400180792302,-14.16015625,0.0013523743070163504,-0.003622751782982425,0.004253116320175825
H1-L1,64,524288,557056,0.011166383042879154,-8.056640625,0.007004633724905588,-0.0035260576988072347,0.006702050919187351
H1-L1,65,532480,565248,0.010011313106096487,-7.32421875,0.005581013489820966,-0.0024507273282975803,0.005383174633055991
H1-L1,66,540672,573440,0.004774921942539657,1.708984375,-0.004348041137235358,-0.0002853496123063469,0.0023955763773233093
H1-L1,67,548864,581632,0.008012919978397813,10.7421875,0.0025550182017624145,0.006951319163815766,0.0043183770081575935
H1-L1,68,557056,589824,0.006039220933667474,14.404296875,-0.00023861854962078162,0.0045615741673275065,0.002665219608574241
H1-L1,69,565248,598016,0.005997449121583824,8.544921875,0.0023312467419307824,0.0050158212690135495,0.0028073940630272977
H1-L1,70,573440,606208,0.010857715492961106,2.9296875,0.009564912876872767,0.006258051810336839,0.006169133032311631
H1-L1,71,581632,614400,0.005895665068445816,-0.48828125,0.005764557942902509,0.0032973118155464596,0.004069722541214105
H1-L1,72,589824,622592,0.007568177287762784,-10.009765625,0.0036603214645641326,-0.0012354907168660738,0.0038272413172102
H1-L1,73,598016,630784,0.007481917196087358,-5.615234375,0.006085630091892635,0.0006805387930802215,0.004060890879387645
H1-L1,74,606208,638976,0.006029543976229121,5.37109375,-0.0037880206959767996,-0.003168148239524037,0.0030839873280664376
H1-L1,75,614400,647168,0.007976334587701903,7.32421875,-0.003925228092972079,-0.005384044075964215,0.004653637806200518
H1-L1,76,622592,655360,0.008111090920897174,-2.197265625,-0.0068699185539264716,0.0006418163000866535,0.004244444375808395
H1-L1,77,630784,663552,0.016696845073558193,-2.197265625,-0.015967580046088684,-0.0012669243886902703,0.009175126393389313
H1-L1,78,638976,671744,0.011017486139083354,-3.41796875,-0.009755066942073594,0.0021965874863652383,0.006059717165343205
H1-L1,79,647168,679936,0.01778236897343313,-7.568359375,-0.010371073157949032,0.006235943814627223,0.010386624460497476
H1-L1,80,655360,688128,0.006152194339461733,-9.27734375,-0.0011988359673348744,0.002331007559663554,0.0028674668289890366
H1-L1,81,663552,696320,0.013607555014858348,9.521484375,0.004840720806753277,0.012347213190295286,0.008273343129099699
H1-L1,82,671744,704512,0.015828342553491158,-13.427734375,0.0032544737838235936,0.013398232300716007,0.009882923870068262
H1-L1,83,679936,712704,0.008179265545858112,3.662109375,0.006745912564180241,0.00583095400668599,0.004383877625970124
H1-L1,84,688128,720896,0.00847058366070848,13.671875,-0.0011616406094677367,0.0069902930745243995,0.005477925245289627
H1-L1,85,696320,729088,0.0063907089513127865,-10.009765625,-0.00328401553508112,0.0009513730638353773,0.0032453632126341766
H1-L1,86,704512,737280,0.007979091577161616,9.033203125,0.002435404237912604,0.006783066455818739,0.0049923276922120745
H1-L1,87,712704,745472,0.01580695266707385,-11.71875,-0.0014961842616101886,0.011064507940166422,0.009552230034997562
H1-L1,88,720896,753664,0.011968819422432992,8.7890625,0.0043410960191079175,0.011107071756326217,0.007230707084343394
H1-L1,89,729088,761856,0.005120574104721846,9.27734375,0.0025656199174558542,0.003912705276562673,0.0029587930704569002
H1-L1,90,737280,770048,0.00845664738557399,10.498046875,-0.004267399862445898,-0.007903374651864368,0.0047733258810131185
H1-L1,91,745472,778240,0.006675615434385634,10.7421875,-0.0017722815831469722,-0.004928285479811799,0.003541587833142522
H1-L1,92,753664,786432,0.0061326265421464705,-11.474609375,-0.002426204352527955,0.0017031948234342018,0.0030031248689499556
H1-L1,93,761856,794624,0.013001875675604159,-0.732421875,-0.012315960532138619,-0.0024072957819133633,0.007411602472548398
H1-L1,94,770048,802816,0.01132381805818511,1.220703125,-0.009583641756457002,-0.003014415743529421,0.00597276224545623
H1-L1,95,778240,811008,0.01124840268754926,-0.48828125,-0.009864029955688879,-0.0024234318237493246,0.006024873259074713
H1-L1,96,786432,819200,0.012308033213051713,0.9765625,-0.01080515491428849,-0.005067297596055064,0.0070493332605767655
H1-L1,97,794624,827392,0.00964279235392365,-6.8359375,-0.005846737440267279,0.001762206770654909,0.005341404592025473
H1-L1,98,802816,835584,0.0057539182567839225,5.615234375,-0.004711377348660501,-0.00478069652679519,0.003417088741917581
H1-L1,99,811008,843776,0.01362411141267234,14.892578125,0.00358447923374942,-0.009245080959235026,0.006863688859816223
H1-L1,100,819200,851968,0.013153210729270715,13.427734375,0.0013189097609171358,-0.010712799221258461,0.006915552300269409
H1-L1,101,827392,860160,0.014848874061756117,13.427734375,0.0036276980494522526,-0.011694780782928753,0.00905138193286344
H1-L1,102,835584,868352,0.009196281030933883,13.427734375,0.002572852301302361,-0.0069438627119918555,0.005522688852188188
H1-L1,103,843776,876544,0.008067148430163339,-14.892578125,-0.002980858813137532,-0.006610542778235133,0.004843040046395974
H1-L1,104,851968,884736,0.00793066675297487,-14.892578125,-0.0006496785315410297,-0.003933370301442909,0.003842783566023842
H1-L1,105,860160,892928,0.004157939851142846,14.16015625,9.200353121620814e-05,-0.0034528757706104823,0.0022960560823067997
H1-L1,106,868352,901120,0.006119373689373728,-14.404296875,-0.00141289507921609,-0.0025312058468027372,0.0022853719880436226
H1-L1,107,876544,909312,0.004441850101299689,13.427734375,-0.0018252999597927234,0.002327544682930635,0.0019039737219488598
H1-L1,108,884736,917504,0.007978021577752582,-1.46484375,-0.007269193557361197,-0.0026337073966974244,0.004447868795281022
H1-L1,109,892928,925696,0.008528290558512501,0.48828125,-0.008242201367512515,-0.004110084271665591,0.004789679701380199
H1-L1,110,901120,933888,0.004756093704754794,-14.892578125,-0.002566805701638269,-0.002798093187576197,0.0025602484313997638
H1-L1,111,909312,942080,0.004968195474705457,11.474609375,-0.0004084528002125558,-0.004119048104537185,0.0026044536912377464
H1-L1,112,917504,950272,0.00577794844688769,-3.41796875,0.0047851409240972165,-0.00096130727224899,0.003441771081559912
H1-L1,113,925696,958464,0.006690433724649166,14.892578125,0.0035324740294838787,-0.0027693432604186377,0.0028803606807009568
H1-L1,114,933888,966656,0.004714866283108349,13.427734375,-0.0028311417247128667,-0.003305881327676105,0.002399016897613452
H1-L1,115,942080,974848,0.006394138532163514,-14.6484375,0.0007142099114474314,-0.00343909458589507,0.003245896628494616
H1-L1,116,950272,983040,0.006275789036568725,-12.451171875,0.0008869842218171746,-0.004777220509174021,0.0038456999403970443
H1-L1,117,958464,991232,0.004659522266967941,-0.732421875,0.004475478590325213,0.002534775175569781,0.0031784531375956453
H1-L1,118,966656,999424,0.004026046042639242,7.568359375,0.0025555594809893107,0.003365393137430772,0.0022605061902327386
H1-L1,119,974848,1007616,0.008136714698888716,-11.23046875,-0.0019387504845374563,0.00331181216198068,0.004022509117703243
H1-L1,120,983040,1015808,0.009920082976777685,-4.8828125,-0.0073657466079703835,0.00239617528378031,0.005544026518756132
H1-L1,121,991232,1024000,0.011677149449538404,-0.9765625,-0.010155208755955927,-0.0010975410171892657,0.005929544107598094
H1-L1,122,999424,1032192,0.00419342270142838,-14.6484375,-0.0026136474333862784,-0.0013624753203778026,0.0018262354088499305
H1-L1,123,1007616,1040384,0.010105015903930618,-14.892578125,-0.0034186550733843143,-0.00618179512687467,0.00536066702518536
H1-L1,124,1015808,1048576,0.013372152059726876,-12.939453125,-0.003333024781606978,-0.011061074662307274,0.008127855545035262
H1-L1,125,1024000,1056768,0.017998784068432496,-14.6484375,-0.006270736274065177,-0.01753902534565832,0.011636259497220901
H1-L1,126,1032192,1064960,0.01674370299880157,-14.892578125,-0.006772644419097946,-0.014374125682239896,0.010569865005246872
H1-L1,127,1040384,1073152,0.009835164472070177,-14.404296875,-0.004777050397321065,-0.007986036852704112,0.006019948372822023
H1-L1,128,1048576,1081344,0.0031196297456911634,1.220703125,-0.0024408019737563393,0.00047401287979822104,0.0015565317720129463
H1-L1,129,1056768,1089536,0.012779160876365197,6.103515625,0.01052576742557156,0.012137320504718309,0.0073546793821730495
H1-L1,130,1064960,1097728,0.01413062982163996,5.859375,0.012026867782364788,0.012339936351209878,0.008730354576803118
H1-L1,131,1073152,1105920,0.01135683745048726,2.44140625,0.010488333589537123,0.006802620061324157,0.006429820128710504
H1-L1,132,1081344,1114112,0.008018567757639563,1.708984375,0.007628551663174545,0.005402214306281886,0.0048058426057572675
H1-L1,133,1089536,1122304,0.006103465113854926,-2.197265625,0.0055654699564569934,0.0012104634429068932,0.0031210603717795903
H1-L1,134,1097728,1130496,0.007900810433026519,-1.953125,0.007573962708134424,0.0015386688853891728,0.004175909597772325
H1-L1,135,1105920,1138688,0.005211571964075736,14.6484375,0.0015199222056914508,-0.0034556299996137334,0.003100850853717364
H1-L1,136,1114112,1146880,0.01604731628149026,-5.859375,0.010936997034459635,-0.008203819390444721,0.010221470801336488
H1-L1,137,1122304,1155072,0.006868529037711532,-7.8125,0.0035203104583818035,-0.003987202285233584,0.004338640810323409
